zona,actividad,valor
COPAN,137,1
OCOTEPEQUE,21,1
GRACIAS A DIOS,185,9
CHOLUTECA,281,1
YORO,94,49
FRANCISCO MORAZAN,33,476
INTIBUCA,62,95
FRANCISCO MORAZAN,271,1
GRACIAS A DIOS,0,574
COLON,169,18
YORO,50,20
OCOTEPEQUE,50,13
COMAYAGUA,79,626
COLON,22,3
COMAYAGUA,110,1
VALLE,316,7
CHOLUTECA,227,12
VALLE,26,26
COMAYAGUA,306,418
La Paz,99,3
COPAN,119,6
GRACIAS A DIOS,228,2
CORTES,310,4
FRANCISCO MORAZAN,42,174
INTIBUCA,308,5
EL PARAISO,92,407
ISLAS DE LA BAHIA,23,6
YORO,149,108
COLON,21,12
FRANCISCO MORAZAN,116,262
ATLANTIDA,233,3
COLON,0,5892
OLANCHO,47,346
ISLAS DE LA BAHIA,9,2
OCOTEPEQUE,13,28
EL PARAISO,155,34
ATLANTIDA,141,36
CORTES,130,278
COLON,294,6
CHOLUTECA,220,25
VALLE,304,1
COMAYAGUA,34,79
FRANCISCO MORAZAN,311,47
ATLANTIDA,83,21
La Paz,25,127
CORTES,274,10
SANTA BARBARA,94,34
OCOTEPEQUE,220,8
ATLANTIDA,162,1
ISLAS DE LA BAHIA,129,19
LA PAZ,43,51
CHOLUTECA,309,6
FRANCISCO MORAZAN,38,10
LEMPIRA,155,1
OCOTEPEQUE,273,1
COMAYAGUA,102,18
OLANCHO,49,7
LA PAZ,76,7
COPAN,25,481
CHOLUTECA,29,8
EL PARAISO,5,39
SANTA BARBARA,149,987
COPAN,309,1
EL PARAISO,0,4417
ISLAS DE LA BAHIA,2,7
COMAYAGUA,1,138
COMAYAGUA,117,3
La Paz,8,5
CHOLUTECA,308,5
FRANCISCO MORAZAN,6,24
INTIBUCA,35,11
SANTA BARBARA,130,113
COLON,53,11
YORO,308,6
VALLE,149,29
INTIBUCA,18,15
EL PARAISO,41,62
GRACIAS A DIOS,34,9
FRANCISCO MORAZAN,209,10
EL PARAISO,67,8
VALLE,30,24
COPAN,146,27
OLANCHO,39,8
FRANCISCO MORAZAN,329,1
ISLAS DE LA BAHIA,255,37
CORTES,145,3
INTIBUCA,2,41
EL PARAISO,22,1
YORO,8,21
CORTES,50,35
FRANCISCO MORAZAN,306,2148
SANTA BARBARA,28,27
VALLE,267,13
COPAN,79,1
ATLANTIDA,208,1
COMAYAGUA,308,19
INTIBUCA,49,16
VALLE,25,317
CHOLUTECA,209,1
COLON,163,1
COMAYAGUA,8,67
COMAYAGUA,185,289
CORTES,195,6
GRACIAS A DIOS,41,9
ATLANTIDA,143,12
CORTES,80,6
VALLE,2,22
COPAN,208,11
CORTES,331,1
INTIBUCA,94,20
GRACIAS A DIOS,150,8
SANTA BARBARA,30,14
ATLANTIDA,25,15
OCOTEPEQUE,143,1
COMAYAGUA,177,8
LA PAZ,243,6
LEMPIRA,35,9
CORTES,92,1908
CORTES,151,8
COLON,251,24
SANTA BARBARA,279,7
COMAYAGUA,78,46
LEMPIRA,49,14
CHOLUTECA,78,19
OCOTEPEQUE,262,25
VALLE,164,1
COMAYAGUA,243,22
ATLANTIDA,243,4
OCOTEPEQUE,41,26
ATLANTIDA,105,1
OCOTEPEQUE,14,5
VALLE,145,9
LA PAZ,205,6
CORTES,294,8
LA PAZ,69,1
FRANCISCO MORAZAN,119,239
COPAN,141,23
CHOLUTECA,216,8
COMAYAGUA,2,89
EL PARAISO,216,15
INTIBUCA,76,9
FRANCISCO MORAZAN,56,29
GRACIAS A DIOS,35,7
SANTA BARBARA,105,36
YORO,92,606
CORTES,306,1291
FRANCISCO MORAZAN,278,7
LEMPIRA,130,103
COPAN,228,2
COMAYAGUA,75,321
CORTES,19,6
FRANCISCO MORAZAN,63,1
CORTES,52,6
FRANCISCO MORAZAN,25,576
YORO,0,7151
COMAYAGUA,155,2
INTIBUCA,21,1
COMAYAGUA,195,6
COPAN,80,23
ISLAS DE LA BAHIA,78,12
LA PAZ,185,68
CORTES,313,7
COPAN,11,7
CHOLUTECA,110,17
LEMPIRA,43,44
CORTES,44,14
FRANCISCO MORAZAN,22,58
CORTES,204,77
LEMPIRA,29,20
YORO,253,208
COPAN,53,19
OLANCHO,69,3
YORO,248,2
COMAYAGUA,253,267
ATLANTIDA,186,3
INTIBUCA,303,72
OLANCHO,154,10
LEMPIRA,233,1
OLANCHO,41,69
FRANCISCO MORAZAN,185,3111
OCOTEPEQUE,176,10
LEMPIRA,83,66
CHOLUTECA,215,1
ISLAS DE LA BAHIA,33,6
FRANCISCO MORAZAN,143,70
COLON,35,65
CHOLUTECA,45,49
COLON,150,39
ATLANTIDA,188,3
COLON,32,1
COMAYAGUA,105,1
ATLANTIDA,14,44
ISLAS DE LA BAHIA,329,1
EL PARAISO,55,12
EL PARAISO,161,2
CORTES,304,19
FRANCISCO MORAZAN,99,103
ISLAS DE LA BAHIA,233,4
YORO,129,208
VALLE,110,9
COLON,130,153
ISLAS DE LA BAHIA,43,216
EL PARAISO,251,44
VALLE,11,5
FRANCISCO MORAZAN,155,2
OCOTEPEQUE,301,1
OLANCHO,67,2
ATLANTIDA,102,44
GRACIAS A DIOS,42,3
YORO,25,534
FRANCISCO MORAZAN,189,24
La Paz,5,48
LA PAZ,13,35
CORTES,205,185
INTIBUCA,53,7
COMAYAGUA,163,6
COLON,304,5
LA PAZ,149,11
EL PARAISO,303,64
SANTA BARBARA,294,8
OLANCHO,78,39
CORTES,214,5
CORTES,126,1
EL PARAISO,50,14
SANTA BARBARA,169,41
COLON,176,16
CORTES,23,54
OLANCHO,24,221
INTIBUCA,50,10
OCOTEPEQUE,303,57
FRANCISCO MORAZAN,208,94
ISLAS DE LA BAHIA,121,13
La Paz,114,1
LA PAZ,23,21
CHOLUTECA,163,4
La Paz,121,11
FRANCISCO MORAZAN,186,3
YORO,313,1
OCOTEPEQUE,2,30
FRANCISCO MORAZAN,118,1
COMAYAGUA,127,8
YORO,67,1
CORTES,259,4
CHOLUTECA,99,10
CORTES,185,1240
INTIBUCA,180,48
OCOTEPEQUE,233,4
EL PARAISO,253,139
SANTA BARBARA,198,3
ATLANTIDA,76,31
COLON,205,12
OCOTEPEQUE,223,1
OCOTEPEQUE,35,3
FRANCISCO MORAZAN,30,802
LA PAZ,0,2705
FRANCISCO MORAZAN,172,43
LEMPIRA,30,2
CORTES,97,1
ATLANTIDA,155,3
CHOLUTECA,23,5
CHOLUTECA,75,208
ISLAS DE LA BAHIA,14,13
LA PAZ,19,2
OLANCHO,262,34
YORO,24,593
La Paz,320,4
SANTA BARBARA,262,75
FRANCISCO MORAZAN,117,42
COPAN,22,3
LEMPIRA,47,187
FRANCISCO MORAZAN,1,725
OLANCHO,22,16
ISLAS DE LA BAHIA,116,6
CHOLUTECA,208,28
FRANCISCO MORAZAN,41,742
LA PAZ,246,6
ATLANTIDA,227,2
OLANCHO,21,4
CORTES,127,4
EL PARAISO,143,3
FRANCISCO MORAZAN,264,44
FRANCISCO MORAZAN,219,60
FRANCISCO MORAZAN,263,66
FRANCISCO MORAZAN,213,161
SANTA BARBARA,141,28
COLON,14,7
COLON,37,1
OLANCHO,50,15
ISLAS DE LA BAHIA,169,3
LA PAZ,18,1
COLON,102,88
OCOTEPEQUE,146,4
ISLAS DE LA BAHIA,47,150
VALLE,28,16
EL PARAISO,310,1
ATLANTIDA,306,390
FRANCISCO MORAZAN,16,152
VALLE,143,5
LA PAZ,141,1
LEMPIRA,185,75
FRANCISCO MORAZAN,132,260
INTIBUCA,198,8
CORTES,22,54
La Paz,146,4
La Paz,253,17
LEMPIRA,216,1
VALLE,33,12
VALLE,150,5
CHOLUTECA,303,151
CORTES,38,2
CORTES,224,2
ISLAS DE LA BAHIA,251,15
COPAN,198,3
FRANCISCO MORAZAN,267,373
EL PARAISO,117,23
VALLE,132,113
GRACIAS A DIOS,77,10
CHOLUTECA,177,6
COPAN,33,69
COPAN,151,1
INTIBUCA,30,5
SANTA BARBARA,123,2
COPAN,185,364
LA PAZ,218,1
GRACIAS A DIOS,1,2
LEMPIRA,13,14
CHOLUTECA,53,30
CORTES,218,25
EL PARAISO,227,2
COPAN,92,619
CORTES,198,13
FRANCISCO MORAZAN,303,113
CORTES,56,1
FRANCISCO MORAZAN,175,110
CORTES,324,2
FRANCISCO MORAZAN,137,26
OCOTEPEQUE,114,34
ISLAS DE LA BAHIA,130,194
SANTA BARBARA,78,66
COPAN,57,20
COPAN,162,2
FRANCISCO MORAZAN,128,4
INTIBUCA,0,3384
COMAYAGUA,129,230
CHOLUTECA,9,2
OLANCHO,26,3
La Paz,246,8
ISLAS DE LA BAHIA,16,57
YORO,69,6
VALLE,114,29
COMAYAGUA,216,1
VALLE,125,2
FRANCISCO MORAZAN,309,2
FRANCISCO MORAZAN,174,378
COLON,134,9
COMAYAGUA,173,1
CHOLUTECA,7,3
COMAYAGUA,309,2
FRANCISCO MORAZAN,312,3
SANTA BARBARA,308,4
VALLE,69,2
FRANCISCO MORAZAN,68,57
ISLAS DE LA BAHIA,308,69
YORO,97,5
SANTA BARBARA,143,3
OCOTEPEQUE,154,7
OLANCHO,102,4
LA PAZ,127,1
COPAN,30,9
COPAN,177,8
La Paz,176,5
SANTA BARBARA,220,1
FRANCISCO MORAZAN,105,50
OLANCHO,204,1
CORTES,270,1
CHOLUTECA,198,7
COLON,50,6
FRANCISCO MORAZAN,49,221
LA PAZ,129,38
FRANCISCO MORAZAN,103,11
YORO,279,7
OCOTEPEQUE,30,6
FRANCISCO MORAZAN,206,36
CORTES,264,3
FRANCISCO MORAZAN,19,138
COMAYAGUA,228,147
ISLAS DE LA BAHIA,50,2
EL PARAISO,49,14
COMAYAGUA,41,127
INTIBUCA,176,11
LA PAZ,11,1
La Paz,220,4
COPAN,19,2
OCOTEPEQUE,99,1
ISLAS DE LA BAHIA,176,2
CHOLUTECA,228,11
ISLAS DE LA BAHIA,262,10
COMAYAGUA,24,515
COLON,227,4
ATLANTIDA,204,4
INTIBUCA,75,55
LEMPIRA,253,19
ISLAS DE LA BAHIA,72,1
COMAYAGUA,227,5
COPAN,10,4
EL PARAISO,121,159
FRANCISCO MORAZAN,11,153
COLON,220,16
OCOTEPEQUE,34,27
La Paz,279,1
SANTA BARBARA,121,301
CORTES,47,836
COLON,114,70
La Paz,43,48
INTIBUCA,33,19
EL PARAISO,1,77
ISLAS DE LA BAHIA,35,2
YORO,154,17
FRANCISCO MORAZAN,146,79
FRANCISCO MORAZAN,29,13
INTIBUCA,267,4
EL PARAISO,34,15
FRANCISCO MORAZAN,8,371
CORTES,21,21
LEMPIRA,146,16
COPAN,35,62
FRANCISCO MORAZAN,94,294
INTIBUCA,102,5
OCOTEPEQUE,62,46
COPAN,105,13
VALLE,319,1
COPAN,42,12
OCOTEPEQUE,119,7
SANTA BARBARA,49,29
OCOTEPEQUE,32,2
CORTES,163,4
INTIBUCA,220,2
SANTA BARBARA,303,124
CHOLUTECA,248,27
OCOTEPEQUE,316,2
LA PAZ,49,14
YORO,78,127
ISLAS DE LA BAHIA,185,94
La Paz,34,26
SANTA BARBARA,41,73
LEMPIRA,14,3
COPAN,76,40
COLON,24,397
LA PAZ,2,15
COPAN,103,1
ATLANTIDA,28,12
CORTES,28,243
ATLANTIDA,22,6
VALLE,301,12
FRANCISCO MORAZAN,108,21
GRACIAS A DIOS,2,3
CORTES,176,22
COLON,83,11
LEMPIRA,62,42
INTIBUCA,217,1
LEMPIRA,2,35
VALLE,208,10
YORO,310,1
SANTA BARBARA,21,14
CHOLUTECA,127,11
LA PAZ,150,3
SANTA BARBARA,146,14
FRANCISCO MORAZAN,224,8
COLON,185,247
OLANCHO,117,8
LEMPIRA,303,41
ATLANTIDA,205,33
ISLAS DE LA BAHIA,224,1
ISLAS DE LA BAHIA,0,1313
INTIBUCA,143,12
CORTES,220,189
INTIBUCA,175,3
COMAYAGUA,304,10
EL PARAISO,186,3
VALLE,154,23
La Paz,13,21
INTIBUCA,81,2
OCOTEPEQUE,224,2
COMAYAGUA,50,20
CORTES,12,5
OCOTEPEQUE,81,3
La Paz,130,23
EL PARAISO,127,17
FRANCISCO MORAZAN,47,3227
COMAYAGUA,35,63
COPAN,136,6
VALLE,75,25
ATLANTIDA,94,3
FRANCISCO MORAZAN,51,5
OLANCHO,98,5
EL PARAISO,2,63
LA PAZ,16,7
EL PARAISO,52,6
VALLE,77,83
YORO,205,9
CHOLUTECA,224,1
CORTES,135,5
VALLE,44,2
CORTES,40,83
CHOLUTECA,30,32
GRACIAS A DIOS,129,2
COPAN,169,55
YORO,169,15
CORTES,180,607
SANTA BARBARA,102,6
LEMPIRA,220,2
FRANCISCO MORAZAN,142,5
INTIBUCA,23,33
CORTES,108,13
COPAN,99,8
SANTA BARBARA,35,76
CHOLUTECA,50,27
CORTES,42,62
CHOLUTECA,243,59
VALLE,14,50
VALLE,179,4
CHOLUTECA,294,10
CORTES,311,19
YORO,227,2
ISLAS DE LA BAHIA,34,11
FRANCISCO MORAZAN,268,46
FRANCISCO MORAZAN,127,41
ATLANTIDA,61,3
OLANCHO,2,24
INTIBUCA,9,5
YORO,41,107
GRACIAS A DIOS,24,9
LEMPIRA,76,12
CORTES,110,9
CHOLUTECA,19,1
COPAN,21,11
OCOTEPEQUE,243,8
CORTES,105,1
EL PARAISO,107,1
CHOLUTECA,49,47
ATLANTIDA,35,43
FRANCISCO MORAZAN,233,279
EL PARAISO,129,58
COMAYAGUA,0,7919
La Paz,162,1
La Paz,2,16
CHOLUTECA,280,1
EL PARAISO,105,1
INTIBUCA,121,27
LEMPIRA,218,2
OCOTEPEQUE,150,3
LA PAZ,102,3
YORO,220,8
CHOLUTECA,103,5
YORO,110,6
COMAYAGUA,248,18
COMAYAGUA,22,9
VALLE,220,5
CHOLUTECA,43,136
CHOLUTECA,155,1
CORTES,8,129
CHOLUTECA,282,22
EL PARAISO,114,43
EL PARAISO,27,16
COPAN,270,6
LA PAZ,119,3
COLON,164,1
CORTES,273,7
LA PAZ,273,2
ATLANTIDA,49,30
VALLE,185,117
COLON,228,1
INTIBUCA,114,32
COMAYAGUA,47,595
CORTES,67,4
COLON,154,16
INTIBUCA,16,2
CHOLUTECA,22,25
COPAN,61,9
ATLANTIDA,47,467
FRANCISCO MORAZAN,274,1
CORTES,34,173
LEMPIRA,279,2
GRACIAS A DIOS,154,2
LA PAZ,303,24
COMAYAGUA,233,13
COLON,253,154
ISLAS DE LA BAHIA,136,6
FRANCISCO MORAZAN,266,79
EL PARAISO,304,1
SANTA BARBARA,98,1
COLON,127,1
CORTES,188,2
ISLAS DE LA BAHIA,216,4
YORO,33,7
FRANCISCO MORAZAN,207,99
EL PARAISO,174,3
ATLANTIDA,30,5
GRACIAS A DIOS,130,25
ISLAS DE LA BAHIA,177,26
COMAYAGUA,205,58
LA PAZ,33,12
LEMPIRA,22,12
COPAN,114,86
VALLE,262,16
LEMPIRA,34,55
INTIBUCA,150,1
CORTES,128,1
CORTES,182,7
CORTES,267,69
OLANCHO,27,1
GRACIAS A DIOS,205,8
VALLE,146,16
FRANCISCO MORAZAN,3,27
GRACIAS A DIOS,75,12
COPAN,176,15
SANTA BARBARA,150,60
OLANCHO,301,11
COLON,306,475
YORO,39,2
ISLAS DE LA BAHIA,76,2
CORTES,282,24
OCOTEPEQUE,306,95
CHOLUTECA,18,4
VALLE,23,19
GRACIAS A DIOS,220,2
EL PARAISO,320,1
COLON,34,76
LA PAZ,17,1
CORTES,303,66
FRANCISCO MORAZAN,101,5
COPAN,1,127
GRACIAS A DIOS,306,19
COMAYAGUA,154,9
YORO,35,85
CORTES,61,1
INTIBUCA,253,161
VALLE,8,18
CORTES,194,1
FRANCISCO MORAZAN,14,298
ISLAS DE LA BAHIA,28,16
CORTES,69,20
FRANCISCO MORAZAN,121,796
FRANCISCO MORAZAN,7,25
ATLANTIDA,220,4
VALLE,180,37
COPAN,306,745
La Paz,243,8
SANTA BARBARA,47,1013
COLON,195,6
CHOLUTECA,10,24
VALLE,41,47
VALLE,24,158
VALLE,94,22
CORTES,228,16
COLON,155,1
LEMPIRA,248,1
LEMPIRA,42,9
LA PAZ,24,93
OLANCHO,33,4
YORO,121,130
SANTA BARBARA,42,25
YORO,146,18
FRANCISCO MORAZAN,62,1020
ATLANTIDA,97,1
EL PARAISO,14,22
COLON,303,88
YORO,77,219
COLON,149,66
EL PARAISO,19,1
YORO,176,22
VALLE,163,1
COPAN,81,8
OCOTEPEQUE,132,48
COMAYAGUA,37,1
CHOLUTECA,35,43
ISLAS DE LA BAHIA,141,21
EL PARAISO,98,9
CHOLUTECA,28,68
ISLAS DE LA BAHIA,145,1
EL PARAISO,94,5
CORTES,81,24
CORTES,6,113
INTIBUCA,123,1
FRANCISCO MORAZAN,302,61
VALLE,43,89
CORTES,154,31
FRANCISCO MORAZAN,78,176
SANTA BARBARA,8,40
LA PAZ,130,55
OCOTEPEQUE,110,6
LA PAZ,99,1
VALLE,129,65
CHOLUTECA,61,10
LA PAZ,146,11
ATLANTIDA,121,62
COLON,30,6
COPAN,26,88
COPAN,75,1117
CHOLUTECA,117,16
INTIBUCA,117,2
CORTES,100,34
LA PAZ,121,21
LA PAZ,154,7
OCOTEPEQUE,208,4
ISLAS DE LA BAHIA,149,1
EL PARAISO,29,3
COMAYAGUA,42,24
SANTA BARBARA,253,306
ATLANTIDA,99,8
CORTES,134,106
SANTA BARBARA,11,1
ATLANTIDA,80,1
FRANCISCO MORAZAN,177,111
OLANCHO,0,4028
FRANCISCO MORAZAN,64,1
CHOLUTECA,195,35
FRANCISCO MORAZAN,129,1480
VALLE,29,4
OLANCHO,5,13
LEMPIRA,149,2
FRANCISCO MORAZAN,253,1763
LEMPIRA,127,4
COMAYAGUA,76,34
LEMPIRA,195,3
LEMPIRA,5,6
La Paz,24,67
ISLAS DE LA BAHIA,259,2
INTIBUCA,24,134
COMAYAGUA,29,1
FRANCISCO MORAZAN,173,1
COMAYAGUA,21,7
LEMPIRA,23,1
COMAYAGUA,116,3
FRANCISCO MORAZAN,141,321
COLON,248,2
FRANCISCO MORAZAN,50,53
FRANCISCO MORAZAN,5,69
ATLANTIDA,3,4
YORO,105,1
VALLE,45,30
GRACIAS A DIOS,121,5
La Paz,26,1
EL PARAISO,38,1
CHOLUTECA,25,870
EL PARAISO,47,630
ATLANTIDA,77,128
CORTES,137,15
COPAN,5,53
CORTES,129,916
OCOTEPEQUE,207,2
OCOTEPEQUE,102,3
COMAYAGUA,176,7
CORTES,227,4
La Paz,98,3
YORO,22,14
CHOLUTECA,154,28
COPAN,149,477
CORTES,206,4
VALLE,76,5
ATLANTIDA,11,1
YORO,316,19
ATLANTIDA,21,7
COPAN,220,13
EL PARAISO,81,3
INTIBUCA,149,3
OCOTEPEQUE,19,1
CHOLUTECA,246,153
CORTES,217,1
ATLANTIDA,267,22
LEMPIRA,8,10
LEMPIRA,18,3
OLANCHO,28,12
SANTA BARBARA,14,24
EL PARAISO,267,2
VALLE,42,9
VALLE,49,5
VALLE,309,1
EL PARAISO,16,9
YORO,42,21
COMAYAGUA,246,33
COPAN,195,5
FRANCISCO MORAZAN,83,270
INTIBUCA,26,8
OCOTEPEQUE,0,2681
VALLE,13,8
ISLAS DE LA BAHIA,40,9
OCOTEPEQUE,5,33
SANTA BARBARA,255,1
YORO,208,6
CORTES,35,86
La Paz,78,39
COMAYAGUA,121,123
CHOLUTECA,134,28
COMAYAGUA,130,125
COLON,49,13
COMAYAGUA,125,1
COMAYAGUA,28,24
FRANCISCO MORAZAN,57,2
FRANCISCO MORAZAN,164,8
SANTA BARBARA,267,8
FRANCISCO MORAZAN,17,226
CORTES,309,3
CORTES,131,6
CHOLUTECA,119,34
COMAYAGUA,25,156
INTIBUCA,41,37
LA PAZ,220,16
ATLANTIDA,176,7
OCOTEPEQUE,130,53
INTIBUCA,92,499
COLON,309,2
YORO,47,896
OCOTEPEQUE,78,31
FRANCISCO MORAZAN,18,240
YORO,30,12
EL PARAISO,99,3
La Paz,119,2
LA PAZ,27,10
ATLANTIDA,309,7
ISLAS DE LA BAHIA,77,32
VALLE,83,24
YORO,274,1
YORO,150,87
INTIBUCA,243,47
VALLE,209,1
ATLANTIDA,24,220
VALLE,39,2
EL PARAISO,42,10
La Paz,94,2
YORO,177,2
YORO,23,26
La Paz,83,12
COPAN,294,1
COMAYAGUA,150,27
COLON,62,128
FRANCISCO MORAZAN,301,41
FRANCISCO MORAZAN,74,97
VALLE,182,1
EL PARAISO,189,1
COMAYAGUA,77,178
EL PARAISO,132,17
ATLANTIDA,5,19
INTIBUCA,32,3
COLON,29,1
ATLANTIDA,44,1
FRANCISCO MORAZAN,227,7
COPAN,0,8914
OCOTEPEQUE,1,36
INTIBUCA,99,5
CORTES,223,2
INTIBUCA,44,5
LA PAZ,22,10
YORO,185,362
FRANCISCO MORAZAN,279,7
COMAYAGUA,303,151
CORTES,46,9
LA PAZ,62,32
La Paz,303,48
OLANCHO,123,1
CHOLUTECA,34,140
ISLAS DE LA BAHIA,146,3
INTIBUCA,103,4
CHOLUTECA,47,1553
CHOLUTECA,205,29
FRANCISCO MORAZAN,26,364
EL PARAISO,207,1
ATLANTIDA,20,24
FRANCISCO MORAZAN,52,12
ISLAS DE LA BAHIA,267,13
YORO,98,9
ATLANTIDA,248,4
YORO,2,84
FRANCISCO MORAZAN,107,25
LA PAZ,98,1
COLON,308,1
LA PAZ,25,258
CHOLUTECA,130,184
La Paz,102,1
ISLAS DE LA BAHIA,132,6
YORO,223,1
VALLE,306,273
INTIBUCA,304,3
LA PAZ,47,157
ATLANTIDA,262,17
COPAN,246,94
INTIBUCA,169,5
COMAYAGUA,119,4
ATLANTIDA,10,1
ISLAS DE LA BAHIA,229,2
OCOTEPEQUE,49,10
YORO,130,107
YORO,75,77
YORO,53,5
LA PAZ,92,207
FRANCISCO MORAZAN,162,65
OLANCHO,306,32
LA PAZ,44,6
ATLANTIDA,8,18
FRANCISCO MORAZAN,204,59
VALLE,176,13
GRACIAS A DIOS,304,2
OCOTEPEQUE,92,240
SANTA BARBARA,127,16
ATLANTIDA,110,1
EL PARAISO,220,18
FRANCISCO MORAZAN,76,725
CHOLUTECA,21,20
OCOTEPEQUE,22,25
CORTES,2,218
FRANCISCO MORAZAN,37,110
OCOTEPEQUE,94,3
ATLANTIDA,75,69
COPAN,121,158
La Paz,0,1258
CHOLUTECA,306,1354
INTIBUCA,5,11
FRANCISCO MORAZAN,276,72
CORTES,149,178
INTIBUCA,246,6
EL PARAISO,9,2
CHOLUTECA,267,33
OCOTEPEQUE,251,14
