zona,actividad,valor
COLON,75,131
ATLANTIDA,246,46
EL PARAISO,18,1
OLANCHO,205,2
COPAN,155,1
SANTA BARBARA,92,705
CHOLUTECA,304,3
VALLE,246,41
YORO,28,38
EL PARAISO,205,83
EL PARAISO,76,17
EL PARAISO,185,155
VALLE,251,35
OLANCHO,251,43
OCOTEPEQUE,24,218
CHOLUTECA,42,27
INTIBUCA,78,27
LEMPIRA,7,1
YORO,119,1
EL PARAISO,102,1
FRANCISCO MORAZAN,160,10
SANTA BARBARA,53,8
EL PARAISO,154,14
LA PAZ,180,37
COLON,146,10
CORTES,276,7
CHOLUTECA,0,16130
LEMPIRA,78,14
LEMPIRA,306,138
YORO,180,47
CHOLUTECA,6,1
FRANCISCO MORAZAN,179,12
COLON,43,101
COLON,267,4
COPAN,16,152
La Paz,62,33
COMAYAGUA,18,3
COLON,216,1
INTIBUCA,309,12
CORTES,18,86
YORO,143,1
YORO,32,1
ISLAS DE LA BAHIA,49,13
La Paz,251,24
CORTES,246,23
CORTES,77,417
FRANCISCO MORAZAN,13,1102
OLANCHO,75,10
FRANCISCO MORAZAN,75,145
INTIBUCA,127,3
COPAN,130,438
CORTES,132,240
ATLANTIDA,254,1
La Paz,306,277
OLANCHO,7,3
EL PARAISO,176,14
FRANCISCO MORAZAN,313,7
LA PAZ,227,3
LA PAZ,26,13
ISLAS DE LA BAHIA,26,1
CORTES,308,156
ATLANTIDA,26,18
OCOTEPEQUE,98,4
CORTES,243,25
YORO,141,27
INTIBUCA,1,65
COMAYAGUA,92,591
VALLE,61,9
SANTA BARBARA,233,2
INTIBUCA,274,1
EL PARAISO,228,19
CORTES,10,4
CORTES,146,26
COPAN,308,13
SANTA BARBARA,7,1
ATLANTIDA,78,9
OLANCHO,273,3
FRANCISCO MORAZAN,163,30
FRANCISCO MORAZAN,34,438
CORTES,255,9
CHOLUTECA,2,88
CORTES,162,28
OLANCHO,233,3
COPAN,94,24
CHOLUTECA,233,29
OLANCHO,185,141
LA PAZ,53,5
FRANCISCO MORAZAN,316,2245
OCOTEPEQUE,9,3
LEMPIRA,251,29
LA PAZ,57,2
FRANCISCO MORAZAN,27,4
CORTES,94,71
CHOLUTECA,169,51
VALLE,169,9
CORTES,209,7
OCOTEPEQUE,25,343
OCOTEPEQUE,267,2
OCOTEPEQUE,164,1
FRANCISCO MORAZAN,54,1
YORO,34,116
COLON,5,1
GRACIAS A DIOS,132,1
LEMPIRA,44,2
ISLAS DE LA BAHIA,13,14
LEMPIRA,16,45
YORO,294,10
ISLAS DE LA BAHIA,44,2
SANTA BARBARA,110,4
YORO,262,41
COPAN,51,1
OCOTEPEQUE,77,90
COPAN,8,46
LA PAZ,174,2
FRANCISCO MORAZAN,92,5388
SANTA BARBARA,119,13
ATLANTIDA,154,17
EL PARAISO,25,262
VALLE,279,2
CORTES,49,45
ATLANTIDA,308,16
SANTA BARBARA,243,18
FRANCISCO MORAZAN,270,12
GRACIAS A DIOS,255,1
ISLAS DE LA BAHIA,5,1
VALLE,308,3
OCOTEPEQUE,121,86
COPAN,110,4
FRANCISCO MORAZAN,149,106
La Paz,33,14
VALLE,92,317
LA PAZ,55,3
ATLANTIDA,16,94
FRANCISCO MORAZAN,260,1
CORTES,3,11
CORTES,266,37
La Paz,35,14
COLON,2,69
COMAYAGUA,141,20
CHOLUTECA,114,204
EL PARAISO,23,12
CHOLUTECA,143,2
CHOLUTECA,27,1
COLON,224,1
FRANCISCO MORAZAN,218,60
OLANCHO,10,2
CORTES,215,3
VALLE,102,1
OCOTEPEQUE,246,7
OLANCHO,25,181
LEMPIRA,180,16
ISLAS DE LA BAHIA,61,5
COPAN,205,31
LEMPIRA,102,1
OCOTEPEQUE,253,17
OCOTEPEQUE,33,15
CORTES,319,1
ATLANTIDA,50,5
COLON,208,16
LA PAZ,50,18
SANTA BARBARA,114,88
OLANCHO,34,99
YORO,303,184
INTIBUCA,227,1
ATLANTIDA,9,6
FRANCISCO MORAZAN,77,809
FRANCISCO MORAZAN,154,56
SANTA BARBARA,129,132
FRANCISCO MORAZAN,114,738
OLANCHO,16,6
INTIBUCA,25,529
EL PARAISO,308,7
LEMPIRA,0,3720
OCOTEPEQUE,169,12
COMAYAGUA,169,43
La Paz,110,2
VALLE,119,9
OLANCHO,176,27
INTIBUCA,77,95
CORTES,179,9
FRANCISCO MORAZAN,188,9
YORO,320,2
La Paz,233,11
CORTES,106,3
CHOLUTECA,129,332
OCOTEPEQUE,204,3
EL PARAISO,77,189
LEMPIRA,26,34
FRANCISCO MORAZAN,106,1
CORTES,99,86
LEMPIRA,176,9
LA PAZ,8,3
FRANCISCO MORAZAN,21,70
OLANCHO,114,63
EL PARAISO,273,1
FRANCISCO MORAZAN,228,4
COMAYAGUA,281,1
COMAYAGUA,220,15
GRACIAS A DIOS,76,4
VALLE,303,55
LEMPIRA,81,2
VALLE,78,12
ISLAS DE LA BAHIA,24,92
INTIBUCA,195,1
VALLE,243,1
FRANCISCO MORAZAN,273,6
SANTA BARBARA,9,21
CORTES,29,60
ATLANTIDA,96,4
COPAN,7,1
CORTES,164,6
OLANCHO,294,3
ATLANTIDA,0,3689
YORO,76,61
FRANCISCO MORAZAN,180,353
