zona,actividad,valor
Zona metropolitana de Monterrey,66,2.0
Metrópoli municipal de Uruapan,7,2.0
Zona conurbada de Tehuantepec,73,0.0
Zona metropolitana de La Piedad-Pénjamo,152,5.0
Metrópoli municipal de Matamoros,152,6.0
Zona conurbada de Caborca,48,6.0
Zona metropolitana de Zacatecas-Guadalupe,48,29.0
Zona conurbada de Moroleón-Uriangato,114,3.0
Zona metropolitana de Guaymas,46,16.0
Metrópoli municipal de La Paz,232,1.0
Metrópoli municipal de Ciudad Juárez,65,1.0
Metrópoli municipal de Hermosillo,65,1.0
Zona conurbada de Tecomán,234,0.0
Zona metropolitana de Reynosa,234,0.0
Zona metropolitana de Aguascalientes,52,0.0
Zona metropolitana de Mérida,3,128.0
Metrópoli municipal de Mexicali,85,2.0
Zona metropolitana de Tlaxcala-Apizaco,85,3.0
Metrópoli municipal de Ciudad Juárez,236,0.0
Metrópoli municipal de Irapuato,236,2.0
Zona metropolitana de Minatitlán,236,0.0
Zona metropolitana de Orizaba,236,1.0
Metrópoli municipal de Guanajuato,160,1.0
Zona metropolitana de La Piedad-Pénjamo,160,2.0
Zona metropolitana de Tampico,160,4.0
Zona metropolitana de Tapachula,161,1.0
Zona metropolitana de Puebla-Tlaxcala,161,19.0
Zona conurbada de Caborca,161,3.0
Metrópoli municipal de Nuevo Laredo,161,0.0
Zona conurbada de Valladolid,161,1.0
Metrópoli municipal de Campeche,218,1.0
Metrópoli municipal de Nogales,218,4.0
Zona metropolitana de Tijuana,126,8.0
Zona conurbada de Rioverde,126,0.0
Zona metropolitana de Poza Rica,84,17.0
Metrópoli municipal de La Paz,230,1.0
Zona metropolitana de Saltillo,230,0.0
Zona conurbada de Matehuala,104,1.0
Zona conurbada de Ozumba,156,0.0
Zona metropolitana de Guadalajara,3,903.0
Zona conurbada de Matehuala,237,0.0
Zona metropolitana de Delicias,28,40.0
Zona metropolitana de Celaya,157,3.0
Zona metropolitana de Toluca,157,11.0
Metrópoli municipal de Uruapan,67,6.0
Zona metropolitana de Cuautla,153,0.0
Zona metropolitana de Puebla-Tlaxcala,153,5.0
Zona metropolitana de Zacatecas-Guadalupe,153,1.0
Zona metropolitana de Guaymas,83,0.0
Metrópoli municipal de Acapulco,151,0.0
Zona metropolitana de Piedras Negras,5,2.0
Zona metropolitana de Tapachula,150,29.0
Zona metropolitana de Tlaxcala-Apizaco,150,181.0
Zona metropolitana de Guaymas,238,0.0
Metrópoli municipal de Ensenada,242,15.0
Zona metropolitana de Mérida,69,0.0
Metrópoli municipal de Acapulco,29,519.0
Zona metropolitana de Aguascalientes,70,17.0
Zona metropolitana de Monterrey,15,333.0
Zona metropolitana de Monclova-Frontera,198,0.0
Zona metropolitana de Monterrey,27,570.0
Metrópoli municipal de Los Mochis,252,0.0
Zona metropolitana de Celaya,22,402.0
Zona conurbada de Hidalgo del Parral,16,53.0
Zona conurbada de Matehuala,16,45.0
Zona conurbada de Rioverde,89,1.0
Metrópoli municipal de Mexicali,245,0.0
Metrópoli municipal de Mexicali,71,22.0
Zona conurbada de Matehuala,71,0.0
Zona conurbada de Rioverde,71,0.0
Zona metropolitana de Saltillo,54,5.0
Zona metropolitana de Coatzacoalcos,54,0.0
Zona conurbada de Ozumba,59,0.0
Metrópoli municipal de Ciudad Victoria,59,0.0
Zona conurbada de Acayucan,244,0.0
Zona conurbada de Ozumba,202,0.0
Metrópoli municipal de Campeche,167,0.0
Metrópoli municipal de Guanajuato,296,0.0
Zona conurbada de Atitalaquia,296,0.0
Zona conurbada de Tehuantepec,296,0.0
Metrópoli municipal de Chetumal,296,0.0
Zona metropolitana de Minatitlán,296,0.0
Zona metropolitana de Chihuahua,112,11.0
Zona metropolitana de Córdoba,240,0.0
Zona metropolitana de Puebla-Tlaxcala,58,12.0
Zona conurbada de Lázaro Cárdenas,72,48.0
Zona metropolitana de Monterrey,72,318.0
Metrópoli municipal de Uruapan,0,14303.0
Metrópoli municipal de Ciudad Victoria,0,6720.0
Zona metropolitana de Tapachula,248,60.0
Zona metropolitana de Xalapa,304,297.0
