zona,actividad,valor
Valle,111,0
Olancho,111,0
Cortes,111,11
Choluteca,111,0
Comayagua,111,10
El Paraíso,111,0
Francisco Morazán,111,2
El Paraíso,111,0
Atlántida,111,561
La Paz,111,0
Yoro,111,183
Cortes,111,0
Yoro,111,27
Cortes,111,2
Islas de La Bahía,111,0
Valle,111,1
Cortes,111,12
Cortes,111,0
Santa Bárbara,111,0
Copan,111,0
Comayagua,111,0
Atlántida,111,0
Colon,111,348
Cortes,111,91
Cortes,111,0
Valle,113,0
Olancho,113,0
Cortes,113,0
Choluteca,113,151
Comayagua,113,73
El Paraíso,113,3
Francisco Morazán,113,1
El Paraíso,113,0
Atlántida,113,179
La Paz,113,0
Yoro,113,0
Cortes,113,0
Yoro,113,2
Cortes,113,0
Islas de La Bahía,113,0
Valle,113,0
Cortes,113,0
Cortes,113,1
Santa Bárbara,113,0
Copan,113,0
Comayagua,113,0
Atlántida,113,0
Colon,113,542
Cortes,113,0
Cortes,113,0
Valle,114,0
Olancho,114,0
Cortes,114,0
Choluteca,114,0
Comayagua,114,0
El Paraíso,114,0
Francisco Morazán,114,0
El Paraíso,114,0
Atlántida,114,0
La Paz,114,0
Yoro,114,0
Cortes,114,0
Yoro,114,530
Cortes,114,0
Islas de La Bahía,114,0
Valle,114,0
Cortes,114,0
Cortes,114,3
Santa Bárbara,114,0
Copan,114,0
Comayagua,114,0
Atlántida,114,0
Colon,114,0
Cortes,114,0
Cortes,114,0
Valle,115,0
Olancho,115,0
Cortes,115,0
Choluteca,115,0
Comayagua,115,0
El Paraíso,115,15
Francisco Morazán,115,0
El Paraíso,115,0
Atlántida,115,0
La Paz,115,0
Yoro,115,0
Cortes,115,0
Yoro,115,0
Cortes,115,0
Islas de La Bahía,115,0
Valle,115,0
Cortes,115,0
Cortes,115,0
Santa Bárbara,115,0
Copan,115,0
Comayagua,115,0
Atlántida,115,0
Colon,115,0
Cortes,115,0
Cortes,115,0
Valle,119,0
Olancho,119,0
Cortes,119,0
Choluteca,119,0
Comayagua,119,0
El Paraíso,119,0
Francisco Morazán,119,0
El Paraíso,119,0
Atlántida,119,0
La Paz,119,0
Yoro,119,0
Cortes,119,0
Yoro,119,9
Cortes,119,0
Islas de La Bahía,119,0
Valle,119,18
Cortes,119,0
Cortes,119,0
Santa Bárbara,119,0
Copan,119,0
Comayagua,119,0
Atlántida,119,0
Colon,119,0
Cortes,119,0
Cortes,119,0
Valle,121,0
Olancho,121,0
Cortes,121,0
Choluteca,121,0
Comayagua,121,0
El Paraíso,121,0
Francisco Morazán,121,173
El Paraíso,121,0
Atlántida,121,115
La Paz,121,0
Yoro,121,410
Cortes,121,0
Yoro,121,0
Cortes,121,0
Islas de La Bahía,121,0
Valle,121,0
Cortes,121,0
Cortes,121,66
Santa Bárbara,121,0
Copan,121,0
Comayagua,121,0
Atlántida,121,0
Colon,121,346
Cortes,121,0
Cortes,121,0
Valle,122,0
Olancho,122,0
Cortes,122,0
Choluteca,122,220
Comayagua,122,0
El Paraíso,122,0
Francisco Morazán,122,1
El Paraíso,122,0
Atlántida,122,246
La Paz,122,0
Yoro,122,902
Cortes,122,0
Yoro,122,831
Cortes,122,14
Islas de La Bahía,122,0
Valle,122,120
Cortes,122,60
Cortes,122,4
Santa Bárbara,122,0
Copan,122,0
Comayagua,122,0
Atlántida,122,0
Colon,122,0
Cortes,122,0
Cortes,122,0
Valle,123,0
Olancho,123,0
Cortes,123,0
Choluteca,123,0
Comayagua,123,0
El Paraíso,123,0
Francisco Morazán,123,0
El Paraíso,123,0
Atlántida,123,0
La Paz,123,0
Yoro,123,0
Cortes,123,0
Yoro,123,0
Cortes,123,0
Islas de La Bahía,123,0
Valle,123,0
Cortes,123,0
Cortes,123,0
Santa Bárbara,123,0
Copan,123,0
Comayagua,123,0
Atlántida,123,0
Colon,123,7
Cortes,123,0
Cortes,123,0
Valle,124,0
Olancho,124,0
Cortes,124,0
Choluteca,124,13
Comayagua,124,0
El Paraíso,124,0
Francisco Morazán,124,0
El Paraíso,124,0
Atlántida,124,0
La Paz,124,0
Yoro,124,0
Cortes,124,0
Yoro,124,0
Cortes,124,0
Islas de La Bahía,124,0
Valle,124,0
Cortes,124,0
Cortes,124,0
Santa Bárbara,124,0
Copan,124,0
Comayagua,124,0
Atlántida,124,0
Colon,124,0
Cortes,124,0
Cortes,124,0
Valle,125,0
Olancho,125,0
Cortes,125,0
Choluteca,125,82
Comayagua,125,0
El Paraíso,125,0
Francisco Morazán,125,90
El Paraíso,125,0
Atlántida,125,0
La Paz,125,0
Yoro,125,0
Cortes,125,0
Yoro,125,0
Cortes,125,0
Islas de La Bahía,125,0
Valle,125,0
Cortes,125,0
Cortes,125,8
Santa Bárbara,125,0
Copan,125,0
Comayagua,125,0
Atlántida,125,0
Colon,125,0
Cortes,125,0
Cortes,125,0
Valle,126,0
Olancho,126,0
Cortes,126,0
Choluteca,126,0
Comayagua,126,0
El Paraíso,126,0
Francisco Morazán,126,60
El Paraíso,126,0
Atlántida,126,120
La Paz,126,0
Yoro,126,6
Cortes,126,0
Yoro,126,1210
Cortes,126,161
Islas de La Bahía,126,0
Valle,126,0
Cortes,126,0
Cortes,126,0
Santa Bárbara,126,0
Copan,126,0
Comayagua,126,0
Atlántida,126,1029
Colon,126,352
Cortes,126,122
Cortes,126,0
Valle,127,0
Olancho,127,0
Cortes,127,0
Choluteca,127,0
Comayagua,127,0
El Paraíso,127,0
Francisco Morazán,127,0
El Paraíso,127,0
Atlántida,127,0
La Paz,127,0
Yoro,127,0
Cortes,127,0
Yoro,127,0
Cortes,127,0
Islas de La Bahía,127,0
Valle,127,0
Cortes,127,0
Cortes,127,0
Santa Bárbara,127,0
Copan,127,31
Comayagua,127,0
Atlántida,127,0
Colon,127,0
Cortes,127,0
Cortes,127,0
Valle,128,0
Olancho,128,0
Cortes,128,0
Choluteca,128,0
Comayagua,128,224
El Paraíso,128,0
Francisco Morazán,128,0
El Paraíso,128,0
Atlántida,128,0
La Paz,128,0
Yoro,128,0
Cortes,128,0
Yoro,128,0
Cortes,128,0
Islas de La Bahía,128,0
Valle,128,0
Cortes,128,0
Cortes,128,0
Santa Bárbara,128,0
Copan,128,0
Comayagua,128,0
Atlántida,128,0
Colon,128,0
Cortes,128,0
Cortes,128,0
Valle,129,0
Olancho,129,0
Cortes,129,1
Choluteca,129,56
Comayagua,129,0
El Paraíso,129,0
Francisco Morazán,129,15
El Paraíso,129,0
Atlántida,129,0
La Paz,129,0
Yoro,129,0
Cortes,129,0
Yoro,129,21
Cortes,129,0
Islas de La Bahía,129,0
Valle,129,0
Cortes,129,0
Cortes,129,0
Santa Bárbara,129,0
Copan,129,0
Comayagua,129,0
Atlántida,129,0
Colon,129,0
Cortes,129,0
Cortes,129,0
Valle,130,0
Olancho,130,0
Cortes,130,0
Choluteca,130,0
Comayagua,130,0
El Paraíso,130,0
Francisco Morazán,130,16
El Paraíso,130,0
Atlántida,130,14
La Paz,130,0
Yoro,130,0
Cortes,130,0
Yoro,130,0
Cortes,130,0
Islas de La Bahía,130,0
Valle,130,0
Cortes,130,0
Cortes,130,11
Santa Bárbara,130,0
Copan,130,0
Comayagua,130,2
Atlántida,130,25
Colon,130,0
Cortes,130,0
Cortes,130,0
Valle,141,0
Olancho,141,0
Cortes,141,0
Choluteca,141,13
Comayagua,141,0
El Paraíso,141,127
Francisco Morazán,141,0
El Paraíso,141,44
Atlántida,141,4
La Paz,141,26
Yoro,141,0
Cortes,141,0
Yoro,141,0
Cortes,141,0
Islas de La Bahía,141,0
Valle,141,0
Cortes,141,0
Cortes,141,0
Santa Bárbara,141,0
Copan,141,42
Comayagua,141,0
Atlántida,141,0
Colon,141,0
Cortes,141,0
Cortes,141,0
Valle,143,0
Olancho,143,0
Cortes,143,0
Choluteca,143,0
Comayagua,143,0
El Paraíso,143,0
Francisco Morazán,143,0
El Paraíso,143,0
Atlántida,143,57
La Paz,143,90
Yoro,143,0
Cortes,143,0
Yoro,143,0
Cortes,143,0
Islas de La Bahía,143,0
Valle,143,0
Cortes,143,0
Cortes,143,73
Santa Bárbara,143,0
Copan,143,0
Comayagua,143,0
Atlántida,143,0
Colon,143,0
Cortes,143,168
Cortes,143,0
Valle,145,0
Olancho,145,0
Cortes,145,0
Choluteca,145,0
Comayagua,145,0
El Paraíso,145,0
Francisco Morazán,145,1
El Paraíso,145,0
Atlántida,145,0
La Paz,145,0
Yoro,145,0
Cortes,145,0
Yoro,145,0
Cortes,145,0
Islas de La Bahía,145,0
Valle,145,0
Cortes,145,0
Cortes,145,0
Santa Bárbara,145,0
Copan,145,0
Comayagua,145,0
Atlántida,145,0
Colon,145,0
Cortes,145,0
Cortes,145,0
Valle,146,0
Olancho,146,0
Cortes,146,0
Choluteca,146,39
Comayagua,146,0
El Paraíso,146,0
Francisco Morazán,146,90
El Paraíso,146,0
Atlántida,146,12
La Paz,146,0
Yoro,146,0
Cortes,146,0
Yoro,146,0
Cortes,146,0
Islas de La Bahía,146,0
Valle,146,0
Cortes,146,0
Cortes,146,64
Santa Bárbara,146,0
Copan,146,81
Comayagua,146,42
Atlántida,146,0
Colon,146,0
Cortes,146,146
Cortes,146,0
Valle,149,0
Olancho,149,0
Cortes,149,0
Choluteca,149,0
Comayagua,149,0
El Paraíso,149,0
Francisco Morazán,149,0
El Paraíso,149,0
Atlántida,149,0
La Paz,149,0
Yoro,149,0
Cortes,149,0
Yoro,149,0
Cortes,149,0
Islas de La Bahía,149,0
Valle,149,0
Cortes,149,0
Cortes,149,1
Santa Bárbara,149,0
Copan,149,0
Comayagua,149,0
Atlántida,149,0
Colon,149,0
Cortes,149,0
Cortes,149,0
Valle,150,0
Olancho,150,0
Cortes,150,0
Choluteca,150,0
Comayagua,150,0
El Paraíso,150,0
Francisco Morazán,150,71
El Paraíso,150,0
Atlántida,150,151
La Paz,150,0
Yoro,150,0
Cortes,150,0
Yoro,150,0
Cortes,150,0
Islas de La Bahía,150,0
Valle,150,0
Cortes,150,0
Cortes,150,3
Santa Bárbara,150,0
Copan,150,0
Comayagua,150,0
Atlántida,150,0
Colon,150,0
Cortes,150,0
Cortes,150,0
Valle,161,0
Olancho,161,14
Cortes,161,50
Choluteca,161,12
Comayagua,161,4
El Paraíso,161,0
Francisco Morazán,161,159
El Paraíso,161,0
Atlántida,161,291
La Paz,161,13
Yoro,161,1526
Cortes,161,0
Yoro,161,237
Cortes,161,185
Islas de La Bahía,161,0
Valle,161,0
Cortes,161,0
Cortes,161,311
Santa Bárbara,161,0
Copan,161,49
Comayagua,161,9
Atlántida,161,8
Colon,161,180
Cortes,161,83
Cortes,161,0
Valle,162,0
Olancho,162,0
Cortes,162,0
Choluteca,162,0
Comayagua,162,0
El Paraíso,162,0
Francisco Morazán,162,3
El Paraíso,162,0
Atlántida,162,0
La Paz,162,0
Yoro,162,0
Cortes,162,0
Yoro,162,30
Cortes,162,0
Islas de La Bahía,162,0
Valle,162,0
Cortes,162,0
Cortes,162,22
Santa Bárbara,162,0
Copan,162,0
Comayagua,162,0
Atlántida,162,7
Colon,162,4
Cortes,162,0
Cortes,162,0
Valle,163,0
Olancho,163,0
Cortes,163,0
Choluteca,163,0
Comayagua,163,0
El Paraíso,163,0
Francisco Morazán,163,0
El Paraíso,163,0
Atlántida,163,0
La Paz,163,0
Yoro,163,0
Cortes,163,0
Yoro,163,0
Cortes,163,0
Islas de La Bahía,163,0
Valle,163,0
Cortes,163,0
Cortes,163,3147
Santa Bárbara,163,0
Copan,163,0
Comayagua,163,0
Atlántida,163,2
Colon,163,0
Cortes,163,0
Cortes,163,0
Valle,164,0
Olancho,164,0
Cortes,164,0
Choluteca,164,0
Comayagua,164,0
El Paraíso,164,0
Francisco Morazán,164,0
El Paraíso,164,0
Atlántida,164,0
La Paz,164,0
Yoro,164,0
Cortes,164,0
Yoro,164,0
Cortes,164,0
Islas de La Bahía,164,0
Valle,164,0
Cortes,164,0
Cortes,164,0
Santa Bárbara,164,0
Copan,164,0
Comayagua,164,2
Atlántida,164,0
Colon,164,0
Cortes,164,0
Cortes,164,0
Valle,210,0
Olancho,210,0
Cortes,210,0
Choluteca,210,0
Comayagua,210,0
El Paraíso,210,0
Francisco Morazán,210,510
El Paraíso,210,0
Atlántida,210,0
La Paz,210,0
Yoro,210,0
Cortes,210,0
Yoro,210,113
Cortes,210,0
Islas de La Bahía,210,0
Valle,210,1
Cortes,210,0
Cortes,210,0
Santa Bárbara,210,0
Copan,210,2
Comayagua,210,0
Atlántida,210,0
Colon,210,0
Cortes,210,0
Cortes,210,0
Valle,220,0
Olancho,220,0
Cortes,220,0
Choluteca,220,0
Comayagua,220,0
El Paraíso,220,0
Francisco Morazán,220,71
El Paraíso,220,0
Atlántida,220,0
La Paz,220,0
Yoro,220,0
Cortes,220,0
Yoro,220,0
Cortes,220,0
Islas de La Bahía,220,0
Valle,220,0
Cortes,220,0
Cortes,220,44
Santa Bárbara,220,0
Copan,220,0
Comayagua,220,0
Atlántida,220,0
Colon,220,0
Cortes,220,0
Cortes,220,0
Valle,230,0
Olancho,230,0
Cortes,230,0
Choluteca,230,0
Comayagua,230,0
El Paraíso,230,0
Francisco Morazán,230,4
El Paraíso,230,0
Atlántida,230,0
La Paz,230,0
Yoro,230,0
Cortes,230,0
Yoro,230,0
Cortes,230,0
Islas de La Bahía,230,0
Valle,230,0
Cortes,230,0
Cortes,230,0
Santa Bárbara,230,0
Copan,230,0
Comayagua,230,0
Atlántida,230,0
Colon,230,0
Cortes,230,0
Cortes,230,0
Valle,240,0
Olancho,240,0
Cortes,240,0
Choluteca,240,26
Comayagua,240,0
El Paraíso,240,0
Francisco Morazán,240,200
El Paraíso,240,0
Atlántida,240,1
La Paz,240,123
Yoro,240,0
Cortes,240,0
Yoro,240,0
Cortes,240,0
Islas de La Bahía,240,0
Valle,240,0
Cortes,240,0
Cortes,240,0
Santa Bárbara,240,0
Copan,240,0
Comayagua,240,0
Atlántida,240,62
Colon,240,0
Cortes,240,0
Cortes,240,0
Valle,311,0
Olancho,311,0
Cortes,311,0
Choluteca,311,26
Comayagua,311,0
El Paraíso,311,0
Francisco Morazán,311,0
El Paraíso,311,0
Atlántida,311,33
La Paz,311,0
Yoro,311,0
Cortes,311,0
Yoro,311,0
Cortes,311,0
Islas de La Bahía,311,17
Valle,311,0
Cortes,311,0
Cortes,311,0
Santa Bárbara,311,0
Copan,311,0
Comayagua,311,0
Atlántida,311,0
Colon,311,0
Cortes,311,0
Cortes,311,0
Valle,312,0
Olancho,312,0
Cortes,312,0
Choluteca,312,562
Comayagua,312,0
El Paraíso,312,0
Francisco Morazán,312,0
El Paraíso,312,0
Atlántida,312,0
La Paz,312,0
Yoro,312,0
Cortes,312,0
Yoro,312,0
Cortes,312,0
Islas de La Bahía,312,0
Valle,312,0
Cortes,312,0
Cortes,312,0
Santa Bárbara,312,0
Copan,312,0
Comayagua,312,0
Atlántida,312,0
Colon,312,0
Cortes,312,0
Cortes,312,0
Valle,321,0
Olancho,321,0
Cortes,321,1
Choluteca,321,793
Comayagua,321,0
El Paraíso,321,0
Francisco Morazán,321,0
El Paraíso,321,0
Atlántida,321,0
La Paz,321,0
Yoro,321,0
Cortes,321,0
Yoro,321,0
Cortes,321,0
Islas de La Bahía,321,5
Valle,321,270
Cortes,321,0
Cortes,321,6
Santa Bárbara,321,0
Copan,321,0
Comayagua,321,0
Atlántida,321,0
Colon,321,0
Cortes,321,0
Cortes,321,0
Valle,322,0
Olancho,322,0
Cortes,322,0
Choluteca,322,0
Comayagua,322,0
El Paraíso,322,1
Francisco Morazán,322,13
El Paraíso,322,0
Atlántida,322,0
La Paz,322,0
Yoro,322,0
Cortes,322,0
Yoro,322,0
Cortes,322,0
Islas de La Bahía,322,0
Valle,322,0
Cortes,322,0
Cortes,322,834
Santa Bárbara,322,0
Copan,322,0
Comayagua,322,0
Atlántida,322,0
Colon,322,0
Cortes,322,73
Cortes,322,0
Valle,510,0
Olancho,510,0
Cortes,510,37
Choluteca,510,0
Comayagua,510,0
El Paraíso,510,0
Francisco Morazán,510,0
El Paraíso,510,0
Atlántida,510,0
La Paz,510,0
Yoro,510,0
Cortes,510,0
Yoro,510,0
Cortes,510,0
Islas de La Bahía,510,0
Valle,510,0
Cortes,510,0
Cortes,510,0
Santa Bárbara,510,0
Copan,510,0
Comayagua,510,0
Atlántida,510,0
Colon,510,0
Cortes,510,0
Cortes,510,0
Valle,710,0
Olancho,710,0
Cortes,710,0
Choluteca,710,0
Comayagua,710,0
El Paraíso,710,0
Francisco Morazán,710,6
El Paraíso,710,0
Atlántida,710,0
La Paz,710,0
Yoro,710,0
Cortes,710,0
Yoro,710,0
Cortes,710,0
Islas de La Bahía,710,0
Valle,710,0
Cortes,710,0
Cortes,710,0
Santa Bárbara,710,0
Copan,710,0
Comayagua,710,0
Atlántida,710,0
Colon,710,30
Cortes,710,0
Cortes,710,0
Valle,729,0
Olancho,729,0
Cortes,729,0
Choluteca,729,79
Comayagua,729,0
El Paraíso,729,0
Francisco Morazán,729,23
El Paraíso,729,0
Atlántida,729,0
La Paz,729,0
Yoro,729,0
Cortes,729,0
Yoro,729,0
Cortes,729,0
Islas de La Bahía,729,0
Valle,729,0
Cortes,729,0
Cortes,729,0
Santa Bárbara,729,0
Copan,729,349
Comayagua,729,0
Atlántida,729,0
Colon,729,0
Cortes,729,0
Cortes,729,0
Valle,810,0
Olancho,810,0
Cortes,810,87
Choluteca,810,0
Comayagua,810,0
El Paraíso,810,0
Francisco Morazán,810,0
El Paraíso,810,0
Atlántida,810,0
La Paz,810,0
Yoro,810,0
Cortes,810,0
Yoro,810,5
Cortes,810,149
Islas de La Bahía,810,0
Valle,810,0
Cortes,810,0
Cortes,810,16
Santa Bárbara,810,0
Copan,810,0
Comayagua,810,0
Atlántida,810,0
Colon,810,0
Cortes,810,0
Cortes,810,0
Valle,893,0
Olancho,893,0
Cortes,893,0
Choluteca,893,0
Comayagua,893,0
El Paraíso,893,0
Francisco Morazán,893,0
El Paraíso,893,0
Atlántida,893,0
La Paz,893,0
Yoro,893,0
Cortes,893,0
Yoro,893,0
Cortes,893,0
Islas de La Bahía,893,0
Valle,893,13
Cortes,893,0
Cortes,893,0
Santa Bárbara,893,0
Copan,893,0
Comayagua,893,0
Atlántida,893,0
Colon,893,0
Cortes,893,0
Cortes,893,0
Valle,899,0
Olancho,899,0
Cortes,899,0
Choluteca,899,0
Comayagua,899,0
El Paraíso,899,0
Francisco Morazán,899,1
El Paraíso,899,0
Atlántida,899,0
La Paz,899,0
Yoro,899,0
Cortes,899,0
Yoro,899,0
Cortes,899,0
Islas de La Bahía,899,0
Valle,899,0
Cortes,899,0
Cortes,899,2
Santa Bárbara,899,0
Copan,899,0
Comayagua,899,0
Atlántida,899,0
Colon,899,0
Cortes,899,0
Cortes,899,0
Valle,910,0
Olancho,910,0
Cortes,910,71
Choluteca,910,0
Comayagua,910,7
El Paraíso,910,0
Francisco Morazán,910,638
El Paraíso,910,0
Atlántida,910,18
La Paz,910,0
Yoro,910,0
Cortes,910,0
Yoro,910,0
Cortes,910,0
Islas de La Bahía,910,0
Valle,910,0
Cortes,910,0
Cortes,910,192
Santa Bárbara,910,0
Copan,910,0
Comayagua,910,4
Atlántida,910,0
Colon,910,0
Cortes,910,0
Cortes,910,0
Valle,990,0
Olancho,990,0
Cortes,990,0
Choluteca,990,0
Comayagua,990,0
El Paraíso,990,0
Francisco Morazán,990,218
El Paraíso,990,0
Atlántida,990,0
La Paz,990,0
Yoro,990,3
Cortes,990,0
Yoro,990,0
Cortes,990,0
Islas de La Bahía,990,0
Valle,990,0
Cortes,990,0
Cortes,990,0
Santa Bárbara,990,1
Copan,990,0
Comayagua,990,0
Atlántida,990,0
Colon,990,0
Cortes,990,0
Cortes,990,0
Valle,1010,0
Olancho,1010,0
Cortes,1010,0
Choluteca,1010,67
Comayagua,1010,311
El Paraíso,1010,27
Francisco Morazán,1010,2089
El Paraíso,1010,0
Atlántida,1010,62
La Paz,1010,1
Yoro,1010,0
Cortes,1010,0
Yoro,1010,5
Cortes,1010,1
Islas de La Bahía,1010,0
Valle,1010,0
Cortes,1010,0
Cortes,1010,1137
Santa Bárbara,1010,0
Copan,1010,41
Comayagua,1010,864
Atlántida,1010,4
Colon,1010,0
Cortes,1010,1421
Cortes,1010,0
Valle,1020,0
Olancho,1020,0
Cortes,1020,0
Choluteca,1020,2857
Comayagua,1020,0
El Paraíso,1020,0
Francisco Morazán,1020,0
