zona,variable,value
Honduras,111,1248
Honduras,113,952
Honduras,114,533
Honduras,115,15
Honduras,119,27
Honduras,121,1110
Honduras,122,2398
Honduras,123,7
Honduras,124,13
Honduras,125,180
Honduras,126,3060
Honduras,127,31
Honduras,128,224
Honduras,129,93
Honduras,130,68
Honduras,141,256
Honduras,143,388
Honduras,145,1
Honduras,146,474
Honduras,149,1
Honduras,150,225
Honduras,161,3131
Honduras,162,66
Honduras,163,3149
Honduras,164,2
Honduras,210,626
Honduras,220,115
Honduras,230,4
Honduras,240,412
Honduras,311,76
Honduras,312,562
Honduras,321,1075
Honduras,322,921
Honduras,510,37
Honduras,710,36
Honduras,729,451
Honduras,810,257
Honduras,893,13
Honduras,899,3
Honduras,910,930
Honduras,990,222
Honduras,1010,6030
Honduras,1020,2926
Honduras,1030,6332
Honduras,1040,3862
Honduras,1050,5271
Honduras,1051,2119
Honduras,1062,417
Honduras,1071,4534
Honduras,1072,2422
Honduras,1073,243
Honduras,1074,45
Honduras,1075,30
Honduras,1079,1789
Honduras,1080,1879
Honduras,1101,114
Honduras,1102,10
Honduras,1103,893
Honduras,1104,6305
Honduras,1200,6354
Honduras,1311,7984
Honduras,1312,188
Honduras,1313,40730
Honduras,1391,2466
Honduras,1392,14527
Honduras,1399,4188
Honduras,1410,15580
Honduras,1420,15
Honduras,1430,52
Honduras,1512,28
Honduras,1520,153
Honduras,1610,742
Honduras,1621,58
Honduras,1622,689
Honduras,1623,35
Honduras,1629,1316
Honduras,1701,104
Honduras,1702,695
Honduras,1709,848
Honduras,1811,102
Honduras,1812,1814
Honduras,1820,3
Honduras,1910,809
Honduras,2011,151
Honduras,2012,40
Honduras,2013,896
Honduras,2021,157
Honduras,2022,14
Honduras,2023,2289
Honduras,2029,36
Honduras,2030,862
Honduras,2100,3291
Honduras,2211,1258
Honduras,2219,821
Honduras,2220,4815
Honduras,2310,266
Honduras,2391,123
Honduras,2392,6
Honduras,2393,51
Honduras,2394,719
Honduras,2395,1224
Honduras,2396,94
Honduras,2399,4
Honduras,2410,407
Honduras,2420,133
Honduras,2431,8
Honduras,2432,1
Honduras,2511,1863
Honduras,2513,1
Honduras,2520,5
Honduras,2591,1
Honduras,2592,1
Honduras,2593,7
Honduras,2599,11443
Honduras,2610,89
Honduras,2630,4
Honduras,2640,5
Honduras,2651,1936
Honduras,2652,5
Honduras,2660,1
Honduras,2670,6
Honduras,2680,1
Honduras,2710,3
Honduras,2720,81
Honduras,2740,164
Honduras,2750,84
Honduras,2790,9
Honduras,2811,40
Honduras,2816,10
Honduras,2817,36
Honduras,2819,71
Honduras,2822,1
Honduras,2825,4
Honduras,2826,14
Honduras,2910,1
Honduras,2930,83
Honduras,3092,40
Honduras,3099,10
Honduras,3100,526
Honduras,3211,275
Honduras,3212,36
Honduras,3250,152
Honduras,3290,81
Honduras,3311,163
Honduras,3312,190
Honduras,3313,354
Honduras,3314,45
Honduras,3315,235
Honduras,3319,32
Honduras,3320,1838
Honduras,3510,4897
Honduras,3520,660
Honduras,3530,54
Honduras,3600,3244
Honduras,3700,538
Honduras,3811,115
Honduras,3821,4
Honduras,3822,59
Honduras,3830,284
Honduras,3900,46
Honduras,4100,3268
Honduras,4210,920
Honduras,4220,68
Honduras,4290,2074
Honduras,4312,82
Honduras,4321,267
Honduras,4322,95
Honduras,4329,116
Honduras,4330,93
Honduras,4390,490
Honduras,4510,2439
Honduras,4520,1828
Honduras,4530,3862
Honduras,4540,1350
Honduras,4610,1406
Honduras,4620,1214
Honduras,4630,7475
Honduras,4641,1917
Honduras,4649,1585
Honduras,4651,638
Honduras,4652,647
Honduras,4653,2430
Honduras,4659,2353
Honduras,4661,2925
Honduras,4662,391
Honduras,4663,1662
Honduras,4669,670
Honduras,4690,10221
Honduras,4711,7193
Honduras,4719,2243
Honduras,4721,8136
Honduras,4722,41
Honduras,4730,3586
Honduras,4741,5858
Honduras,4742,766
Honduras,4751,1550
Honduras,4752,6498
Honduras,4753,8
Honduras,4759,6338
Honduras,4761,474
Honduras,4762,2
Honduras,4763,134
Honduras,4764,340
Honduras,4771,2782
Honduras,4772,8263
Honduras,4773,1502
Honduras,4774,1598
Honduras,4781,21
Honduras,4782,323
Honduras,4789,56
Honduras,4791,325
Honduras,4799,148
Honduras,4911,16
Honduras,4912,5
Honduras,4921,1518
Honduras,4922,880
Honduras,4923,2669
Honduras,5011,506
Honduras,5012,81
Honduras,5021,62
Honduras,5110,886
Honduras,5120,4
Honduras,5210,160
Honduras,5221,880
Honduras,5222,1713
Honduras,5223,748
Honduras,5224,1175
Honduras,5229,2619
Honduras,5310,251
Honduras,5320,817
Honduras,5510,4840
Honduras,5520,4
Honduras,5590,74
