zona,variable,value
Honduras,5610,12438
Honduras,5621,58
Honduras,5629,136
Honduras,5630,87
Honduras,5811,444
Honduras,5813,410
Honduras,5820,1965
Honduras,5911,945
Honduras,5912,3
Honduras,5914,455
Honduras,5920,4
Honduras,6010,156
Honduras,6020,188
Honduras,6110,7943
Honduras,6120,291
Honduras,6130,21
Honduras,6190,51
Honduras,6201,2014
Honduras,6202,864
Honduras,6209,1718
Honduras,6311,89
Honduras,6391,23
Honduras,6399,2947
Honduras,6411,5741
Honduras,6419,24766
Honduras,6420,1620
Honduras,6430,392
Honduras,6491,35
Honduras,6492,3228
Honduras,6499,868
Honduras,6511,930
Honduras,6512,1442
Honduras,6530,36882
Honduras,6611,639
Honduras,6612,10
Honduras,6619,132
Honduras,6621,43
Honduras,6622,385
Honduras,6629,3365
Honduras,6630,13
Honduras,6810,1404
Honduras,6820,1852
Honduras,6910,1044
Honduras,6920,1067
Honduras,7010,1057
Honduras,7020,877
Honduras,7110,769
Honduras,7120,3482
Honduras,7210,150
Honduras,7220,62
Honduras,7310,1609
Honduras,7320,369
Honduras,7410,45
Honduras,7420,48
Honduras,7490,428
Honduras,7500,206
Honduras,7710,633
Honduras,7721,155
Honduras,7722,1
Honduras,7729,17
Honduras,7730,596
Honduras,7740,3
Honduras,7810,5309
Honduras,7820,3
Honduras,7830,134
Honduras,7911,589
Honduras,7912,139
Honduras,7990,400
Honduras,8010,9841
Honduras,8020,367
Honduras,8030,10
Honduras,8110,17
Honduras,8121,3783
Honduras,8129,55
Honduras,8130,106
Honduras,8211,30
Honduras,8219,44
Honduras,8220,4525
Honduras,8230,124
Honduras,8291,54
Honduras,8292,98
Honduras,8299,760
Honduras,8411,34738
Honduras,8412,92973
Honduras,8413,2173
Honduras,8421,18
Honduras,8422,724
Honduras,8423,30202
Honduras,8430,33174
Honduras,8431,1
Honduras,8510,4612
Honduras,8521,7052
Honduras,8522,2690
Honduras,8530,13232
Honduras,8541,1502
Honduras,8542,495
Honduras,8549,123
Honduras,8550,201
Honduras,8610,4058
Honduras,8611,2
Honduras,8620,3818
Honduras,8690,3370
Honduras,8710,48
Honduras,8720,43
Honduras,8730,46
Honduras,8790,477
Honduras,8810,207
Honduras,8890,616
Honduras,9000,56
Honduras,9101,65
Honduras,9102,106
Honduras,9103,28
Honduras,9200,273
Honduras,9311,34
Honduras,9312,78
Honduras,9319,35
Honduras,9321,22
Honduras,9329,79
Honduras,9411,2824
Honduras,9412,2687
Honduras,9420,285
Honduras,9491,3179
Honduras,9492,23
Honduras,9499,7837
Honduras,9511,45
Honduras,9512,14
Honduras,9521,26
Honduras,9522,62
Honduras,9523,11
Honduras,9524,119
Honduras,9529,6
Honduras,9601,114
Honduras,9602,1332
Honduras,9603,1336
Honduras,9609,1132
Honduras,9700,73
Honduras,9810,11
Honduras,9820,20
Honduras,9900,526
