TIME_PERIOD,REF_AREA,ACTIVITY,OBS_VALUE
2019,HND,0111,1359
2019,HND,0113,1642
2019,HND,0114,649
2019,HND,0115,27
2019,HND,0119,28
2019,HND,0121,895
2019,HND,0122,2957
2019,HND,0123,122
2019,HND,0124,12
2019,HND,0125,161
2019,HND,0126,4387
2019,HND,0127,22
2019,HND,0128,545
2019,HND,0129,255
2019,HND,0130,73
2019,HND,0141,270
2019,HND,0143,361
2019,HND,0145,1
2019,HND,0146,480
2019,HND,0149,1
2019,HND,0150,127
2019,HND,0161,2468
2019,HND,0162,95
2019,HND,0163,3389
2019,HND,0164,2
2019,HND,0210,387
2019,HND,0220,75
2019,HND,0230,4
2019,HND,0240,412
2019,HND,0311,43
2019,HND,0312,359
2019,HND,0321,2691
2019,HND,0322,2122
2019,HND,0510,22
2019,HND,0710,101
2019,HND,0729,483
2019,HND,0810,194
2019,HND,0893,13
2019,HND,0899,5
2019,HND,0910,1027
2019,HND,0990,243
2019,HND,1010,5988
2019,HND,1020,2923
2019,HND,1030,5454
2019,HND,1040,3994
2019,HND,1050,4783
2019,HND,1051,1831
2019,HND,1062,330
2019,HND,1071,4601
2019,HND,1072,2489
2019,HND,1073,200
2019,HND,1074,77
2019,HND,1075,41
2019,HND,1079,2207
2019,HND,1080,2036
2019,HND,1101,87
2019,HND,1102,1
2019,HND,1103,925
2019,HND,1104,6607
2019,HND,1200,5280
2019,HND,1311,9914
2019,HND,1312,276
2019,HND,1313,71320
2019,HND,1391,2839
2019,HND,1392,9677
2019,HND,1399,3752
2019,HND,1410,16142
2019,HND,1420,35
2019,HND,1511,2
2019,HND,1512,35
2019,HND,1520,141
2019,HND,1610,1084
2019,HND,1621,103
2019,HND,1622,641
2019,HND,1623,56
2019,HND,1629,1344
2019,HND,1701,94
2019,HND,1702,953
2019,HND,1709,1474
2019,HND,1811,168
2019,HND,1812,2133
2019,HND,1820,4
2019,HND,1910,966
2019,HND,1920,6
2019,HND,2011,354
2019,HND,2012,38
2019,HND,2013,868
2019,HND,2021,128
2019,HND,2022,16
2019,HND,2023,2090
2019,HND,2029,41
2019,HND,2030,857
2019,HND,2100,2869
2019,HND,2211,1183
2019,HND,2219,714
2019,HND,2220,4260
2019,HND,2310,285
2019,HND,2391,112
2019,HND,2392,12
2019,HND,2393,60
2019,HND,2394,676
2019,HND,2395,780
2019,HND,2396,36
2019,HND,2399,7
2019,HND,2410,389
2019,HND,2420,167
2019,HND,2431,22
2019,HND,2432,6
2019,HND,2511,1602
2019,HND,2512,1
2019,HND,2513,1
2019,HND,2520,2
2019,HND,2591,56
2019,HND,2592,5
2019,HND,2593,7
2019,HND,2599,10157
2019,HND,2610,126
2019,HND,2630,5
2019,HND,2640,24
2019,HND,2651,1629
2019,HND,2652,7
2019,HND,2660,1
2019,HND,2670,1
2019,HND,2680,1
2019,HND,2710,8
2019,HND,2720,85
2019,HND,2740,80
2019,HND,2750,131
2019,HND,2790,10
2019,HND,2811,71
2019,HND,2815,1
2019,HND,2816,29
2019,HND,2817,34
2019,HND,2819,70
2019,HND,2822,2
2019,HND,2825,9
2019,HND,2826,20
2019,HND,2910,1
2019,HND,2930,50
2019,HND,3092,67
2019,HND,3099,12
2019,HND,3100,454
2019,HND,3211,148
2019,HND,3212,37
2019,HND,3250,119
2019,HND,3290,104
2019,HND,3311,117
2019,HND,3312,195
2019,HND,3313,417
2019,HND,3314,121
2019,HND,3315,411
2019,HND,3319,30
2019,HND,3320,1837
2019,HND,3510,6969
2019,HND,3520,750
2019,HND,3530,56
2019,HND,3600,3131
2019,HND,3700,615
2019,HND,3811,87
2019,HND,3821,14
2019,HND,3822,44
2019,HND,3830,360
2019,HND,3900,21
2019,HND,4100,4580
2019,HND,4210,1093
2019,HND,4220,24
2019,HND,4290,2419
2019,HND,4312,170
2019,HND,4321,276
2019,HND,4322,79
2019,HND,4329,86
2019,HND,4330,92
2019,HND,4390,596
2019,HND,4510,2230
2019,HND,4520,1860
2019,HND,4530,3434
2019,HND,4540,929
2019,HND,4610,1055
2019,HND,4620,1182
2019,HND,4630,7388
2019,HND,4641,1284
2019,HND,4649,1776
2019,HND,4651,358
2019,HND,4652,783
2019,HND,4653,2262
2019,HND,4659,1468
2019,HND,4661,2546
2019,HND,4662,308
2019,HND,4663,1522
2019,HND,4669,444
2019,HND,4690,9391
2019,HND,4711,7655
2019,HND,4719,2029
2019,HND,4721,7558
2019,HND,4722,33
2019,HND,4730,3383
2019,HND,4741,5636
2019,HND,4742,947
2019,HND,4751,1742
2019,HND,4752,6403
2019,HND,4753,17
2019,HND,4759,6688
2019,HND,4761,617
2019,HND,4762,2
2019,HND,4763,145
2019,HND,4764,770
2019,HND,4771,2795
2019,HND,4772,6746
2019,HND,4773,1300
2019,HND,4774,1191
2019,HND,4781,67
2019,HND,4782,183
2019,HND,4789,67
2019,HND,4791,430
2019,HND,4799,134
2019,HND,4911,21
2019,HND,4912,6
2019,HND,4921,1674
2019,HND,4922,860
2019,HND,4923,2794
2019,HND,5011,576
2019,HND,5012,96
2019,HND,5021,61
2019,HND,5110,1009
2019,HND,5120,6
2019,HND,5210,210
2019,HND,5221,520
2019,HND,5222,1560
2019,HND,5223,540
2019,HND,5224,692
2019,HND,5229,1871
2019,HND,5310,240
2019,HND,5320,857
2019,HND,5510,6009
2019,HND,5520,6
2019,HND,5590,147
2019,HND,5610,13410
2019,HND,5621,10
2019,HND,5629,86
2019,HND,5630,176
2019,HND,5811,425
2019,HND,5813,445
2019,HND,5819,1
2019,HND,5820,1049
2019,HND,5911,924
2019,HND,5912,4
2019,HND,5914,566
2019,HND,5920,4
2019,HND,6010,226
2019,HND,6020,235
2019,HND,6110,8126
2019,HND,6120,437
2019,HND,6130,18
2019,HND,6190,86
2019,HND,6201,904
2019,HND,6202,1127
2019,HND,6209,1318
2019,HND,6311,81
2019,HND,6391,28
2019,HND,6399,3347
2019,HND,6411,5536
2019,HND,6419,23360
2019,HND,6420,1294
2019,HND,6430,226
2019,HND,6491,29
2019,HND,6492,3246
2019,HND,6499,891
2019,HND,6511,871
2019,HND,6512,1269
2019,HND,6530,27699
2019,HND,6611,561
2019,HND,6612,13
2019,HND,6619,111
2019,HND,6621,92
2019,HND,6622,336
2019,HND,6629,2183
2019,HND,6630,656
2019,HND,6810,1456
2019,HND,6820,2001
2019,HND,6910,1120
2019,HND,6920,1248
2019,HND,7010,2105
2019,HND,7020,555
2019,HND,7110,1164
2019,HND,7120,3211
2019,HND,7210,111
2019,HND,7220,134
2019,HND,7310,1745
2019,HND,7320,1237
2019,HND,7410,74
2019,HND,7420,69
2019,HND,7490,473
2019,HND,7500,199
2019,HND,7710,795
2019,HND,7721,178
2019,HND,7722,1
2019,HND,7729,20
2019,HND,7730,508
2019,HND,7740,2
2019,HND,7810,5418
2019,HND,7820,1
2019,HND,7830,108
2019,HND,7911,676
2019,HND,7912,203
