,zm_id,zm_nombre
0,12.2.02,Metrópoli municipal de Acapulco
1,30.3.08,Zona conurbada de Acayucan
2,01.1.01,Zona metropolitana de Aguascalientes
3,13.3.03,Zona conurbada de Atitalaquia
4,26.3.05,Zona conurbada de Caborca
5,04.2.01,Metrópoli municipal de Campeche
6,23.1.01,Zona metropolitana de Cancún
7,09.1.01,Zona metropolitana de la Ciudad de México
8,11.1.01,Zona metropolitana de Celaya
9,23.2.02,Metrópoli municipal de Chetumal
10,08.1.01,Zona metropolitana de Chihuahua
11,12.1.01,Zona metropolitana de Chilpancingo
12,26.2.02,Metrópoli municipal de Ciudad Obregón
13,28.2.03,Metrópoli municipal de Ciudad Victoria
14,30.1.01,Zona metropolitana de Coatzacoalcos
15,06.1.01,Zona metropolitana de Colima-Villa de Álvarez
16,30.1.02,Zona metropolitana de Córdoba
17,17.1.01,Zona metropolitana de Cuautla
18,17.1.02,Zona metropolitana de Cuernavaca
19,25.2.01,Metrópoli municipal de Culiacán
20,08.1.02,Zona metropolitana de Delicias
21,10.2.01,Metrópoli municipal de Durango
22,02.2.02,Metrópoli municipal de Ensenada
23,11.2.03,Metrópoli municipal de Guanajuato
24,26.1.01,Zona metropolitana de Guaymas
25,14.1.01,Zona metropolitana de Guadalajara
26,26.2.03,Metrópoli municipal de Hermosillo
27,08.3.04,Zona conurbada de Hidalgo del Parral
28,21.3.04,Zona conurbada de Huauchinango
29,29.3.02,Zona conurbada de Huamantla
30,11.2.04,Metrópoli municipal de Irapuato
31,08.2.03,Metrópoli municipal de Ciudad Juárez
32,20.3.02,Zona conurbada de Juchitán de Zaragoza
33,05.1.01,Zona metropolitana de La Laguna
34,03.2.01,Metrópoli municipal de La Paz
35,16.1.01,Zona metropolitana de La Piedad-Pénjamo
36,16.3.05,Zona conurbada de Lázaro Cárdenas
37,11.1.02,Zona metropolitana de León
38,03.2.02,Metrópoli municipal de Los Cabos
39,25.2.02,Metrópoli municipal de Los Mochis
40,24.3.02,Zona conurbada de Matehuala
41,28.2.04,Metrópoli municipal de Matamoros
42,25.2.03,Metrópoli municipal de Mazatlán
43,31.1.01,Zona metropolitana de Mérida
44,02.2.03,Metrópoli municipal de Mexicali
45,30.1.03,Zona metropolitana de Minatitlán
46,05.1.02,Zona metropolitana de Monclova-Frontera
47,16.1.02,Zona metropolitana de Morelia
48,11.3.05,Zona conurbada de Moroleón-Uriangato
49,19.1.01,Zona metropolitana de Monterrey
50,26.2.04,Metrópoli municipal de Nogales
51,28.2.05,Metrópoli municipal de Nuevo Laredo
52,20.1.01,Zona metropolitana de Oaxaca
53,14.3.03,Zona conurbada de Ocotlán
54,30.1.04,Zona metropolitana de Orizaba
55,15.3.02,Zona conurbada de Ozumba
56,13.1.01,Zona metropolitana de Pachuca
57,05.1.03,Zona metropolitana de Piedras Negras
58,23.2.03,Metrópoli municipal de Playa del Carmen
59,30.1.05,Zona metropolitana de Poza Rica
60,21.1.01,Zona metropolitana de Puebla-Tlaxcala
61,22.1.01,Zona metropolitana de Querétaro
62,28.1.01,Zona metropolitana de Reynosa
63,24.3.03,Zona conurbada de Rioverde
64,05.3.05,Zona conurbada de Sabinas
65,16.3.06,Zona conurbada de Sahuayo
66,20.3.03,Zona conurbada de Salina Cruz
67,05.1.04,Zona metropolitana de Saltillo
68,24.1.01,Zona metropolitana de San Luis Potosí
69,21.1.02,Zona metropolitana de San Martín Texmelucan
70,11.3.06,Zona conurbada de Silao
71,28.1.02,Zona metropolitana de Tampico
72,07.1.01,Zona metropolitana de Tapachula
73,06.3.02,Zona conurbada de Tecomán
74,20.3.04,Zona conurbada de Tehuantepec
75,21.1.03,Zona metropolitana de Tehuacán
76,18.1.01,Zona metropolitana de Tepic
77,21.3.05,Zona conurbada de Teziutlán
78,15.3.03,Zona conurbada de Tianguistenco
79,02.1.01,Zona metropolitana de Tijuana
80,29.1.01,Zona metropolitana de Tlaxcala-Apizaco
81,15.1.01,Zona metropolitana de Toluca
82,13.1.02,Zona metropolitana de Tulancingo
83,07.1.02,Zona metropolitana de Tuxtla Gutiérrez
84,16.2.04,Metrópoli municipal de Uruapan
85,31.3.02,Zona conurbada de Valladolid
86,14.1.02,Zona metropolitana de Puerto Vallarta
87,30.1.06,Zona metropolitana de Veracruz
88,27.1.01,Zona metropolitana de Villahermosa
89,30.1.07,Zona metropolitana de Xalapa
90,32.1.01,Zona metropolitana de Zacatecas-Guadalupe
91,16.1.03,Zona metropolitana de Zamora
