,zm_id,zm_nombre
0,01.1.01,Zona metropolitana de Aguascalientes
1,02.1.01,Zona metropolitana de Tijuana
2,05.1.01,Zona metropolitana de La Laguna
3,05.1.02,Zona metropolitana de Monclova-Frontera
4,05.1.03,Zona metropolitana de Piedras Negras
5,05.1.04,Zona metropolitana de Saltillo
6,06.1.01,Zona metropolitana de Colima-Villa de Álvarez
7,07.1.01,Zona metropolitana de Tapachula
8,07.1.02,Zona metropolitana de Tuxtla Gutiérrez
9,08.1.01,Zona metropolitana de Chihuahua
10,08.1.02,Zona metropolitana de Delicias
11,09.1.01,Zona metropolitana de la Ciudad de México
12,11.1.01,Zona metropolitana de Celaya
13,11.1.02,Zona metropolitana de León
14,12.1.01,Zona metropolitana de Chilpancingo
15,13.1.01,Zona metropolitana de Pachuca
16,13.1.02,Zona metropolitana de Tulancingo
17,14.1.01,Zona metropolitana de Guadalajara
18,14.1.02,Zona metropolitana de Puerto Vallarta
19,15.1.01,Zona metropolitana de Toluca
20,16.1.01,Zona metropolitana de La Piedad-Pénjamo
21,16.1.02,Zona metropolitana de Morelia
22,16.1.03,Zona metropolitana de Zamora
23,17.1.01,Zona metropolitana de Cuautla
24,17.1.02,Zona metropolitana de Cuernavaca
25,18.1.01,Zona metropolitana de Tepic
26,19.1.01,Zona metropolitana de Monterrey
27,20.1.01,Zona metropolitana de Oaxaca
28,21.1.01,Zona metropolitana de Puebla-Tlaxcala
29,21.1.02,Zona metropolitana de San Martín Texmelucan
30,21.1.03,Zona metropolitana de Tehuacán
31,22.1.01,Zona metropolitana de Querétaro
32,23.1.01,Zona metropolitana de Cancún
33,24.1.01,Zona metropolitana de San Luis Potosí
34,26.1.01,Zona metropolitana de Guaymas
35,27.1.01,Zona metropolitana de Villahermosa
36,28.1.01,Zona metropolitana de Reynosa
37,28.1.02,Zona metropolitana de Tampico
38,29.1.01,Zona metropolitana de Tlaxcala-Apizaco
39,30.1.01,Zona metropolitana de Coatzacoalcos
40,30.1.02,Zona metropolitana de Córdoba
41,30.1.03,Zona metropolitana de Minatitlán
42,30.1.04,Zona metropolitana de Orizaba
43,30.1.05,Zona metropolitana de Poza Rica
44,30.1.06,Zona metropolitana de Veracruz
45,30.1.07,Zona metropolitana de Xalapa
46,31.1.01,Zona metropolitana de Mérida
47,32.1.01,Zona metropolitana de Zacatecas-Guadalupe
