actividad,est,emp,est_transable,emp_transable,razon_est_transables,razon_emp_transables
0,20067,779283,0,0,0.0,0.0
1,3615,278946,3615,278946,1.0,1.0
2,5617,363369,5617,363369,1.0,1.0
3,4563,232897,4563,232897,1.0,1.0
4,294683,3780396,0,0,0.0,0.0
5,2728,43688,2728,43688,1.0,1.0
6,22912,676099,13032,310913,0.5687849162011173,0.4598631265539514
7,70455,1034027,42993,607237,0.6102192889078135,0.5872544914204368
8,49001,863737,48055,853472,0.9806942715454786,0.9881155953722024
9,8827,405896,2698,94557,0.30565310977682114,0.23295868892524194
10,130237,1240437,2691,62319,0.020662330981211178,0.05023955267377545
13,9572,319734,5579,207459,0.5828458002507313,0.6488487305072341
14,14526,526160,12551,487846,0.8640368993528845,0.9271818458263646
15,56166,661739,33154,215539,0.5902859381120251,0.3257160300360112
16,56173,849113,35621,430766,0.634130276111299,0.5073129253703571
17,150413,2127560,0,0,0.0,0.0
18,3028,245475,3028,245475,1.0,1.0
19,40221,515441,3939,78782,0.09793391511896771,0.152843875438702
20,3884,126607,3884,126607,1.0,1.0
21,2671,67533,2671,67533,1.0,1.0
22,33691,314894,1209,79656,0.035884954438870915,0.2529613139659695
23,21743,325836,6001,118438,0.2759968725566849,0.36348960826919063
24,1801,348797,1801,348797,1.0,1.0
25,13869,363855,7294,115667,0.5259211190424689,0.3178931167635459
26,104036,1489010,90974,1410082,0.8744473067015264,0.9469929684824145
27,27814,382713,27814,382713,1.0,1.0
28,2431,78288,0,0,0.0,0.0
29,60674,585720,0,0,0.0,0.0
30,1707,16389,1707,16389,1.0,1.0
31,11982,258032,1019,68322,0.08504423301619095,0.26478111242016494
32,38645,85957,38645,85957,1.0,1.0
33,1479,69830,1479,69830,1.0,1.0
34,4249,378825,4249,378825,1.0,1.0
35,1747,119034,1747,119034,1.0,1.0
36,6402,193980,2046,154232,0.31958762886597936,0.795092277554387
37,2842,225874,2842,225874,1.0,1.0
38,30890,241344,0,0,0.0,0.0
39,21990,376327,6641,243080,0.3020009095043201,0.6459276108278172
40,108577,649136,0,0,0.0,0.0
41,117182,675755,0,0,0.0,0.0
42,15940,413957,15940,413957,1.0,1.0
43,154301,1567115,65116,722639,0.42200633826093154,0.4611269753655603
44,64195,454288,55310,369287,0.8615935820546772,0.81289182192794
45,375050,4509789,0,0,0.0,0.0
47,1148,41375,1148,41375,1.0,1.0
48,770,40417,770,40417,1.0,1.0
49,1026,47847,1026,47847,1.0,1.0
50,6675,146197,600,19112,0.0898876404494382,0.13072771671101321
51,184,12410,184,12410,1.0,1.0
52,937,102226,937,102226,1.0,1.0
53,236543,1482130,0,0,0.0,0.0
54,24155,93783,323,9210,0.0133719726764645,0.09820543168804581
55,1666,8352,1666,8352,1.0,1.0
56,143092,646997,12302,58130,0.08597266094540575,0.08984585709052746
57,269626,1186420,0,0,0.0,0.0
58,198436,1299544,29292,163831,0.1476143441714205,0.12606806695271572
59,12007,96617,0,0,0.0,0.0
60,30986,457680,30986,457680,1.0,1.0
61,13538,129790,11282,115570,0.8333579553848427,0.8904384004931043
62,32709,252315,0,0,0.0,0.0
64,1931,25598,1931,25598,1.0,1.0
66,92,7671,92,7671,1.0,1.0
67,625,49134,625,49134,1.0,1.0
68,294,50820,294,50820,1.0,1.0
69,339,25533,339,25533,1.0,1.0
70,27132,358885,14204,268820,0.5235146690255049,0.7490421722836006
71,1345,44449,1345,44449,1.0,1.0
72,683,29850,683,29850,1.0,1.0
73,1500,30485,1500,30485,1.0,1.0
74,1093,69101,1093,69101,1.0,1.0
76,1458,21581,462,4708,0.3168724279835391,0.2181548584402947
77,15937,144654,15937,144654,1.0,1.0
78,354,29756,0,0,0.0,0.0
79,3359,522594,3359,522594,1.0,1.0
80,1872,31570,1872,31570,1.0,1.0
81,19380,1567470,19380,1567470,1.0,1.0
82,590303,11039641,0,0,0.0,0.0
83,3933,23607,3933,23607,1.0,1.0
86,102746,1885065,10401,75173,0.1012302182080081,0.03987820048645537
87,2057,26149,2057,26149,1.0,1.0
88,18019,988696,18019,988696,1.0,1.0
89,130115,1082892,4628,128673,0.035568535526265224,0.11882348378231625
90,36083,124219,36083,124219,1.0,1.0
91,15656,48315,0,0,0.0,0.0
92,15173,199125,15173,199125,1.0,1.0
93,17718,225775,3223,43540,0.18190540693080484,0.19284686081275607
96,6749,79399,1142,13327,0.16921025337086976,0.16784846156752603
97,13493,149497,13493,149497,1.0,1.0
98,50887,1065227,201,18054,0.0039499282724467935,0.016948500178835122
102,561,18999,561,18999,1.0,1.0
103,165,1085,165,1085,1.0,1.0
105,8986,196604,8986,196604,1.0,1.0
106,681,159579,681,159579,1.0,1.0
107,141,11395,141,11395,1.0,1.0
108,1130,42487,1130,42487,1.0,1.0
109,630,32907,630,32907,1.0,1.0
110,703,38869,703,38869,1.0,1.0
111,133,8514,133,8514,1.0,1.0
112,1270,101418,1270,101418,1.0,1.0
113,1264,87452,1264,87452,1.0,1.0
114,4242,116243,4242,116243,1.0,1.0
115,49,3315,49,3315,1.0,1.0
116,160,8651,160,8651,1.0,1.0
117,766,68319,766,68319,1.0,1.0
118,352,32127,352,32127,1.0,1.0
119,308,29424,308,29424,1.0,1.0
120,214,25386,214,25386,1.0,1.0
121,401,22834,401,22834,1.0,1.0
122,3454,84909,3454,84909,1.0,1.0
123,2005,55796,2005,55796,1.0,1.0
124,1227,62992,1227,62992,1.0,1.0
125,1285,78188,1285,78188,1.0,1.0
126,369,26394,369,26394,1.0,1.0
127,361,18241,361,18241,1.0,1.0
128,279,18234,279,18234,1.0,1.0
129,7271,140864,0,0,0.0,0.0
130,22827,337261,22827,337261,1.0,1.0
131,4500,46854,1171,15430,0.26022222222222224,0.3293208690826824
132,43846,1245537,0,0,0.0,0.0
