actividad,est,emp,est_transable,emp_transable,razon_est_transables,razon_emp_transables
133,3532,43922,3532,43922,1.0,1.0
134,24384,211402,3028,19946,0.12417979002624673,0.09435104682074909
135,2018,27368,2018,27368,1.0,1.0
136,462,30900,462,30900,1.0,1.0
137,3126,364303,3126,364303,1.0,1.0
139,26725,366032,26725,366032,1.0,1.0
140,16255,253678,16255,253678,1.0,1.0
141,16059,432256,10764,161936,0.6702783485895759,0.3746298489783832
142,161286,1183197,161286,1183197,1.0,1.0
143,18889,892500,13537,706351,0.7166604902324104,0.7914296918767507
144,15162,166836,406,7753,0.02677746999076639,0.04647078568174735
145,2893,63737,2893,63737,1.0,1.0
146,5157,5439007,0,0,0.0,0.0
147,123469,559906,0,0,0.0,0.0
148,57559,363181,0,0,0.0,0.0
155,18,5481,18,5481,1.0,1.0
156,17,3269,17,3269,1.0,1.0
157,941,31106,941,31106,1.0,1.0
158,4465,89178,4465,89178,1.0,1.0
159,527,54214,527,54214,1.0,1.0
160,1821,31935,1821,31935,1.0,1.0
161,5419,71598,5419,71598,1.0,1.0
162,4281,52878,4281,52878,1.0,1.0
163,1637,21298,1637,21298,1.0,1.0
164,5537,73847,241,6365,0.04352537475167058,0.08619172071986675
165,177,6195,177,6195,1.0,1.0
167,1054,38868,1054,38868,1.0,1.0
168,344,6465,344,6465,1.0,1.0
169,3359,124224,3359,124224,1.0,1.0
170,1551,107329,1551,107329,1.0,1.0
171,286,11234,286,11234,1.0,1.0
172,842,91735,842,91735,1.0,1.0
173,286,15777,286,15777,1.0,1.0
175,136,19018,136,19018,1.0,1.0
176,342,18196,342,18196,1.0,1.0
177,5962,21438,0,0,0.0,0.0
178,3705,95541,3705,95541,1.0,1.0
179,208,3054,208,3054,1.0,1.0
180,10792,223656,1190,8995,0.11026686434395849,0.04021801337768716
181,86566,1276531,0,0,0.0,0.0
182,14987,402849,5926,256441,0.3954093547741376,0.6365685405697916
183,5416,162739,1539,140168,0.2841580502215657,0.8613055260263367
184,4229,77091,4229,77091,1.0,1.0
185,8064,135414,8064,135414,1.0,1.0
186,58710,2676909,0,0,0.0,0.0
188,626,22515,626,22515,1.0,1.0
189,1120,22762,1120,22762,1.0,1.0
190,15123,1149373,0,0,0.0,0.0
191,2761,16250,2761,16250,1.0,1.0
192,51624,1425365,51624,1425365,1.0,1.0
193,5276,35354,5276,35354,1.0,1.0
194,49093,450756,0,0,0.0,0.0
197,3162,22712,3162,22712,1.0,1.0
198,3157,104406,112,282,0.03547671840354767,0.002700994195735877
199,61976,821496,61976,821496,1.0,1.0
200,19,10180,19,10180,1.0,1.0
201,6298,87453,6298,87453,1.0,1.0
202,12522,197329,12522,197329,1.0,1.0
203,11021,791569,0,0,0.0,0.0
204,10026,135856,0,0,0.0,0.0
205,3287,311620,3287,311620,1.0,1.0
207,3770,1709119,3770,1709119,1.0,1.0
208,27559,225361,7386,52428,0.26800682172792917,0.23264007525703206
209,40920,715081,0,0,0.0,0.0
210,24402,895856,0,0,0.0,0.0
211,5030,94235,5030,94235,1.0,1.0
212,889,37957,889,37957,1.0,1.0
213,19982,146197,2762,15408,0.13822440196176558,0.10539203950833465
214,16982,125991,0,0,0.0,0.0
226,3929,17374,3929,17374,1.0,1.0
227,143,552,143,552,1.0,1.0
228,3984,24687,3984,24687,1.0,1.0
229,1219,11249,1219,11249,1.0,1.0
230,842,19511,842,19511,1.0,1.0
231,2929,46780,2929,46780,1.0,1.0
232,10,3377,10,3377,1.0,1.0
234,963,21644,963,21644,1.0,1.0
235,3823,58489,3823,58489,1.0,1.0
236,54,5720,54,5720,1.0,1.0
237,114,6562,114,6562,1.0,1.0
238,57,2992,57,2992,1.0,1.0
239,174,21712,174,21712,1.0,1.0
240,30,1466,30,1466,1.0,1.0
244,43,763,43,763,1.0,1.0
245,88,2446,88,2446,1.0,1.0
246,2006,44827,2006,44827,1.0,1.0
247,215,7550,215,7550,1.0,1.0
248,779,14708,779,14708,1.0,1.0
249,4,1328,4,1328,1.0,1.0
250,94,3925,94,3925,1.0,1.0
251,27,2818,27,2818,1.0,1.0
252,132,2491,132,2491,1.0,1.0
253,256,12660,256,12660,1.0,1.0
254,1629,26592,1629,26592,1.0,1.0
255,110,12109,110,12109,1.0,1.0
256,260,17003,260,17003,1.0,1.0
257,406,8040,406,8040,1.0,1.0
259,79,3613,79,3613,1.0,1.0
260,93,15809,93,15809,1.0,1.0
261,194,6939,194,6939,1.0,1.0
262,40,1337,40,1337,1.0,1.0
263,305,10728,305,10728,1.0,1.0
264,129,25583,129,25583,1.0,1.0
265,17,1926,17,1926,1.0,1.0
266,394,9622,394,9622,1.0,1.0
267,3393,30892,0,0,0.0,0.0
268,105109,1181296,0,0,0.0,0.0
269,1550,80618,0,0,0.0,0.0
270,3409,36131,3409,36131,1.0,1.0
271,352,7721,352,7721,1.0,1.0
272,638,15818,638,15818,1.0,1.0
273,1011,19328,1011,19328,1.0,1.0
274,5177,84690,0,0,0.0,0.0
275,40386,299427,0,0,0.0,0.0
276,9229,77454,0,0,0.0,0.0
277,5943,157876,5943,157876,1.0,1.0
278,9078,233371,9078,233371,1.0,1.0
279,5359,83927,5359,83927,1.0,1.0
281,494,6899,494,6899,1.0,1.0
282,183,2638,183,2638,1.0,1.0
283,266,12357,266,12357,1.0,1.0
285,12478,144893,0,0,0.0,0.0
286,28037,598757,0,0,0.0,0.0
290,16867,155948,16867,155948,1.0,1.0
291,408,2059,408,2059,1.0,1.0
293,66116,933145,66116,933145,1.0,1.0
294,12234,147254,12234,147254,1.0,1.0
295,16110,584475,16110,584475,1.0,1.0
296,2822,75479,2822,75479,1.0,1.0
297,4288,268113,4288,268113,1.0,1.0
298,271,12751,271,12751,1.0,1.0
300,34,6459,34,6459,1.0,1.0
302,4452,43418,4452,43418,1.0,1.0
303,125250,763199,0,0,0.0,0.0
304,40407,3694188,40407,3694188,1.0,1.0
305,6672,150118,0,0,0.0,0.0
306,1749,44276,1749,44276,1.0,1.0
307,4011,74124,4011,74124,1.0,1.0
308,31664,453099,0,0,0.0,0.0
309,2295,13642,2295,13642,1.0,1.0
310,211,2225,0,0,0.0,0.0
311,2376,40661,2376,40661,1.0,1.0
312,32970,1739606,0,0,0.0,0.0
313,2854,150523,2854,150523,1.0,1.0
314,8442,72820,8442,72820,1.0,1.0
315,2212,24833,2212,24833,1.0,1.0
316,3454,36253,0,0,0.0,0.0
317,8136,220779,8136,220779,1.0,1.0
318,65404,1006185,0,0,0.0,0.0
319,112503,780723,0,0,0.0,0.0
320,35443,532005,0,0,0.0,0.0
321,5853,79280,5853,79280,1.0,1.0
322,311,23793,311,23793,1.0,1.0
323,1668,44749,1668,44749,1.0,1.0
326,9321,104638,9321,104638,1.0,1.0
327,21761,1132505,0,0,0.0,0.0
328,15551,122364,0,0,0.0,0.0
329,11321,130592,11321,130592,1.0,1.0
330,16025,1289930,0,0,0.0,0.0
331,5205,102573,0,0,0.0,0.0
332,37948,1468668,0,0,0.0,0.0
333,1235,88017,1235,88017,1.0,1.0
334,484,145599,484,145599,1.0,1.0
335,12882,100812,0,0,0.0,0.0
336,6058,84583,6058,84583,1.0,1.0
337,12027,132099,0,0,0.0,0.0
338,167685,1497932,0,0,0.0,0.0
339,1948,8246,0,0,0.0,0.0
340,523,1400,0,0,0.0,0.0
341,2755,9669,0,0,0.0,0.0
