TIME_PERIOD,REF_AREA,ACTIVITY,OBS_VALUE
2019,SLV,1000,65
2019,SLV,1010,921
2019,SLV,1020,1540
2019,SLV,1030,3812
2019,SLV,1040,502
2019,SLV,1050,4114
2019,SLV,1061,2854
2019,SLV,1062,98
2019,SLV,1071,7907
2019,SLV,1072,5231
2019,SLV,1073,757
2019,SLV,1074,18
2019,SLV,1075,20
2019,SLV,1079,6794
2019,SLV,1080,725
2019,SLV,1101,310
2019,SLV,1102,6
2019,SLV,1103,1632
2019,SLV,1104,2168
2019,SLV,1200,12
2019,SLV,1311,6424
2019,SLV,1312,2
2019,SLV,1313,1690
2019,SLV,1392,398
2019,SLV,1393,22
2019,SLV,1394,611
2019,SLV,1399,1482
2019,SLV,1410,10217
2019,SLV,1411,58519
2019,SLV,1430,251
2019,SLV,1511,361
2019,SLV,1512,1208
2019,SLV,1520,4270
2019,SLV,1610,198
2019,SLV,1612,1
2019,SLV,1621,37
2019,SLV,1622,56
2019,SLV,1623,12
2019,SLV,1629,98
2019,SLV,1631,259
2019,SLV,1701,936
2019,SLV,1702,1065
2019,SLV,1709,1480
2019,SLV,1811,5233
2019,SLV,1812,265
2019,SLV,1820,10
2019,SLV,1920,41
2019,SLV,2011,330
2019,SLV,2012,228
2019,SLV,2013,762
2019,SLV,2021,304
2019,SLV,2022,876
2019,SLV,2023,1461
2019,SLV,2029,782
2019,SLV,2030,15
2019,SLV,2100,6111
2019,SLV,2211,51
2019,SLV,2219,115
2019,SLV,2220,7869
2019,SLV,2310,512
2019,SLV,2391,636
2019,SLV,2392,153
2019,SLV,2393,2737
2019,SLV,2394,190
2019,SLV,2395,306
2019,SLV,2396,25
2019,SLV,2399,456
2019,SLV,2410,341
2019,SLV,2420,642
2019,SLV,2431,2467
2019,SLV,2511,4644
2019,SLV,2512,40
2019,SLV,2513,10
2019,SLV,2520,42
2019,SLV,2591,68
2019,SLV,2592,610
2019,SLV,2593,249
2019,SLV,2599,1425
2019,SLV,2610,75
2019,SLV,2630,9
2019,SLV,2651,3
2019,SLV,2652,4
2019,SLV,2670,154
2019,SLV,2710,143
2019,SLV,2731,7
2019,SLV,2740,23
2019,SLV,2750,73
2019,SLV,2790,273
2019,SLV,2811,22
2019,SLV,2813,227
2019,SLV,2814,7
2019,SLV,2815,12
2019,SLV,2816,28
2019,SLV,2817,17
2019,SLV,2819,395
2019,SLV,2821,604
2019,SLV,2822,140
2019,SLV,2824,36
2019,SLV,2825,70
2019,SLV,2826,31
2019,SLV,2829,119
2019,SLV,2920,45
2019,SLV,2930,182
2019,SLV,3011,22
2019,SLV,3030,3816
2019,SLV,3100,1488
2019,SLV,3211,165
2019,SLV,3230,2
2019,SLV,3250,107
2019,SLV,3290,2758
2019,SLV,3311,19
2019,SLV,3312,138
2019,SLV,3314,10
2019,SLV,3315,5
2019,SLV,3319,17
2019,SLV,3320,6
2019,SLV,3510,3201
2019,SLV,3520,1281
2019,SLV,3530,40
2019,SLV,3600,5289
2019,SLV,3700,684
2019,SLV,3811,1471
2019,SLV,3830,498
2019,SLV,3900,9
2019,SLV,4100,22065
2019,SLV,4210,871
2019,SLV,4220,26
2019,SLV,4290,324
2019,SLV,4312,147
2019,SLV,4321,3247
2019,SLV,4322,121
2019,SLV,4329,58
2019,SLV,4330,404
2019,SLV,4390,250
2019,SLV,4510,2407
2019,SLV,4520,6775
2019,SLV,4530,9383
2019,SLV,4540,838
2019,SLV,4610,167
2019,SLV,4620,2180
2019,SLV,4630,5657
2019,SLV,4641,2854
2019,SLV,4649,2839
2019,SLV,4651,86
2019,SLV,4652,76
2019,SLV,4653,13
2019,SLV,4659,3553
2019,SLV,4661,1583
2019,SLV,4662,234
2019,SLV,4663,3264
2019,SLV,4669,574
2019,SLV,4690,6298
2019,SLV,4711,8780
2019,SLV,4719,8447
2019,SLV,4721,8735
2019,SLV,4722,69
2019,SLV,4730,6151
2019,SLV,4741,207
2019,SLV,4742,30
2019,SLV,4751,55
2019,SLV,4752,10148
2019,SLV,4759,7543
2019,SLV,4761,135
2019,SLV,4763,6
2019,SLV,4764,16
2019,SLV,4771,5828
2019,SLV,4772,12168
2019,SLV,4773,23461
2019,SLV,4774,936
2019,SLV,4781,503
2019,SLV,4782,43
2019,SLV,4789,160
2019,SLV,4791,11
2019,SLV,4799,2524
2019,SLV,4911,24
2019,SLV,4921,7629
2019,SLV,4922,743
2019,SLV,4923,10076
2019,SLV,4930,4
2019,SLV,5012,322
2019,SLV,5013,17
2019,SLV,5022,4
2019,SLV,5110,2088
2019,SLV,5120,36
2019,SLV,5210,1245
2019,SLV,5221,3170
2019,SLV,5222,9
2019,SLV,5224,1731
2019,SLV,5229,1423
2019,SLV,5310,61
2019,SLV,5320,1729
2019,SLV,5510,327
2019,SLV,5590,5581
2019,SLV,5610,29061
2019,SLV,5621,154
2019,SLV,5629,73
2019,SLV,5630,47
2019,SLV,5811,142
2019,SLV,5813,859
2019,SLV,5819,127
2019,SLV,5820,29
2019,SLV,5911,1804
2019,SLV,5914,476
2019,SLV,5920,3
2019,SLV,6010,8
2019,SLV,6020,9647
2019,SLV,6110,61
2019,SLV,6120,52
2019,SLV,6130,49
2019,SLV,6190,299
2019,SLV,6201,1410
2019,SLV,6202,984
2019,SLV,6209,1159
2019,SLV,6311,529
2019,SLV,6312,159
2019,SLV,6391,47
2019,SLV,6399,18
2019,SLV,6411,8864
2019,SLV,6419,13957
2019,SLV,6420,4087
2019,SLV,6430,662
2019,SLV,6491,88
2019,SLV,6492,3930
2019,SLV,6499,15
2019,SLV,6511,743
2019,SLV,6512,1785
2019,SLV,6530,694
2019,SLV,6611,146
2019,SLV,6612,157
2019,SLV,6619,806
2019,SLV,6621,11
2019,SLV,6622,179
2019,SLV,6629,5
2019,SLV,6810,6243
2019,SLV,6820,492
2019,SLV,6910,3790
2019,SLV,6920,4543
2019,SLV,7010,62
2019,SLV,7020,10945
2019,SLV,7110,7480
2019,SLV,7120,99
2019,SLV,7210,299
2019,SLV,7220,7
2019,SLV,7310,3857
2019,SLV,7320,616
2019,SLV,7410,23
2019,SLV,7420,197
2019,SLV,7490,56
2019,SLV,7500,538
2019,SLV,7710,1361
2019,SLV,7729,119
2019,SLV,7730,1309
2019,SLV,7810,23259
2019,SLV,7830,2002
2019,SLV,7911,1020
2019,SLV,7912,34
2019,SLV,8010,29217
2019,SLV,8014,1
2019,SLV,8015,1
2019,SLV,8016,1
2019,SLV,8020,44
2019,SLV,8021,1
2019,SLV,8105,1
2019,SLV,8106,3
2019,SLV,8107,31
2019,SLV,8110,15
2019,SLV,8121,6587
2019,SLV,8129,345
2019,SLV,8130,48
2019,SLV,8131,4
2019,SLV,8139,3
2019,SLV,8141,26
2019,SLV,8152,1
2019,SLV,8162,4
2019,SLV,8202,2
2019,SLV,8211,24352
2019,SLV,8219,4
2019,SLV,8220,5030
2019,SLV,8230,3
2019,SLV,8239,1
2019,SLV,8251,3
2019,SLV,8259,1
2019,SLV,8291,31
2019,SLV,8292,277
2019,SLV,8299,883
2019,SLV,8309,2
2019,SLV,8310,1
2019,SLV,8321,5
2019,SLV,8329,1
2019,SLV,8331,6
2019,SLV,8410,6
2019,SLV,8411,75043
2019,SLV,8412,1504
2019,SLV,8413,370
2019,SLV,8421,474
2019,SLV,8422,370
2019,SLV,8423,31219
2019,SLV,8430,18747
2019,SLV,8432,10
2019,SLV,8433,3
2019,SLV,8451,7
2019,SLV,8452,10
2019,SLV,8453,1
2019,SLV,8461,1
2019,SLV,8464,2
2019,SLV,8466,1
2019,SLV,8469,4
2019,SLV,8471,65
2019,SLV,8472,48
2019,SLV,8474,2
2019,SLV,8475,15
2019,SLV,8476,10
2019,SLV,8477,73
2019,SLV,8478,106
2019,SLV,8479,31
2019,SLV,8492,26
2019,SLV,8510,6303
2019,SLV,8521,9862
2019,SLV,8522,2311
2019,SLV,8530,9027
2019,SLV,8541,28
2019,SLV,8542,5
2019,SLV,8549,1590
2019,SLV,8550,11
2019,SLV,8551,1
2019,SLV,8559,1
2019,SLV,8561,22
2019,SLV,8562,10
2019,SLV,8610,17569
2019,SLV,8611,1
2019,SLV,8619,2
2019,SLV,8620,6959
2019,SLV,8631,2
2019,SLV,8661,2
2019,SLV,8662,2
2019,SLV,8681,12
2019,SLV,8682,7
2019,SLV,8690,5894
2019,SLV,8691,32
2019,SLV,8692,18
2019,SLV,8702,10
2019,SLV,8711,23
2019,SLV,8730,9
2019,SLV,8731,4
2019,SLV,8741,11
2019,SLV,8742,3
2019,SLV,8749,17
2019,SLV,8750,3
2019,SLV,8771,1
2019,SLV,8772,3
2019,SLV,8790,4532
2019,SLV,8791,2
2019,SLV,8803,1
2019,SLV,8810,13
2019,SLV,8812,4
2019,SLV,8821,2
2019,SLV,8851,2
2019,SLV,8852,3
2019,SLV,8854,16
2019,SLV,8855,8
2019,SLV,8862,40
2019,SLV,8869,20
2019,SLV,8881,1
2019,SLV,8890,4053
2019,SLV,8900,4
2019,SLV,8932,1
2019,SLV,8949,2
2019,SLV,8951,3
2019,SLV,8952,2
2019,SLV,8960,60
2019,SLV,9000,190
2019,SLV,9014,6
2019,SLV,9015,3
2019,SLV,9016,4
2019,SLV,9031,1
2019,SLV,9101,19
2019,SLV,9102,106
2019,SLV,9103,42
2019,SLV,9105,5
2019,SLV,9106,8
2019,SLV,9107,52
2019,SLV,9131,10
2019,SLV,9139,10
2019,SLV,9141,30
2019,SLV,9162,5
2019,SLV,9181,6
2019,SLV,9200,64
2019,SLV,9202,2
2019,SLV,9239,1
2019,SLV,9251,10
2019,SLV,9259,7
2019,SLV,9310,4
2019,SLV,9311,79
2019,SLV,9312,67
2019,SLV,9319,1114
2019,SLV,9321,1255
2019,SLV,9329,806
2019,SLV,9331,13
2019,SLV,9410,28
2019,SLV,9411,3068
2019,SLV,9412,280
2019,SLV,9420,108
2019,SLV,9432,21
2019,SLV,9433,12
2019,SLV,9451,23
2019,SLV,9452,34
2019,SLV,9453,8
2019,SLV,9454,2
2019,SLV,9461,1
2019,SLV,9464,3
2019,SLV,9466,5
2019,SLV,9469,13
2019,SLV,9471,128
2019,SLV,9472,123
2019,SLV,9473,1
2019,SLV,9474,2
2019,SLV,9475,29
2019,SLV,9476,19
2019,SLV,9477,122
2019,SLV,9478,147
2019,SLV,9479,56
2019,SLV,9491,6349
2019,SLV,9492,304
2019,SLV,9499,2217
2019,SLV,9502,1
2019,SLV,9511,299
2019,SLV,9512,3
2019,SLV,9521,73
2019,SLV,9522,28
2019,SLV,9523,4
2019,SLV,9524,3
2019,SLV,9529,674
2019,SLV,9551,1
2019,SLV,9561,31
2019,SLV,9562,12
2019,SLV,9563,2
2019,SLV,9582,5
2019,SLV,9601,291
2019,SLV,9602,2848
2019,SLV,9603,1672
2019,SLV,9609,1920
2019,SLV,9611,2
2019,SLV,9619,1
2019,SLV,9620,22
2019,SLV,9631,2
2019,SLV,9661,2
2019,SLV,9662,4
2019,SLV,9681,15
2019,SLV,9682,10
2019,SLV,9691,49
2019,SLV,9692,17
2019,SLV,9700,1944
2019,SLV,9702,30
2019,SLV,9711,33
2019,SLV,9731,7
2019,SLV,9741,9
2019,SLV,9742,1
2019,SLV,9749,14
2019,SLV,9750,4
2019,SLV,9771,5
2019,SLV,9772,2
2019,SLV,9773,3
2019,SLV,9791,7
2019,SLV,9803,2
2019,SLV,9812,1
2019,SLV,9813,3
2019,SLV,9821,3
2019,SLV,9851,1
2019,SLV,9852,1
2019,SLV,9854,11
2019,SLV,9855,3
2019,SLV,9862,29
2019,SLV,9869,15
2019,SLV,9900,135
2019,SLV,9949,15
2019,SLV,9951,4
2019,SLV,9952,14
