name,gdp,pob_2020
"Aberdeen, SD",1999566649.6000001,41522
"Aberdeen, WA",11033102056.333334,77893
"Abilene, TX",7916582880.0,184278
"Ada, OK",1305847430.0,38310
"Adrian, MI",4206401364.0,97746
"Akron, OH",39871270973.55556,702209
"Alamogordo, NM",3840637916.5714283,69711
"Albany, GA",5659986098.6470585,145451
"Albany, OR",7945525572.0,132474
"Albany-Schenectady-Troy, NY",53134486248.21429,913485
"Albemarle, NC",3255324310.0,67326
"Albert Lea, MN",1210116691.6000001,30314
"Albertville, AL",4258845331.5,102156
"Albuquerque, NM",54200411168.61538,926303
"Alexander City, AL",1598679976.5714285,40699
"Alexandria, LA",5423670933.333333,148008
"Alexandria, MN",1310193743.4,39933
"Alice, TX",1633349965.3333333,45626
"Allentown-Bethlehem-Easton, PA-NJ",101285939096.0,886418
"Alma, MI",1810090013.142857,41372
"Alpena, MI",1193838415.0,28903
"Altoona, PA",4466069046.0,120269
"Altus, OK",810378878.5714285,24541
"Amarillo, TX",13393014290.0,274650
"Americus, GA",1306716710.0,33475
"Ames, IA",6924176500.5,129227
"Amsterdam, NY",3097369916.7999997,49648
"Anchorage, AK",25461574557.857143,407213
"Andrews, TX",1731170655.0,18923
"Angola, IN",1575849555.0,34862
"Ann Arbor, MI",19475843089.285713,373875
"Anniston-Oxford, AL",5310654607.2,116427
"Appleton, WI",14297673955.555555,248992
"Arcadia, FL",1819801716.0,36744
"Ardmore, OK",1629442947.142857,49135
"Arkadelphia, AR",755758908.5714285,20920
"Arkansas City-Winfield, KS",1334330859.0,34186
"Asheville, NC",18190199059.75,422333
"Ashland, OH",2564753340.0,52420
"Astoria, OR",2336379615.5,41043
"Atchison, KS",824305676.625,16249
"Athens, OH",2361895600.25,63218
"Athens, TN",3087792978.7142854,70691
"Athens, TX",4647646512.0,87467
"Athens-Clarke County, GA",11311341313.400002,223689
"Atlanta-Sandy Springs-Roswell, GA",343020206392.04254,6411149
"Atlantic City-Hammonton, NJ",34479849138.0,372989
"Auburn, IN",2167338030.0,44330
"Auburn, NY",3867100545.25,74567
"Auburn-Opelika, AL",8570673624.0,206006
"Augusta-Richmond County, GA-SC",26236995364.0,636760
"Augusta-Waterville, ME",5158057829.857142,128461
"Austin, MN",1621087860.0,40900
"Austin-Round Rock-San Marcos, TX",232174647938.7143,2550637
"Bainbridge, GA",1115304475.7142856,29391
"Bakersfield-Delano, CA",81275266164.5,922529
"Baltimore-Columbia-Towson, MD",250944934863.0,2859024
"Bangor, ME",7053498102.857142,156840
"Baraboo, WI",3381056882.0,66486
"Barnstable Town, MA",22820814965.0,232570
"Barre, VT",3567669878.0,59844
"Bartlesville, OK",2541284916.0,54060
"Batavia, NY",2960952578.857143,57604
"Batesville, AR",1235178726.25,38345
"Baton Rouge, LA",39166149472.84211,882652
"Battle Creek, MI",6130112315.625,133785
"Bay City, MI",4434446211.75,102651
"Bay City, TX",3580898660.666667,36391
"Beatrice, NE",886607934.0,21687
"Beaumont-Port Arthur, TX",26891464909.714283,398733
"Beaver Dam, WI",4492154752.5,88635
"Beckley, WV",4954188877.0,110979
"Bedford, IN",2030160216.0,45192
"Beeville, TX",1650381532.8000002,31226
"Bellefontaine, OH",1973885069.0,46085
"Bellingham, WA",15246791604.0,234954
"Bemidji, MN",1879479087.1111112,46762
"Bend, OR",14043217634.875,264407
"Bennington, VT",2116838112.3999999,37039
"Big Rapids, MI",1784047857.0,41947
"Big Spring, TX",2224683171.3333335,30833
"Billings, MT",9965954648.571428,192531
"Binghamton, NY",12950170435.222223,243971
"Birmingham, AL",47184004311.818184,1192583
"Bismarck, ND",6421379007.153846,139183
"Blackfoot, ID",2323718962.5,50889
"Blacksburg-Christiansburg-Radford, VA",7245114773.642858,182041
"Bloomington, IL",11604256884.88889,172069
"Bloomington, IN",7513578950.333334,162553
