codigo,codigo_nuevo,clasificador,nombre_actividad
468411,0,scian,Comercio al por menor de gasolina y diésel (comercio al por menor por internet de gasolina y diésel)
466410,0,scian,Comercio al por menor de artículos usados (comercio al por menor de artículos usados por internet)
465211,0,scian,Comercio al por menor de grabaciones de audio y video en medios físicos (comercio al por menor por internet de grabaciones de audio y video en medios físicos)
461190,0,scian,"Comercio al por menor de otros alimentos (comercio al por menor por internet de pan, pasteles, botanas, tortillas, y otros productos alimenticios)"
5251,0,ciiu_rev_3,
467113,0,scian,Comercio al por menor de pintura (comercio al por menor por internet de pintura)
468212,0,scian,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones (comercio al por menor por internet de partes y refacciones usadas para automóviles, camionetas y camiones)"
465111,0,scian,Comercio al por menor de artículos de perfumería y cosméticos (comercio al por menor por internet de artículos de perfumería y cosméticos)
466311,0,scian,"Comercio al por menor de alfombras, cortinas, tapices y similares (comercio al por menor por internet de alfombras, cortinas, tapices y similares)"
465919,0,scian,Comercio al por menor de otros artículos de uso personal (comercio al por menor por internet de otros artículos de uso personal por internet n.c.p.*)
467112,0,scian,Comercio al por menor de pisos y recubrimientos cerámicos (comercio al por menor por internet de pisos y recubrimientos cerámicos)
4761,0,ciiu_rev_4,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados"
4791,0,ciiu_rev_4,Venta al por menor por correo y por Internet
465212,0,scian,Comercio al por menor de juguetes (comercio al por menor por internet de juguetes)
5220,0,ciiu_rev_3,
461122,0,scian,Comercio al por menor de carne de aves (comercio al por menor por internet de carne de aves)
4721,0,ciiu_rev_4,Venta al por menor de alimentos en comercios especializados
5259,0,ciiu_rev_3,
463111,0,scian,Comercio al por menor de telas (comercio al por menor por internet de telas)
4773,0,ciiu_rev_4,Venta al por menor de otros productos nuevos en comercios especializados
465915,0,scian,Comercio al por menor en tiendas de artesanías (comercio al por menor por internet por internet en tiendas de artesanías)
461121,0,scian,Comercio al por menor de carnes rojas (comercio al por menor por internet de carnes rojas)
461160,0,scian,Comercio al por menor de dulces y materias primas para repostería (comercio al por menor por internet de dulces y materias primas para repostería)
4781,0,ciiu_rev_4,"Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados"
4759,0,ciiu_rev_4,"Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados"
468311,0,scian,Comercio al por menor de motocicletas (comercio al por menor por internet de motocicletas)
464111,0,scian,Farmacias sin minisúper (comercio al por menor por internet en farmacias sin minisúper)
466313,0,scian,Comercio al por menor de antigüedades y obras de arte (comercio al por menor por internet de antigüedades y obras de arte)
465312,0,scian,Comercio al por menor de libros (comercio al por menor por internet de libros)
462210,0,scian,Comercio al por menor en tiendas departamentales (comercio al por menor por internet en tiendas departamentales)
461220,0,scian,"Comercio al por menor de cigarros, puros y tabaco (comercio al por menor por internet de cigarros, puros y tabaco)"
469110,0,scian,"Intermediación de comercio al por menor, y comercio al por menor a través de catálogos impresos, televisión y similares (comisionistas, comercio al por menor de puerta en puerta, por catálogo, en máquinas expendedoras y otras formas de comercio n.c.p.*)"
4753,0,ciiu_rev_4,"Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos en comercios especializados"
461123,0,scian,Comercio al por menor de pescados y mariscos (comercio al por menor por internet de pescados y mariscos)
466211,0,scian,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo (comercio al por menor por internet de mobiliario, equipo y accesorios de cómputo)"
4789,0,ciiu_rev_4,Venta al por menor de otros productos en puestos de venta y mercados
4762,0,ciiu_rev_4,Venta al por menor de grabaciones de música y de video en comercios especializados
466212,0,scian,Comercio al por menor de teléfonos y otros aparatos de comunicación (comercio al por menor por internet de teléfonos y otros aparatos de comunicación)
4722,0,ciiu_rev_4,Venta al por menor de bebidas en comercios especializados
465216,0,scian,Comercio al por menor de instrumentos musicales (comercio al por menor por internet de instrumentos musicales)
4730,0,ciiu_rev_4,Venta al por menor de combustibles para vehículos automotores en comercios especializados
4764,0,ciiu_rev_4,Venta al por menor de juegos y juguetes en comercios especializados
468413,0,scian,Comercio al por menor de gas LP en estaciones de carburación (comercio al por menor por internet de gas LP en estaciones de carburación)
467117,0,scian,Comercio al por menor de artículos para albercas y otros artículos (comercio al por menor por internet de artículos para albercas y otros artículos)
466312,0,scian,Comercio al por menor de plantas y flores naturales (comercio al por menor por internet de plantas y flores naturales)
465112,0,scian,Comercio al por menor de artículos de joyería y relojes (comercio al por menor por internet de artículos de joyería y relojes)
4741,0,ciiu_rev_4,"Venta al por menor de ordenadores (computadoras), equipo periférico, programas de informática y equipo de telecomunicaciones en comercios especializados"
5231,0,ciiu_rev_3,
464122,0,scian,Comercio al por menor de artículos ortopédicos (comercio al por menor por internet de artículos ortopédicos)
4742,0,ciiu_rev_4,Venta al por menor de equipo de sonido y de video en comercios especializados
468211,0,scian,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones (comercio al por menor por internet de partes y refacciones nuevas para automóviles, camionetas y camiones)"
465214,0,scian,Comercio al por menor de equipo y material fotográfico (comercio al por menor por internet de equipo y material fotográfico)
461170,0,scian,Comercio al por menor de paletas de hielo y helados (comercio al por menor por internet de paletas de hielo y helados )
466112,0,scian,Comercio al por menor de electrodomésticos menores y aparatos de línea blanca (comercio al por menor por internet de electrodomésticos menores y aparatos de línea blanca)
467115,0,scian,Comercio al por menor de artículos para la limpieza (comercio al por menor por internet de artículos para la limpieza)
461130,0,scian,Comercio al por menor de frutas y verduras frescas (comercio al por menor por internet de frutas y verduras frescas)
4799,0,ciiu_rev_4,"Otras actividades de venta al por menor no realizadas en comercios, puestos de venta o mercados"
4763,0,ciiu_rev_4,Venta al por menor de equipo de deporte en comercios especializados
461110,0,scian,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas (comercio al por menor por internet en tiendas de abarrotes, ultramarinos y misceláneas)"
468412,0,scian,Comercio al por menor de gas LP en cilindros y para tanques estacionarios (comercio al por menor de gas LP en cilindros y para tanques estacionarios)
461212,0,scian,Comercio al por menor de cerveza (comercio al por menor por internet de cerveza)
461211,0,scian,Comercio al por menor de vinos y licores (comercio al por menor por internet de vinos y licores)
466319,0,scian,"Comercio al por menor de otros artículos para la decoración de interiores (comercio al por menor por internet de objetos de porcelana y cerámica, y otros artículos para la decoración de interiores)"
461213,0,scian,Comercio al por menor de bebidas no alcohólicas y hielo (comercio al por menor por internet de bebidas no alcohólicas y hielo)
465914,0,scian,Comercio al por menor de artículos desechables (comercio al por menor por internet por internet de artículos desechables )
465912,0,scian,Comercio al por menor de regalos (comercio al por menor por internet de regalos)
465913,0,scian,Comercio al por menor de artículos religiosos (comercio al por menor por internet de artículos religiosos)
4772,0,ciiu_rev_4,"Venta al por menor de productos farmacéuticos y médicos, cosméticos y artículos de tocador en comercios especializados"
467114,0,scian,Comercio al por menor de vidrios y espejos (comercio al por menor por internet de vidrios y espejos)
468111,0,scian,Comercio al por menor de automóviles y camionetas nuevos (comercio al por menor por internet de automóviles y camionetas nuevos)
465311,0,scian,Comercio al por menor de artículos de papelería (comercio al por menor por internet de artículos de papelería)
465215,0,scian,Comercio al por menor de artículos y aparatos deportivos (comercio al por menor por internet de artículos y aparatos deportivos)
468112,0,scian,Comercio al por menor de automóviles y camionetas usados (comercio al por menor por internet de automóviles y camionetas usados)
461150,0,scian,"Comercio al por menor de leche, otros productos lácteos y embutidos (comercio al por menor por internet de leche, otros productos lácteos y embutidos)"
466314,0,scian,Comercio al por menor de lámparas ornamentales y candiles (comercio al por menor por internet de lámparas ornamentales y candiles)
466114,0,scian,"Comercio al por menor de cristalería, loza y utensilios de cocina (comercio al por menor por internet de cristalería, loza y utensilios de cocina)"
5050,0,ciiu_rev_3,
4752,0,ciiu_rev_4,"Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados"
464113,0,scian,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios (comercio al por menor por internet de productos naturistas, medicamentos homeopáticos y de complementos alimenticios)"
5252,0,ciiu_rev_3,
465213,0,scian,Comercio al por menor de bicicletas y triciclos (comercio al por menor por internet de bicicletas y triciclos)
465911,0,scian,Comercio al por menor de mascotas y sus accesorios (comercio al por menor por internet de mascotas y sus accesorios )
466111,0,scian,Comercio al por menor de muebles para el hogar (comercio al por menor por internet de muebles para el hogar)
5234,0,ciiu_rev_3,
466113,0,scian,Comercio al por menor de muebles para jardín (comercio al por menor por internet de muebles para jardín)
467111,0,scian,Comercio al por menor en ferreterías y tlapalerías (comercio al por menor por internet en ferreterías y tlapalerías)
5233,0,ciiu_rev_3,
468420,0,scian,"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor (comercio al por menor por internet de aceites y grasas lubricantes, aditivos y similares para vehículos de motor)"
5239,0,ciiu_rev_3,
4723,0,ciiu_rev_4,Venta al por menor de productos de tabaco en comercios especializados
468414,0,scian,Comercio al por menor en estaciones de gas natural vehicular (comercio al por menor por internet en estaciones de gas natural vehicular)
461140,0,scian,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos (comercio al por menor por internet de semillas y granos alimenticios, especias y chiles secos)"
464121,0,scian,Comercio al por menor de lentes (comercio al por menor por internet de lentes)
467116,0,scian,Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas (comercio al por menor por internet de materiales para la construcción en tiendas de autoservicio)
465313,0,scian,Comercio al por menor de revistas y periódicos (comercio al por menor por internet de revistas y periódicos)
462111,0,scian,Comercio al por menor en supermercados (comercio al por menor por internet en supermercados)
434111,1,scian,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra (comercio al por mayor de fertilizantes y plaguicidas agrícolas)"
437313,1,scian,Intermediación de comercio al por mayor de productos de uso doméstico y personal 
435419,1,scian,Comercio al por mayor de otra maquinaria y equipo de uso general (comercio al por mayor de equipo para soldar)
437312,1,scian,"Intermediación de comercio al por mayor de productos para la industria, el comercio y los servicios "
434312,1,scian,Comercio al por mayor de desechos de papel y de cartón (comercio al por mayor de desechos de papel y de cartón)
432113,1,scian,Comercio al por mayor de cueros y pieles (comercio al por mayor de cueros y pieles)
5139,1,ciiu_rev_3,
434225,1,scian,Comercio al por mayor de equipo y material eléctrico (comercio al por mayor de equipo y material eléctrico)
431160,1,scian,Comercio al por mayor de leche y otros productos lácteos (comercio al por mayor de leche y otros productos lácteos)
4649,1,ciiu_rev_4,Venta al por mayor de otros enseres domésticos
434222,1,scian,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial (comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial)
431150,1,scian,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos (comercio al por mayor de semillas y granos alimenticios, especias y chiles secos)"
435319,1,scian,"Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales (comercio al por mayor de rebanadoras, básculas, refrigeradores comerciales, estantería, vitrinas, parrillas, asadores, hornos, máquinas tragamonedas, equipo para salones de belleza, peluquerías, maniquíes, y otra maquinaria y equipo para servicios y actividades comerciales n.c.p.*)"
434319,1,scian,"Comercio al por mayor de otros materiales de desecho (comercio al por mayor de madera, polietileno, fibras textiles, y otros materiales de desecho para reciclaje n.c.p.*)"
433410,1,scian,Comercio al por mayor de artículos de papelería (comercio al por mayor de artículos de papelería)
434224,1,scian,Comercio al por mayor de madera para la construcción y la industria (comercio al por mayor de madera para la construcción y la industria)
4663,1,ciiu_rev_4,"Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción"
5131,1,ciiu_rev_3,
431199,1,scian,"Comercio al por mayor de otros alimentos (comercio al por mayor de paletas de hielo, helados, nieves, gelatinas, flanes, budines, y otros alimentos para consumo humano n.c.p.*)"
432119,1,scian,"Comercio al por mayor de otros productos textiles (comercio al por mayor de etiquetas, banderas, estandartes, cierres, pasamanería, productos tejidos de fibras duras naturales, productos de pelo natural o sintético, y otros productos textiles n.c.p.*)"
434240,1,scian,Comercio al por mayor de artículos desechables (comercio al por mayor de artículos desechables)
5121,1,ciiu_rev_3,
435312,1,scian,Comercio al por mayor de artículos y accesorios para diseño y pintura artística (comercio al por mayor de artículos y accesorios para diseño y pintura artística)
431193,1,scian,Comercio al por mayor de conservas alimenticias (comercio al por mayor de conservas alimenticias)
4659,1,ciiu_rev_4,Venta al por mayor de otros tipos de maquinaria y equipo
434228,1,scian,Comercio al por mayor de ganado y aves en pie (comercio al por mayor de ganado y aves en pie)
431212,1,scian,Comercio al por mayor de vinos y licores (comercio al por mayor de vinos y licores)
431211,1,scian,Comercio al por mayor de bebidas no alcohólicas y hielo (comercio al por mayor de bebidas no alcohólicas y hielo)
4641,1,ciiu_rev_4,"Venta al por mayor de productos textiles, prendas de vestir y calzado"
431170,1,scian,Comercio al por mayor de embutidos (comercio al por mayor de embutidos)
432120,1,scian,"Comercio al por mayor de ropa, bisutería y accesorios de vestir (comercio al por mayor de ropa, bisutería y accesorios de vestir)"
434223,1,scian,"Comercio al por mayor de envases en general, papel y cartón para la industria (comercio al por mayor de envases en general, papel y cartón para la industria)"
5143,1,ciiu_rev_3,
435220,1,scian,Comercio al por mayor de maquinaria y equipo para la industria manufacturera (comercio al por mayor de maquinaria y equipo para la industria manufacturera)
434229,1,scian,"Comercio al por mayor de otras materias primas para otras industrias (comercio al por mayor de herrajes y chapas, tanques de gas, calderas, y otros productos para la industria en general n.c.p.*)"
432112,1,scian,Comercio al por mayor de blancos (comercio al por mayor de blancos)
434226,1,scian,Comercio al por mayor de pintura (comercio al por mayor de pintura)
