codigo_nuevo,nombre_actividad
0,Venta al por menor 
1,"Fabricación de vehículos automotores, partes, piezas y accesorios para vehículos automotores, otros tipos de equipo de transporte"
2,"Elaboración de productos alimenticios (productos lácteos, conservación de frutas, legumbres y hortalizas)"
3,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir, y Fabricación de productos de plástico"
4,Otras actividades de atención de la salud humana
5,Extracción de minerales
6,"Venta al por mayor de alimentos, bebidas y tabaco"
7,"Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción"
8,Venta al por mayor de otros tipos de maquinaria y equipo
9,"Generación, transmisión y distribución de energía eléctrica"
10,Otras actividades especializadas de construcción
11,Actividades de mantenimiento del orden público y de seguridad
12,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas"
13,Fabricación de otros productos elaborados de metal n.c.p.
14,Fabricación de muebles
15,"Venta de partes, piezas y accesorios para vehículos automotores y mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios"
16,"Venta al por mayor de desperdicios, desechos y chatarra y otros productos n.c.p."
17,Otras actividades de asistencia social sin alojamiento
18,"Fabricación de equipo de medición, prueba, navegación, control y relojes"
19,"Actividades de apoyo para otras actividades de explotación de minas y canteras,preparación del terreno y demolición"
20,Fabricación de partes y piezas de carpintería para edificios y construcciones
21,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir, cueros, metalúrgica y de máquinas herramienta"
22,"Fabricación de tanques, depósitos, recipientes de metal y carrocerías para vehículos automotores"
23,"Fabricación de joyas,bisutería, artículos conexos y revestimiento de metales"
24,"Fabricación de aeronaves, naves espaciales y maquinaria conexa"
25,Otras actividades de transporte por vía terrestre
26,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica
27,Publicidad
28,Actividades de la administración pública en general
29,Actividades de otras asociaciones n.c.p.
30,"Pesca marítima y elaboración y conservación de pescado, crustáceos y moluscos"
31,Elaboración de productos de panadería
32,Otras industrias manufactureras n.c.p.
33,Fabricación de otros productos minerales no metálicos n.c.p.
34,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
35,Fabricación de otros tipos de maquinaria de uso general
36,Fabricación de instrumentos y materiales médicos y odontológicos
37,Fabricación de componentes y tableros electrónicos
38,"Reparación de equipo de transporte, maquinaria y de equipo electrico"
39,Otras actividades de limpieza de edificios y de instalaciones industriales
40,Terminación y acabado de edificios
41,Mantenimiento y reparación de vehículos automotores
42,Venta al por mayor de otros enseres domésticos
43,Transporte de carga por carretera
44,"Otras actividades profesionales, científicas y técnicas n.c.p."
45,Actividades de médicos y odontólogos
46,Cría de aves de corral
47,Fabricación de otros productos de caucho
48,Fabricación de otros productos químicos n.c.p.
49,Fabricación de vidrio y productos de vidrio
50,"Fabricación de artículos de hormigón, cemento y yeso"
51,Fabricación de metales preciosos básicos y de otros metales no ferrosos
52,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia"
53,Construcción de edificios
54,Otras actividades de telecomunicaciones
55,Fondos y sociedades de inversión y entidades financieras similares
56,Actividades inmobiliarias realizadas con bienes propios o arrendados
57,Actividades inmobiliarias realizadas a cambio de una retribución o por contrato
58,Actividades jurídicas
59,Alquiler y arrendamiento de otros efectos personales y enseres domésticos
60,Otras actividades de esparcimiento y recreativas n.c.p.
61,Otros tipos de enseñanza n.c.p.
62,"Lavado y limpieza, incluida la limpieza en seco, de productos textiles y de piel"
63,Cría de ganado bovino y búfalos
64,Actividades de apoyo a la agricultura
65,Acuicultura
66,Elaboración de aceites y grasas de origen vegetal y animal
67,Elaboración de comidas y platos preparados
68,Fabricación de productos de la refinación del petróleo
69,Fabricación de otros artículos de papel y cartón
70,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina"
71,Fabricación de sustancias químicas básicas
72,Fabricación de abonos y compuestos de nitrógeno
73,"Fabricación de bicicletas, juegos y juguetes, artículos de deporte, vehículos de transporte para personas con discapacidad física"
74,"Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica"
75,"Reparación de aparatos electrónicos de consumo, ordenadores (computadoras) y equipo periférico"
75,"Reparación de equipo electrónico, óptico y de telecomunicaciones"
76,Tratamiento y eliminación de desechos no peligrosos
77,Venta al por mayor de materias primas agropecuarias y animales vivos
78,Transporte urbano y suburbano de pasajeros por vía terrestre
79,Transporte de pasajeros por vía aérea
80,Transporte por tuberías
81,Almacenamiento y depósito
82,Actividades de restaurantes y de servicio móvil de comidas
83,Actividades de grabación de sonido y edición de música
84,"Actividades de agencias de noticias, transmición de radio, programación y transmisiones de televisión"
85,"Portales web y actividades de librerías, archivos"
86,Otros tipos de intermediación monetaria
87,Corretaje de valores y de contratos de productos básicos
88,Seguros generales
89,"Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal"
90,Actividades especializadas de diseño
91,Actividades de fotografía
92,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles"
93,Otras actividades de servicios de apoyo a las empresas n.c.p.
94,"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social"
95,Regulación y facilitación de la actividad económica
96,Enseñanza secundaria técnica y vocacional
97,"Actividades creativas, artísticas y de entretenimiento"
98,Gestión de instalaciones deportivas
99,"Cultivo de hortalizas y melones, raíces y tubérculos"
100,Cultivo de otros productos agrícolas no perennes
101,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
102,Tratamiento de semillas para propagación y poscosecha
103,Silvicultura y otras actividades forestales
104,Extracción de lignito y hulla
105,Actividades de apoyo para la extracción de petróleo y gas natural
106,Elaboración y conservación de carne
107,Elaboración de productos de molienda
108,Elaboración de cacao y chocolate y de productos de confitería
109,Fabricación de otros productos textiles n.c.p.
110,Fabricación de otros tipos de equipo eléctrico
111,Fabricación de hojas de madera para enchapado y tableros a base de madera
112,Fabricación de papel y cartón ondulado y de envases de papel y cartón
113,Fabricación de plásticos y caucho sintético en formas primarias
114,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
115,Fabricación  de maquinaria y equipo de oficina [excepto ordenadores (computadoras) y equipo periférico] y de instrumentos ópticos y equipo fotográfico
116,"Fabricación de cemento, cal y yeso"
117,Industrias básicas de hierro y acero
118,Fabricación de equipo de propulsión de fluidos
119,Fabricación de otros hilos y cables eléctricos
120,Fundición de hierro y acero
121,Fundición de metales no ferrosos
122,Fabricación de productos metálicos para uso estructural
123,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
124,Fabricación de maquinaria agropecuaria y forestal
125,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción
126,Fabricación de locomotoras y material rodante
127,Fabricación de ordenadores (computadoras) y equipo periférico
128,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
129,Instalación de maquinaria y equipo industriales
130,Otras actividades de apoyo al transporte
131,Evacuación de aguas residuales
132,Venta de vehículos automotores
133,"Venta al por mayor de productos textiles, prendas de vestir y calzado"
134,Actividades de servicios vinculadas al transporte terrestre
135,Transporte de pasajeros marítimo y de cabotaje
136,Transporte de carga por vía aérea
137,Actividades de juegos de azar y apuestas
138,Actividades de telecomunicaciones inalámbricas
139,Otras actividades de concesión de crédito
140,Otras actividades auxiliares de las actividades de servicios financieros
141,Otras actividades auxiliares de las actividades de seguros y fondos de pensiones
142,Actividades de consultoría de gestión
143,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería
144,Alquiler y arrendamiento de vehículos automotores
145,Otros servicios de reservas y actividades conexas
146,Actividades de hospitales
147,Peluquería y otros tratamientos de belleza
148,Otras actividades de servicios personales n.c.p.
149,Cultivo de de frutas tropicales y subtropicales y de plantas con las que se preparan bebidas
150,Cultivo de cítricos
151,Cultivo de otros frutos y nueces de árboles y arbustos
152,Cultivo de otras plantas perennes
153,Cría de ovejas y cabras
154,Cría de otros animales
155,Extracción de otros minerales metalíferos no ferrosos
156,Elaboración de azúcar
157,Elaboración de alimentos preparados para animales
158,Elaboración de malta y licores de malta
159,Elaboración de bebidas no alcohólicas
160,Preparación e hilatura de fibras textiles
161,Acabado de productos textiles
162,"Fabricación de prendas de vestir, excepto prendas de piel"
163,Aserrado y acepilladura de madera
164,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables"
165,"Fabricación de pasta de madera, papel y cartón"
166,Fabricación de soportes magnéticos y ópticos
167,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
168,Fabricación de materiales de construcción de arcilla y de otros productos de porcelana y de cerámica
169,Construcción de embarcaciones de recreo y de deporte
170,Construcción de buques y estructuras flotantes
171,Fabricación de equipo de comunicaciones
172,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
173,Fabricación de dispositivos de cableado
174,Fabricación de equipo eléctrico de iluminación
175,Fabricación de aparatos de uso doméstico
176,Fabricación de motocicletas
177,Reparación de aparatos de uso doméstico y equipo doméstico y de jardinería
178,Actividades de servicios vinculadas al transporte aéreo
179,Suministro de vapor y de aire acondicionado
180,Recolección de desechos no peligrosos
181,Instalaciones eléctricas
182,Construcción de proyectos de servicio público
183,Construcción de otras obras de ingeniería civil
184,"Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos"
185,Venta al por mayor de metales y minerales metalíferos
186,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco"
187,Transporte de carga por ferrocarril
