codigo_nuevo,nombre_actividad
188,Transporte de carga marítimo y de cabotaje
189,Actividades de servicios vinculadas al transporte acuático
190,Actividades de mensajería
191,Actividades de alojamiento para estancias cortas
192,Otras actividades de alojamiento
193,"Actividades de campamentos, parques de vehículos recreativos y parques de caravanas"
194,Actividades de servicio de bebidas
195,Edición de libros
196,"Edición de periódicos, revistas y otras publicaciones periódicas"
197,"Actividades de postproducción de películas cinematográficas, videos y programas de televisión"
198,Actividades de exhibición de películas cinematográficas y cintas de video
199,Consultoría de informática y gestión de instalaciones informáticas
200,Banca central
201,Actividades de sociedades de cartera
202,Actividades de agencias de empleo
203,Actividades de seguridad privada
204,Actividades de servicios de sistemas de seguridad
205,Actividades de centros de llamadas
206,"Actividades de organizaciones, órganos extraterritoriales y relaciones exteriores"
207,Enseñanza superior
208,Enseñanza deportiva y recreativa
209,"Actividades de atención en instituciones para personas con retraso mental, enfermos mentales y toxicómanos"
210,Actividades de atención en instituciones para personas de edad y personas con discapacidad
211,Actividades de museos y conservación de lugares y edificios históricos
212,Actividades de jardines botánicos y zoológicos y de reservas naturales
213,Otras actividades deportivas
214,Pompas fúnebres y actividades conexas
215,Cultivo de arroz
216,"Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas"
217,Cultivo de caña de azúcar
218,Cultivo de tabaco
219,Cultivo de plantas para fibras textiles
220,Cultivos perennes
221,Cultivo de uva
222,Cultivo de frutas de pepita y de hueso
223,Cultivo de frutos oleaginosos
224,Cría de caballos y otros équidos
225,Cría de cerdos
226,Actividades de apoyo a la ganadería
227,Caza ordinaria y mediante trampas y actividades de servicios conexas
228,Tala de árboles
229,Servicios de apoyo a la silvicultura
230,Extracción de gas natural
231,Extracción de petróleo crudo
232,Extracción de minerales de hierro
233,Extracción de minerales de uranio y torio
234,"Destilación, rectificación y mezcla de bebidas alcohólicas"
235,Elaboración de vinos
236,Elaboración de productos de tabaco
237,Tejedura de productos textiles
238,Fabricación de tejidos de punto y ganchillo
239,Fabricación de tapices y alfombras
240,"Fabricación de cuerdas, cordeles, bramantes y redes"
241,Fabricación de artículos de piel
242,"Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería"
243,Fabricación de artículos de punto y ganchillo
244,Curtido y adobo de cueros
245,Fabricación de calzado
246,Fabricación de recipientes de madera
247,Impresión
248,Actividades de servicios relacionadas con la impresión
249,Fabricación de productos de hornos de coque
250,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
251,Fabricación de fibras artificiales
252,"Fabricación de llantas y tubos de hule, reconstrucción y revitalizado de llantas de hule"
253,Fabricación de productos refractarios
254,"Corte, talla y acabado de la piedra"
255,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
256,Fabricación de armas y municiones
257,Fabricación de aparatos electrónicos de consumo
258,"Fabricación de pilas, baterías y acumuladores"
259,Fabricación de cables de fibra óptica
260,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
261,"Fabricación de hornos, hogares y quemadores"
262,Fabricación de herramientas de mano motorizadas
263,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
264,Fabricación de otros tipos de maquinaria de uso especial
265,Fabricación de vehículos militares de combate
266,Fabricación de instrumentos de música
267,Venta al por menor de equipo de deporte en comercios especializados
268,"Instalaciones de fontanería, calefacción y aire acondicionado"
269,Fabricación de gas y  distribución de combustibles gaseosos por tuberías
270,"Captación, tratamiento y distribución de agua"
271,Recolección de desechos peligrosos
272,Tratamiento y eliminación de desechos peligrosos
273,Recuperación de materiales
274,Actividades de remediación y otros servicios de gestión de desechos
275,Construcción de carreteras y vías de ferrocarril
276,Venta al por mayor no especializada
277,"Venta al por mayor de ordenadores (computadoras), equipo periférico y programas de informática"
278,"Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
279,"Venta al por mayor de maquinaria, equipo y materiales agropecuarios"
280,Venta al por menor de combustibles para vehículos automotores en comercios especializados
281,Transporte interurbano de pasajeros por ferrocarril
282,Transporte de pasajeros por vías de navegación interiores
283,Transporte de carga por vías de navegación interiores
284,Actividades postales
285,Suministro de comidas por encargo
286,Otras actividades de servicio de comidas
287,Edición de directorios y listas de correo
288,Otras actividades de edición
289,Edición de programas informáticos
290,"Actividades de producción de películas cinematográficas, videos y programas de televisión"
291,"Actividades de distribución de películas cinematográficas, videos y programas de televisión"
292,Actividades de telecomunicaciones por satélite
293,Programación informática
294,Otras actividades de tecnología de la información y de servicios informáticos
295,"Procesamiento de datos, hospedaje y actividades conexas"
296,Arrendamiento financiero
297,Seguros de vida
298,Reaseguros
299,Fondos de pensiones
300,Administración de mercados financieros
301,Actividades de gestión de fondos
302,Evaluación de riesgos y daños
303,Actividades de agentes y corredores de seguros
304,Actividades de oficinas principales
305,Ensayos y análisis técnicos
306,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades
307,Estudios de mercado y encuestas de opinión pública
308,Actividades veterinarias
309,Alquiler y arrendamiento de equipo recreativo y deportivo
310,Alquiler de cintas de video y discos
311,"Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor"
312,Actividades de agencias de empleo temporal
313,Otras actividades de dotación de recursos humanos
314,Actividades de agencias de viajes
315,Actividades de operadores turísticos
316,Actividades de investigación
317,Actividades combinadas de apoyo a instalaciones
318,Limpieza general de edificios
319,Actividades de paisajismo y servicios de mantenimiento conexos
320,Actividades combinadas de servicios administrativos de oficina
321,Organización de convenciones y exposiciones comerciales
322,Actividades de agencias de cobro y agencias de calificación crediticia
323,Actividades de envasado y empaquetado
324,Actividades de planes de seguridad social de afiliación obligatoria
325,Actividades de defensa
326,Enseñanza preescolar y primaria
327,Enseñanza secundaria de formación general
328,Enseñanza cultural
329,Actividades de apoyo a la enseñanza
330,Actividades de atención de enfermería en instituciones
331,Otras actividades de atención en instituciones
332,Actividades de asistencia social sin alojamiento para personas de edad y personas con discapacidad
333,Actividades de clubes deportivos
334,Actividades de parques de atracciones y parques temáticos
335,Actividades de asociaciones empresariales y de empleadores
336,Actividades de asociaciones profesionales
337,Actividades de sindicatos
338,Actividades de organizaciones religiosas
339,Actividades de organizaciones políticas
340,Reparación de calzado y de artículos de cuero
341,Reparación de muebles y accesorios domésticos
342,Actividades de los hogares como empleadores de personal doméstico
