ciiu_rev_4,naics_2022
111,111110
111,111120
111,111130
111,111140
111,111150
111,111191
111,111199
111,111992
111,111998
112,111160
113,111211
113,111219
113,111411
113,111419
113,111991
114,111930
115,111910
116,111920
116,111998
119,111219
119,111422
119,111940
12,111336
12,111998
121,111332
122,111339
122,111419
123,111310
123,111320
124,111331
124,111339
125,111333
125,111334
125,111335
125,111339
126,111335
126,111339
127,111339
127,111998
128,111219
128,111419
128,111998
129,111421
129,111998
130,111421
14,112990
141,112111
141,112112
141,112120
141,112130
142,112920
143,112990
144,112410
144,112420
145,112210
146,112310
146,112320
146,112330
146,112340
146,112390
149,112390
149,112910
149,112930
149,112990
150,111998
150,112990
161,115112
161,115113
161,115115
161,115116
162,115116
162,115210
163,115111
163,115114
164,115114
170,114210
210,113110
210,113210
220,113310
230,111998
230,113210
240,113310
240,115310
311,114111
311,114112
311,114119
311,311710
312,114111
312,114112
312,114119
321,112511
321,112512
321,112519
322,112511
322,112512
322,112519
510,211130
510,212114
510,212115
520,212114
520,212115
610,211120
620,211130
710,212210
721,212290
729,212220
729,212230
729,212290
810,212311
810,212312
810,212313
810,212319
810,212321
810,212322
810,212323
810,212390
891,212312
891,212390
892,212390
893,212390
899,212323
899,212390
910,213111
910,213112
910,488999
990,213113
990,213114
990,213115
1010,311611
1010,311612
1010,311613
1010,311615
1010,311710
1020,311710
1030,311211
1030,311411
1030,311421
1030,311423
1030,311911
1030,311919
1030,311930
1030,311941
1030,311942
1030,311991
1030,311999
1040,311221
1040,311224
1040,311225
1040,311710
1050,311511
1050,311512
1050,311513
1050,311514
1050,311520
1061,311211
1061,311212
1061,311230
1061,311824
1062,311221
1062,311225
1071,311412
1071,311811
1071,311812
1071,311813
1071,311821
1071,311830
1071,311919
1072,111998
1072,311313
1072,311314
1073,311340
1073,311351
1073,311352
1074,311412
1074,311422
1074,311824
1074,311991
1075,311412
1075,311422
1075,311710
1075,311824
1075,311999
1079,311412
1079,311421
1079,311422
1079,311423
1079,311511
1079,311513
1079,311514
1079,311612
1079,311710
1079,311920
1079,311930
1079,311941
1079,311942
1079,311991
1079,311999
1080,311111
1080,311119
1101,312130
1101,312140
1102,312130
1103,311213
1103,312120
1104,312111
1104,312112
1200,312230
1311,313110
1311,313310
1311,314999
1312,313210
1313,313310
1313,313320
1313,314999
1313,323113
1391,313240
1392,314120
1392,314910
1392,314999
1392,336360
1392,337920
1393,314110
1393,314999
1394,314994
1394,314999
1399,313220
1399,313230
1399,313240
1399,314994
1399,314999
1399,315990
1399,322220
1399,335139
1399,336360
1399,339940
1399,339991
1410,314999
1410,315210
1410,315250
1410,315990
1410,316990
1410,339999
1420,315210
1420,315250
1420,315990
1430,315120
1511,316110
1512,314910
1512,316990
1512,339991
1520,316210
1520,316990
1610,113310
1610,321113
1610,321114
1610,321912
1610,321918
1610,321999
1621,321211
1621,321212
1621,321215
1621,321219
1622,321113
1622,321215
1622,321911
1622,321912
1622,321918
1622,321991
1622,321992
1622,337215
1623,321920
1623,321999
1629,321912
1629,321920
1629,321999
1629,324199
1629,337920
1629,339940
1629,339950
1629,339991
1629,339999
1701,322110
1701,322120
1701,322130
1701,322220
1701,322299
1701,339940
1702,322120
1702,322130
1702,322211
1702,322212
1702,322219
1702,322220
1702,322299
1709,322120
1709,322130
1709,322219
1709,322220
1709,322230
1709,322291
1709,322299
1709,323111
1709,332992
1709,339940
1709,339991
1811,323111
1811,323113
1811,323117
1811,339950
1812,323120
1820,334610
1910,324199
1910,325194
1920,324110
1920,324191
1920,324199
1920,325110
2011,312140
2011,325110
2011,325120
2011,325130
2011,325180
2011,325193
2011,325194
2011,325199
2011,325312
2011,325612
2011,325998
2012,325180
2012,325311
2012,325312
2012,325314
2013,325211
2013,325212
2013,325991
2021,325320
2021,325612
2022,325194
2022,325510
2022,325520
2022,325910
2022,325998
2022,339940
2023,325611
2023,325612
2023,325613
2023,325620
2023,325998
2023,332999
2023,339999
2029,325199
2029,325413
2029,325520
2029,325612
2029,325613
2029,325920
2029,325992
2029,325998
2029,332992
2029,332993
2030,325220
2100,325199
2100,325411
2100,325412
2100,325413
2100,325414
2100,339113
2211,326211
2211,326212
2219,313320
2219,315990
2219,326211
2219,326220
2219,326291
2219,326299
2219,337910
2219,339920
2219,339991
2220,314120
2220,314910
2220,321999
2220,322220
2220,325220
2220,326111
2220,326112
2220,326113
2220,326121
2220,326122
2220,326130
2220,326140
2220,326150
2220,326160
2220,326191
2220,326199
2220,326220
2220,332913
2220,336360
2220,337215
2220,337910
2220,337920
2220,339950
2220,339991
2220,339999
2310,327211
2310,327212
2310,327213
2310,327215
2310,327993
2391,327120
2392,327110
2392,327120
2393,327110
2394,327310
2394,327410
2394,327420
2395,327120
2395,327320
2395,327331
2395,327332
2395,327390
2395,327420
2395,327999
2396,327991
2399,322120
2399,324121
2399,324122
2399,325998
2399,327910
2399,327992
2399,327993
2399,327999
2399,335991
2399,336340
2399,336350
2399,339991
2410,331110
2410,331221
2410,331222
2410,332912
2410,332919
2410,332996
2420,322220
2420,331313
2420,331314
2420,331315
2420,331318
2420,331410
2420,331420
2420,331491
2420,331492
2420,332912
2420,332913
2420,332996
2420,332999
2431,331210
2431,331511
2431,331512
2431,331513
2432,331523
2432,331524
2432,331529
2511,332311
2511,332312
2511,332313
2511,332321
2511,332322
2511,332323
2511,337215
2512,332313
2512,332420
2512,332439
2512,333414
2513,332313
2513,332410
2520,332992
2520,332993
2520,332994
2591,332111
2591,332112
2591,332114
2591,332117
2591,332119
2591,336370
2592,332710
2592,332811
2592,332812
2592,332813
2592,339910
2593,332215
2593,332216
2593,332510
2593,332999
2593,333120
2593,333131
2593,333511
2593,333514
2593,333515
2593,337920
2599,322220
2599,323111
2599,331222
2599,331318
2599,331420
2599,331491
2599,332119
2599,332215
2599,332322
2599,332323
2599,332431
2599,332439
2599,332613
2599,332618
2599,332721
2599,332722
2599,332999
2599,333992
2599,333998
2599,337920
2599,339910
2599,339950
2599,339993
2599,339999
2610,334412
2610,334413
2610,334416
2610,334417
2610,334418
2610,334419
2620,334111
2620,334112
2620,334118
2630,334210
2630,334220
2630,334290
2640,334310
2640,339930
2651,333998
2651,334220
2651,334290
2651,334511
2651,334512
2651,334513
2651,334514
2651,334515
2651,334516
2651,334519
2651,339113
2652,334514
2652,334519
2660,334510
2660,334517
2670,333310
2680,334610
2710,333992
2710,335311
2710,335312
2710,335313
2710,335314
2720,335910
2731,335921
2732,331222
2732,331318
2732,331420
2732,335929
2733,335931
2733,335932
2740,335131
2740,335132
2740,335139
2740,336320
2750,335210
2750,335220
2790,332216
2790,333310
2790,333618
2790,333992
2790,334290
2790,335139
2790,335314
2790,335991
2790,335999
2790,339950
2811,333611
2811,333618
2811,336310
2812,332912
2812,333995
2812,333996
2813,332911
2813,332913
2813,332919
2813,333111
2813,333415
2813,333912
2813,333914
2813,336310
2813,336320
2813,336330
2813,336340
2813,336390
2813,336412
2813,339113
2814,332991
2814,333612
2814,333613
2815,333248
2815,333414
2815,333415
2815,333994
2815,333998
2816,332216
2816,332313
2816,333120
2816,333131
2816,333921
2816,333922
2816,333923
2816,333924
2816,333998
2816,336211
2817,325992
2817,333310
2817,339940
2818,333111
2818,333112
2818,333120
2818,333131
2818,333991
2819,332216
2819,332410
2819,332420
2819,332919
2819,333120
2819,333241
2819,333248
2819,333310
2819,333413
2819,333415
2819,333912
2819,333991
2819,333992
2819,333993
2819,333998
2819,336390
2819,339940
2819,339991
2819,339999
2821,332216
2821,333111
2821,333112
2821,333120
2821,333243
2822,333243
2822,333248
2822,333310
2822,333514
2822,333515
2822,333517
2822,333519
2823,331511
2823,332313
2823,332420
2823,333248
2823,333517
2823,333519
2824,333120
2824,333131
2824,333132
2824,333922
2825,333111
2825,333241
2825,333248
2825,333310
2826,333111
2826,333248
2826,333310
2826,339993
2829,333242
2829,333243
2829,333248
2829,333310
2829,333998
2829,339920
2910,333618
2910,336110
2910,336120
2910,336211
2910,336213
2910,336310
2910,336510
2910,336999
2920,326199
2920,332420
2920,332439
2920,336211
2920,336212
2920,336214
2920,811121
2930,336211
2930,336310
2930,336320
2930,336330
2930,336340
2930,336350
2930,336360
2930,336390
2930,336999
3011,332312
3011,332313
3011,336360
3011,336611
3012,332312
3012,336612
3012,336999
3020,333131
3020,333923
3020,334290
3020,336360
3020,336510
3030,333310
3030,334220
3030,336360
3030,336411
3030,336412
3030,336413
3030,336414
3030,336415
3030,336419
3040,336992
3091,333618
3091,336991
3092,336991
3092,339113
3092,339930
3099,331222
3099,333112
3099,333924
3099,336999
3100,321999
3100,326199
3100,337110
3100,337121
3100,337122
3100,337126
3100,337127
3100,337211
3100,337212
3100,337214
3100,337215
3100,337910
3211,327999
3211,339910
3212,339910
3220,339920
3220,339992
3220,339999
3230,339920
3230,339930
3240,339920
3240,339930
3240,339999
3250,333248
3250,333998
3250,337127
3250,339112
3250,339113
3250,339114
3250,339115
3250,339116
3290,332215
3290,332618
3290,333310
3290,339113
3290,339940
3290,339993
3290,339994
3290,339995
3290,339999
3290,711510
331,238290
3311,811310
3311,811490
3312,811210
3312,811310
3312,811411
3312,811490
3313,449210
3313,811210
3313,811310
3314,811310
3315,336611
3315,441222
3315,488190
3315,488210
3315,488390
3315,811310
3315,811490
3319,711510
3319,811310
3319,811490
3320,238220
3320,238290
3510,221111
3510,221112
3510,221113
3510,221114
3510,221115
3510,221116
3510,221117
3510,221118
3510,221121
3510,221122
3520,221210
3530,221330
3530,312113
3600,221310
3700,221320
3700,562219
3700,562991
3700,562998
3811,562111
3811,562119
3812,562112
3821,325315
3821,562212
3821,562213
3821,562219
3822,562211
3830,488390
3830,562920
3900,562910
4100,236115
4100,236116
4100,236117
4100,236118
4100,236210
4100,236220
4210,237310
4210,237990
4210,238990
4220,237110
4220,237120
4220,237130
4220,237990
4290,236210
4290,236220
4290,237120
4290,237210
4290,237990
4311,238910
4312,213113
4312,213114
4312,213115
4312,237990
4312,238910
4321,237310
4321,238210
4321,238290
4322,238220
4329,238290
4329,238310
4330,238140
4330,238150
4330,238310
4330,238320
4330,238330
4330,238340
4330,238350
4330,238390
4390,236210
4390,238110
4390,238120
4390,238130
4390,238140
4390,238160
4390,238170
4390,238190
4390,238220
4390,238310
4390,238390
4390,238910
4390,238990
4390,561790
4510,423110
4510,423910
4510,425120
4510,441110
4510,441120
4510,441210
4510,441227
4520,811111
4520,811114
4520,811121
4520,811122
4520,811191
4520,811192
4520,811198
4520,811310
4530,423110
4530,423120
4530,423130
4530,423140
4530,423730
4530,425120
4530,441210
4530,441330
4530,441340
4530,455219
4540,423110
4540,423120
4540,423130
4540,423140
4540,425120
4540,441227
4540,441340
4540,811490
4610,425120
4620,424440
4620,424510
4620,424520
4620,424590
4620,424910
4620,424930
4620,424990
4630,424410
4630,424420
4630,424430
4630,424440
4630,424450
4630,424460
4630,424470
4630,424480
4630,424490
4630,424590
4630,424810
4630,424820
4630,424940
4630,424990
4641,423220
4641,424310
4641,424340
4641,424350
4641,424990
4649,423210
4649,423220
4649,423310
4649,423410
4649,423450
4649,423460
4649,423610
4649,423620
4649,423850
4649,423910
4649,423920
4649,423940
4649,423990
4649,424120
4649,424130
4649,424210
4649,424690
4649,424920
4649,424990
4651,423430
4652,423610
4652,423690
4653,423820
4659,423120
4659,423210
4659,423410
4659,423420
4659,423440
4659,423450
4659,423490
4659,423610
4659,423690
4659,423720
4659,423740
4659,423810
4659,423830
4659,423840
4659,423850
4659,423860
4659,423990
4661,423520
4661,423990
4661,424710
4661,424720
4661,424990
4662,423510
4662,423520
4663,423120
4663,423220
4663,423310
4663,423320
4663,423330
4663,423390
4663,423710
4663,423720
4663,423730
4663,423830
4663,423910
4663,423990
4663,424690
4663,424950
4669,423840
4669,423930
4669,423940
4669,424110
4669,424130
4669,424490
4669,424610
4669,424690
4669,424910
4669,424950
4669,424990
4690,423990
4690,424990
4711,445110
4711,445131
4711,455211
4711,457110
4719,455110
4719,455211
4719,455219
4721,445230
4721,445240
4721,445250
4721,445291
4721,445292
4721,445298
4721,456191
4722,445298
4722,445320
4723,459991
4730,457110
4730,457120
4741,449210
4742,441330
4742,449210
4751,459130
4752,444110
4752,444120
4752,444140
4752,444180
4752,444230
4752,459999
4753,444120
4753,449121
4753,449122
4759,444180
4759,449110
4759,449129
4759,449210
4759,459140
4759,459999
4761,459210
4761,459410
4762,449210
4763,441222
4763,459110
4764,459120
4771,458110
4771,458210
