ciiu_rev_4,naics_2022
4771,458320
4772,456110
4772,456120
4772,456199
4773,441227
4773,444240
4773,449129
4773,449210
4773,456130
4773,458110
4773,458310
4773,459110
4773,459310
4773,459420
4773,459910
4773,459920
4773,459930
4773,459999
4774,459510
4781,445131
4781,445240
4781,445250
4781,445298
4781,445320
4781,456191
4781,459991
4782,458110
4782,458210
4782,459130
4782,459510
4789,441330
4789,444140
4789,444180
4789,444230
4789,444240
4789,449110
4789,449121
4789,449122
4789,449129
4789,449210
4789,455219
4789,456110
4789,456120
4789,456130
4789,456199
4789,458310
4789,458320
4789,459110
4789,459120
4789,459130
4789,459140
4789,459210
4789,459310
4789,459410
4789,459420
4789,459510
4789,459910
4789,459920
4789,459999
4791,441330
4791,444140
4791,444180
4791,444230
4791,444240
4791,445131
4791,445240
4791,445250
4791,445298
4791,445320
4791,449110
4791,449121
4791,449122
4791,449129
4791,449210
4791,455110
4791,455211
4791,455219
4791,456110
4791,456120
4791,456130
4791,456191
4791,456199
4791,458110
4791,458210
4791,458310
4791,458320
4791,459110
4791,459120
4791,459130
4791,459140
4791,459210
4791,459310
4791,459410
4791,459420
4791,459510
4791,459910
4791,459920
4791,459991
4791,459999
4799,441330
4799,444140
4799,444180
4799,444230
4799,444240
4799,445131
4799,445132
4799,445240
4799,445250
4799,445298
4799,445320
4799,449110
4799,449121
4799,449122
4799,449129
4799,449210
4799,455219
4799,456110
4799,456120
4799,456130
4799,456191
4799,456199
4799,457210
4799,458110
4799,458210
4799,458310
4799,458320
4799,459110
4799,459120
4799,459130
4799,459140
4799,459210
4799,459310
4799,459410
4799,459420
4799,459510
4799,459910
4799,459920
4799,459991
4799,459999
4911,482111
4911,487110
4912,482111
4912,482112
4921,485111
4921,485112
4921,485113
4921,485119
4922,485210
4922,485310
4922,485320
4922,485410
4922,485510
4922,485991
4922,485999
4922,487110
4922,487990
4922,713920
4923,484110
4923,484121
4923,484122
4923,484210
4923,484220
4923,484230
4930,221310
4930,486110
4930,486210
4930,486910
4930,486990
5011,483112
5011,483114
5011,487210
5012,483111
5012,483113
5021,483212
5021,487210
5022,483211
5110,481111
5110,481211
5110,481219
5110,487990
5120,481112
5120,481212
5120,927110
5210,493110
5210,493120
5210,493130
5210,493190
5221,485310
5221,488210
5221,488410
5221,488490
5221,488999
5221,812930
5222,488310
5222,488330
5223,488111
5223,488119
5223,488190
5223,488999
5224,488119
5224,488210
5224,488320
5224,488490
5229,488390
5229,488490
5229,488510
5229,488991
5229,488999
5310,491110
5320,492110
5320,492210
5510,721110
5510,721120
5510,721191
5510,721199
5520,721211
5520,721214
5590,721110
5590,721310
5610,722330
5610,722511
5610,722513
5610,722514
5610,722515
5621,722320
5629,722310
5630,722330
5630,722410
5630,722515
5811,513130
5811,513199
5812,513140
5813,513110
5813,513120
5819,513191
5819,513199
5820,513210
5911,512110
5912,512191
5912,512199
5913,512120
5913,512199
5914,512131
5914,512132
5920,512230
5920,512240
5920,512250
5920,512290
6010,516110
6010,516210
6020,516120
6020,516210
6110,516210
6110,517111
6120,516110
6120,516120
6120,516210
6120,517112
6120,517122
6130,517111
6130,517410
6190,517121
6190,517122
6190,517410
6190,517810
6190,812990
6201,541511
6202,541512
6202,541513
6209,541519
6311,518210
6312,519290
6391,516210
6399,519290
6411,521110
6411,522299
6419,522110
6419,522130
6419,522180
6419,522390
6420,551111
6420,551112
6430,525120
6430,525190
6430,525910
6430,525920
6430,525990
6491,522220
6492,522210
6492,522220
6492,522291
6492,522292
6492,522299
6499,522299
6499,523150
6499,523160
6499,523910
6511,524113
6512,524114
6512,524126
6512,524127
6512,524128
6520,524130
6530,525110
6611,523210
6612,523150
6612,523160
6612,523999
6619,522310
6619,522320
6619,523940
6619,523991
6619,523999
6621,524291
6622,524210
6629,524292
6629,524298
6629,541612
6630,523940
6810,523910
6810,531110
6810,531120
6810,531130
6810,531190
6820,531210
6820,531311
6820,531312
6820,531320
6820,531390
6910,541110
6910,541120
6910,541191
6910,541199
6910,541990
6920,541211
6920,541213
6920,541214
6920,541219
7010,551114
7020,541611
7020,541612
7020,541613
7020,541614
7020,541820
7110,541310
7110,541320
7110,541330
7110,541340
7110,541350
7110,541360
7110,541370
7120,541380
7120,811198
7210,541713
7210,541714
7210,541715
7220,541720
7310,541810
7310,541830
7310,541840
7310,541850
7310,541860
7310,541870
7310,541890
7320,541910
7410,541410
7410,541420
7410,541430
7410,541490
7420,518210
7420,541921
7420,541922
7420,711510
7420,812921
7420,812922
7490,541614
7490,541618
7490,541620
7490,541690
7490,541930
7490,541990
7490,711410
7500,115210
7500,541940
7710,532111
7710,532112
7710,532120
7721,532284
7722,532282
7729,532210
7729,532281
7729,532283
7729,532289
7729,532310
7730,532120
7730,532284
7730,532310
7730,532411
7730,532412
7730,532420
7730,532490
7740,533110
7810,561311
7810,561312
7820,561320
7830,561330
7911,561510
7912,561520
7990,561591
7990,561599
7990,713990
7990,926110
8010,561611
8010,561612
8010,561613
8020,561621
8020,561622
8030,541990
8030,561611
8110,561210
8121,561720
8129,238220
8129,488119
8129,488210
8129,488320
8129,488490
8129,561710
8129,561720
8129,561790
8129,811310
8130,561730
8211,561110
8219,323111
8219,561410
8219,561431
8219,561439
8220,561421
8220,561422
8230,561920
8291,561440
8291,561450
8292,325998
8292,561499
8292,561910
8299,561491
8299,561492
8299,561499
8299,561990
8411,561440
8411,921110
8411,921120
8411,921130
8411,921140
8411,921150
8411,921190
8411,922190
8411,923110
8411,923120
8411,926110
8412,923110
8412,923120
8412,923130
8412,923140
8412,924110
8412,924120
8412,925110
8412,926110
8413,561990
8413,924120
8413,925120
8413,926110
8413,926120
8413,926130
8413,926140
8413,926150
8413,927110
8421,926110
8421,928110
8421,928120
8422,922190
8422,928110
8423,561210
8423,561990
8423,921150
8423,922110
8423,922120
8423,922130
8423,922140
8423,922150
8423,922160
8423,922190
8423,924120
8423,926120
8423,928110
8423,928120
8430,923130
8510,611110
8510,611691
8521,611110
8522,611110
8522,611410
8522,611511
8522,611512
8522,611513
8522,611519
8530,611210
8530,611310
8541,611620
8541,611699
8542,611610
8549,611420
8549,611430
8549,611512
8549,611630
8549,611691
8549,611692
8549,611699
8550,611710
8610,622110
8610,622210
8610,622310
8620,621111
8620,621112
8620,621210
8620,621410
8620,621420
8620,621491
8620,621493
8620,621498
8690,621310
8690,621320
8690,621330
8690,621340
8690,621391
8690,621399
8690,621410
8690,621420
8690,621492
8690,621498
8690,621511
8690,621512
8690,621610
8690,621910
8690,621991
8690,621999
8710,623110
8720,623210
8720,623220
8730,623311
8730,623312
8790,623990
8810,624120
8890,541990
8890,621410
8890,624110
8890,624190
8890,624210
8890,624221
8890,624229
8890,624230
8890,624310
8890,624410
9000,711110
9000,711120
9000,711130
9000,711190
9000,711310
9000,711320
9000,711510
9101,519210
9101,519290
9102,712110
9102,712120
9103,712130
9103,712190
9200,713210
9200,713290
9200,721120
9311,711212
9311,711310
9311,713910
9311,713940
9311,713950
9312,711211
9312,713990
9319,711219
9319,711310
9319,711320
9319,713990
9319,813990
9321,713110
9329,711190
9329,711310
9329,711320
9329,713120
9329,713920
9329,713930
9329,713990
9411,813910
9412,813920
9420,813930
9491,813110
9492,813940
9499,813211
9499,813212
9499,813219
9499,813311
9499,813312
9499,813319
9499,813410
9499,813990
9511,811210
9512,811210
9521,449210
9521,811210
9522,449210
9522,444230
9522,811411
9522,811412
9522,811490
9523,458320
9523,811430
9524,449122
9524,811420
9529,458310
9529,459110
9529,459140
9529,811490
9529,812990
9601,561740
9601,812310
9601,812320
9601,812331
9601,812332
9602,812111
9602,812112
9602,812113
9603,812210
9603,812220
9609,812191
9609,812199
9609,812910
9609,812930
9609,812990
9700,814110
9900,928120
