TIME_PERIOD,REF_AREA,ACTIVITY,OBS_VALUE
2019,ECU,3311,1543
2019,ECU,3312,4374
2019,ECU,3313,1188
2019,ECU,3314,2338
2019,ECU,3315,797
2019,ECU,3319,16
2019,ECU,3320,2382
2019,ECU,3510,18056
2019,ECU,3520,52
2019,ECU,3530,925
2019,ECU,3600,11526
2019,ECU,3700,1043
2019,ECU,3811,6646
2019,ECU,3812,582
2019,ECU,3821,203
2019,ECU,3822,148
2019,ECU,3830,623
2019,ECU,3900,264
2019,ECU,4100,43837
2019,ECU,4210,22027
2019,ECU,4220,10811
2019,ECU,4290,3575
2019,ECU,4311,17
2019,ECU,4312,658
2019,ECU,4321,9898
2019,ECU,4322,3354
2019,ECU,4329,1541
2019,ECU,4330,4069
2019,ECU,4390,2859
2019,ECU,4510,17224
2019,ECU,4520,22980
2019,ECU,4530,22120
2019,ECU,4540,2902
2019,ECU,4610,2516
2019,ECU,4620,9822
2019,ECU,4630,38697
2019,ECU,4641,7829
2019,ECU,4649,39259
2019,ECU,4651,6576
2019,ECU,4652,3686
2019,ECU,4653,2714
2019,ECU,4659,20676
2019,ECU,4661,4777
2019,ECU,4662,2634
2019,ECU,4663,23769
2019,ECU,4669,13047
2019,ECU,4690,7326
2019,ECU,4711,61023
2019,ECU,4719,21644
2019,ECU,4721,19643
2019,ECU,4722,2714
2019,ECU,4723,15
2019,ECU,4730,18392
2019,ECU,4741,10227
2019,ECU,4742,3581
2019,ECU,4751,2814
2019,ECU,4752,24879
2019,ECU,4753,628
2019,ECU,4759,20719
2019,ECU,4761,7545
2019,ECU,4762,212
2019,ECU,4763,716
2019,ECU,4764,396
2019,ECU,4771,26055
2019,ECU,4772,26782
2019,ECU,4773,14473
2019,ECU,4774,88
2019,ECU,4781,692
2019,ECU,4782,598
2019,ECU,4789,84
2019,ECU,4791,900
2019,ECU,4799,3897
2019,ECU,4911,380
2019,ECU,4912,8
2019,ECU,4921,28342
2019,ECU,4922,25694
2019,ECU,4923,49696
2019,ECU,4930,295
2019,ECU,5011,1374
2019,ECU,5012,2882
2019,ECU,5021,129
2019,ECU,5022,440
2019,ECU,5110,3600
2019,ECU,5120,380
2019,ECU,5210,2094
2019,ECU,5221,5921
2019,ECU,5222,1909
2019,ECU,5223,3044
2019,ECU,5224,6592
2019,ECU,5229,12105
2019,ECU,5310,4006
2019,ECU,5320,3508
2019,ECU,5510,25275
2019,ECU,5520,97
2019,ECU,5590,234
2019,ECU,5610,79376
2019,ECU,5621,7123
2019,ECU,5629,4563
2019,ECU,5630,4905
2019,ECU,5811,229
2019,ECU,5812,1
2019,ECU,5813,847
2019,ECU,5819,252
2019,ECU,5820,404
2019,ECU,5911,676
2019,ECU,5912,79
2019,ECU,5913,13
2019,ECU,5914,1872
2019,ECU,5920,189
2019,ECU,6010,1379
2019,ECU,6020,3349
2019,ECU,6110,15427
2019,ECU,6120,7424
2019,ECU,6130,1329
2019,ECU,6190,6470
2019,ECU,6201,5159
2019,ECU,6202,5299
2019,ECU,6203,0
2019,ECU,6209,515
2019,ECU,6311,1177
2019,ECU,6312,216
2019,ECU,6391,59
2019,ECU,6399,86
2019,ECU,6411,1
2019,ECU,6419,43975
2019,ECU,6420,141
2019,ECU,6430,1438
2019,ECU,6491,0
2019,ECU,6492,3284
2019,ECU,6499,3098
2019,ECU,6511,1807
2019,ECU,6512,6718
2019,ECU,6520,79
2019,ECU,6530,348
2019,ECU,6611,247
2019,ECU,6612,126
2019,ECU,6613,0
2019,ECU,6614,0
2019,ECU,6619,3232
2019,ECU,6621,540
2019,ECU,6622,4009
2019,ECU,6629,72
2019,ECU,6630,2174
2019,ECU,6810,12195
2019,ECU,6820,25659
2019,ECU,6910,15557
2019,ECU,6920,17788
2019,ECU,7010,3592
2019,ECU,7020,16636
2019,ECU,7110,44239
2019,ECU,7120,4079
2019,ECU,7210,2491
2019,ECU,7220,714
2019,ECU,7310,11434
2019,ECU,7320,1774
2019,ECU,7410,1767
2019,ECU,7420,977
2019,ECU,7490,18528
2019,ECU,7500,1819
2019,ECU,7710,1318
2019,ECU,7721,59
2019,ECU,7722,165
2019,ECU,7729,1056
2019,ECU,7730,6783
2019,ECU,7740,74
2019,ECU,7810,340
2019,ECU,7820,849
2019,ECU,7830,494
2019,ECU,7911,6084
2019,ECU,7912,3466
2019,ECU,7990,1482
2019,ECU,8010,79038
2019,ECU,8020,1913
2019,ECU,8030,523
2019,ECU,8110,1938
2019,ECU,8121,21566
2019,ECU,8129,5796
2019,ECU,8130,1784
2019,ECU,8211,1377
2019,ECU,8219,1329
2019,ECU,8220,8435
2019,ECU,8230,2540
2019,ECU,8291,3080
2019,ECU,8292,1422
2019,ECU,8299,361
2019,ECU,8411,142320
2019,ECU,8412,259458
2019,ECU,8413,12103
2019,ECU,8421,2693
2019,ECU,8422,7752
2019,ECU,8423,34800
2019,ECU,8430,7605
2019,ECU,8510,30954
2019,ECU,8521,32424
2019,ECU,8522,1902
2019,ECU,8530,53622
2019,ECU,8541,682
2019,ECU,8542,614
2019,ECU,8549,9975
2019,ECU,8550,420
2019,ECU,8610,87664
2019,ECU,8620,37563
2019,ECU,8690,9878
2019,ECU,8710,817
2019,ECU,8720,976
2019,ECU,8730,1107
2019,ECU,8790,4685
2019,ECU,8810,2289
2019,ECU,8890,5416
2019,ECU,9000,2072
2019,ECU,9101,1415
2019,ECU,9102,506
2019,ECU,9103,439
2019,ECU,9200,380
2019,ECU,9311,3098
2019,ECU,9312,4189
2019,ECU,9319,2373
2019,ECU,9321,959
2019,ECU,9329,1081
2019,ECU,9411,3255
2019,ECU,9412,420
2019,ECU,9420,5463
2019,ECU,9491,11035
2019,ECU,9492,68
2019,ECU,9499,4231
2019,ECU,9511,2199
2019,ECU,9512,431
2019,ECU,9521,462
2019,ECU,9522,1495
2019,ECU,9523,571
2019,ECU,9524,157
2019,ECU,9529,621
2019,ECU,9601,3168
2019,ECU,9602,10945
2019,ECU,9603,3700
2019,ECU,9609,15466
2019,ECU,9700,0
2019,ECU,9810,0
2019,ECU,9820,0
2019,ECU,9900,440
