TIME_PERIOD,REF_AREA,ACTIVITY,OBS_VALUE
2019,ECU,0111,2616
2019,ECU,0112,1477
2019,ECU,0113,2861
2019,ECU,0114,4062
2019,ECU,0115,4168
2019,ECU,0116,127
2019,ECU,0119,47352
2019,ECU,0121,38
2019,ECU,0122,79240
2019,ECU,0123,80
2019,ECU,0124,19
2019,ECU,0125,253
2019,ECU,0126,8085
2019,ECU,0127,2593
2019,ECU,0128,232
2019,ECU,0129,779
2019,ECU,0130,1026
2019,ECU,0141,7744
2019,ECU,0142,42
2019,ECU,0143,1
2019,ECU,0144,75
2019,ECU,0145,1149
2019,ECU,0146,7666
2019,ECU,0149,322
2019,ECU,0150,5176
2019,ECU,0161,1675
2019,ECU,0162,207
2019,ECU,0163,1900
2019,ECU,0164,138
2019,ECU,0170,5
2019,ECU,0210,1037
2019,ECU,0220,390
2019,ECU,0230,0
2019,ECU,0240,189
2019,ECU,0311,7329
2019,ECU,0312,84
2019,ECU,0321,31833
2019,ECU,0322,1272
2019,ECU,0510,101
2019,ECU,0520,3
2019,ECU,0610,7198
2019,ECU,0620,68
2019,ECU,0710,111
2019,ECU,0721,221
2019,ECU,0729,14265
2019,ECU,0810,1982
2019,ECU,0891,12
2019,ECU,0892,0
2019,ECU,0893,21
2019,ECU,0899,437
2019,ECU,0910,10734
2019,ECU,0990,1497
2019,ECU,1010,15079
2019,ECU,1020,48353
2019,ECU,1030,10463
2019,ECU,1040,7951
2019,ECU,1050,9651
2019,ECU,1061,6844
2019,ECU,1062,47
2019,ECU,1071,15754
2019,ECU,1072,7969
2019,ECU,1073,3538
2019,ECU,1074,2687
2019,ECU,1075,1013
2019,ECU,1079,4836
2019,ECU,1080,6037
2019,ECU,1101,970
2019,ECU,1102,287
2019,ECU,1103,1232
2019,ECU,1104,7432
2019,ECU,1200,54
2019,ECU,1311,1746
2019,ECU,1312,4104
2019,ECU,1313,701
2019,ECU,1391,152
2019,ECU,1392,3589
2019,ECU,1393,136
2019,ECU,1394,371
2019,ECU,1399,762
2019,ECU,1410,28489
2019,ECU,1420,71
2019,ECU,1430,1830
2019,ECU,1511,495
2019,ECU,1512,691
2019,ECU,1520,5952
2019,ECU,1610,2427
2019,ECU,1621,2746
2019,ECU,1622,3069
2019,ECU,1623,466
2019,ECU,1629,733
2019,ECU,1701,338
2019,ECU,1702,5840
2019,ECU,1709,5040
2019,ECU,1811,11432
2019,ECU,1812,3686
2019,ECU,1820,76
2019,ECU,1910,9
2019,ECU,1920,5076
2019,ECU,2011,1683
2019,ECU,2012,1123
2019,ECU,2013,1291
2019,ECU,2021,1315
2019,ECU,2022,2758
2019,ECU,2023,4855
2019,ECU,2029,1290
2019,ECU,2030,6
2019,ECU,2100,6357
2019,ECU,2211,1473
2019,ECU,2219,884
2019,ECU,2220,15467
2019,ECU,2310,1973
2019,ECU,2391,1144
2019,ECU,2392,2857
2019,ECU,2393,662
2019,ECU,2394,2069
2019,ECU,2395,3821
2019,ECU,2396,443
2019,ECU,2399,214
2019,ECU,2410,5257
2019,ECU,2420,2321
2019,ECU,2431,313
2019,ECU,2432,106
2019,ECU,2511,9853
2019,ECU,2512,1293
2019,ECU,2513,125
2019,ECU,2520,6
2019,ECU,2591,530
2019,ECU,2592,4314
2019,ECU,2593,976
2019,ECU,2599,3611
2019,ECU,2610,332
2019,ECU,2620,34
2019,ECU,2630,147
2019,ECU,2640,481
2019,ECU,2651,208
2019,ECU,2652,4
2019,ECU,2660,41
2019,ECU,2670,100
2019,ECU,2680,0
2019,ECU,2710,1848
2019,ECU,2720,987
2019,ECU,2731,59
2019,ECU,2732,781
2019,ECU,2733,35
2019,ECU,2740,518
2019,ECU,2750,3481
2019,ECU,2790,146
2019,ECU,2811,153
2019,ECU,2812,204
2019,ECU,2813,1383
2019,ECU,2814,45
2019,ECU,2815,133
2019,ECU,2816,82
2019,ECU,2817,40
2019,ECU,2818,123
2019,ECU,2819,1997
2019,ECU,2821,370
2019,ECU,2822,91
2019,ECU,2823,38
2019,ECU,2824,270
2019,ECU,2825,429
2019,ECU,2826,97
2019,ECU,2829,190
2019,ECU,2910,1163
2019,ECU,2920,2122
2019,ECU,2930,1188
2019,ECU,3011,760
2019,ECU,3012,111
2019,ECU,3020,110
2019,ECU,3030,2
2019,ECU,3040,9
2019,ECU,3091,892
2019,ECU,3092,64
2019,ECU,3099,0
2019,ECU,3100,12197
2019,ECU,3211,1191
2019,ECU,3212,185
2019,ECU,3220,50
2019,ECU,3230,110
2019,ECU,3240,582
2019,ECU,3250,1116
2019,ECU,3290,1303
