cluster,clase
Upstream Chemical Prod,325320
Upstream Metal Manufacturing,331110
Upstream Metal Manufacturing,331210
Upstream Metal Manufacturing,331221
Upstream Metal Manufacturing,331222
Upstream Metal Manufacturing,331313
Upstream Metal Manufacturing,331314
Upstream Metal Manufacturing,331315
Upstream Metal Manufacturing,331318
Upstream Metal Manufacturing,331410
Upstream Metal Manufacturing,331420
Upstream Metal Manufacturing,331491
Upstream Metal Manufacturing,331492
Upstream Metal Manufacturing,332111
Upstream Metal Manufacturing,332112
Upstream Metal Manufacturing,332117
Upstream Metal Manufacturing,332119
Upstream Metal Manufacturing,332613
Upstream Metal Manufacturing,332618
Video Production & Distribution,334614
Video Production & Distribution,512110
Video Production & Distribution,512120
Video Production & Distribution,512132
Video Production & Distribution,512191
Video Production & Distribution,512199
Vulcanized & Fired Materials,326211
Vulcanized & Fired Materials,326212
Vulcanized & Fired Materials,326220
Vulcanized & Fired Materials,326291
Vulcanized & Fired Materials,326299
Vulcanized & Fired Materials,327110
Vulcanized & Fired Materials,327120
Vulcanized & Fired Materials,327211
Vulcanized & Fired Materials,327212
Vulcanized & Fired Materials,327215
Vulcanized & Fired Materials,327992
Water Transportation,336611
Water Transportation,336612
Water Transportation,483111
Water Transportation,483112
Water Transportation,483113
Water Transportation,483114
Water Transportation,483211
Water Transportation,483212
Water Transportation,488310
Water Transportation,488320
Water Transportation,488330
Water Transportation,488390
Wood Products,321113
Wood Products,321114
Wood Products,321211
Wood Products,321212
Wood Products,321213
Wood Products,321214
Wood Products,321219
Wood Products,321911
Wood Products,321912
Wood Products,321918
Wood Products,321920
Wood Products,321992
Wood Products,321999
