tipo,cve_region,nom_region,pob_2020
Zona metropolitana,09.1.01,Zona metropolitana de la Ciudad de México,21436911
Metropolitan Statistical Area,35620,"New York-Newark-Jersey City, NY-NJ",19940274
Metropolitan Statistical Area,31080,"Los Angeles-Long Beach-Anaheim, CA",12927614
Metropolitan Statistical Area,16980,"Chicago-Naperville-Elgin, IL-IN",9408576
País,00.00.00,Honduras,9304380
Metropolitan Statistical Area,19100,"Dallas-Fort Worth-Arlington, TX",8344032
Metropolitan Statistical Area,26420,"Houston-Pasadena-The Woodlands, TX",7796182
Metropolitan Statistical Area,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6457988
Metropolitan Statistical Area,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6436489
Metropolitan Statistical Area,12060,"Atlanta-Sandy Springs-Roswell, GA",6411149
Metropolitan Statistical Area,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6330422
Zona metropolitana,19.1.01,Zona metropolitana de Monterrey,5322117
Metropolitan Statistical Area,38060,"Phoenix-Mesa-Chandler, AZ",5186958
Zona metropolitana,14.1.01,Zona metropolitana de Guadalajara,5110617
Metropolitan Statistical Area,14460,"Boston-Cambridge-Newton, MA-NH",5025517
Metropolitan Statistical Area,40140,"Riverside-San Bernardino-Ontario, CA",4744214
Metropolitan Statistical Area,41860,"San Francisco-Oakland-Fremont, CA",4648486
Metropolitan Statistical Area,19820,"Detroit-Warren-Dearborn, MI",4400578
Metropolitan Statistical Area,42660,"Seattle-Tacoma-Bellevue, WA",4145494
Metropolitan Statistical Area,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3757952
Metropolitan Statistical Area,45300,"Tampa-St. Petersburg-Clearwater, FL",3424560
Metropolitan Statistical Area,41740,"San Diego-Chula Vista-Carlsbad, CA",3298799
Metropolitan Statistical Area,19740,"Denver-Aurora-Centennial, CO",3052498
Metropolitan Statistical Area,36740,"Orlando-Kissimmee-Sanford, FL",2940513
Metropolitan Statistical Area,16740,"Charlotte-Concord-Gastonia, NC-SC",2883370
Metropolitan Statistical Area,12580,"Baltimore-Columbia-Towson, MD",2859024
Metropolitan Statistical Area,41180,"St. Louis, MO-IL",2811927
Zona metropolitana,21.1.01,Zona metropolitana de Puebla-Tlaxcala,2776893
