ciiu_rev_4,scian_2023
111,111110
111,111121
111,111122
111,111129
111,111131
111,111132
111,111139
111,111140
111,111151
111,111191
111,111192
111,111193
111,111194
111,111195
111,111199
111,111992
111,111999
112,111160
113,111211
113,111213
113,111214
113,111215
113,111216
113,111217
113,111218
113,111219
113,111411
113,111416
113,111419
113,111999
114,111930
115,111910
116,111920
116,111999
119,111152
119,111219
119,111421
119,111422
119,111941
119,111942
119,111999
121,111335
122,111332
122,111333
122,111334
122,111339
122,111419
123,111310
123,111321
123,111329
124,111336
124,111339
124,111415
125,111339
125,111412
125,111413
125,111999
126,111338
126,111339
127,111331
127,111337
127,111991
127,111999
128,111212
128,111414
128,111419
128,111999
129,111423
129,111999
130,111419
130,111429
130,111999
141,112110
141,112120
141,112131
141,112139
141,115210
142,112920
143,112991
144,112410
144,112420
145,112211
145,112212
146,112311
146,112312
146,112320
146,112330
146,112340
146,112390
149,112390
149,112910
149,112930
149,112991
149,112999
150,111993
150,111994
150,111995
150,112991
161,115111
161,115119
162,115119
162,115210
163,115112
163,115113
164,111999
170,114210
210,113110
210,113211
220,113212
220,113310
230,111999
230,113212
240,113310
240,115310
240,541690
311,114111
311,114112
311,114113
311,114119
311,311710
312,114111
312,114119
321,112513
321,112516
321,112519
322,112514
322,112515
510,212110
520,212110
610,211111
620,211111
620,211112
710,212210
721,212293
729,212221
729,212222
729,212231
729,212232
729,212291
729,212292
729,212299
810,212311
810,212312
810,212319
810,212321
810,212322
810,212325
810,212329
810,212392
891,212311
891,212393
891,212394
891,212395
891,212397
891,212398
891,212399
892,212399
893,212391
893,311940
899,212319
899,212323
899,212324
899,212396
899,212399
910,213111
910,488990
990,213119
1010,311412
1010,311611
1010,311612
1010,311613
1010,311614
1020,311710
1030,311214
1030,311340
1030,311411
1030,311421
1030,311422
1030,311910
1030,311930
1030,311940
1030,311993
1030,311999
1040,311222
1040,311710
1050,311511
1050,311512
1050,311513
1050,311520
1061,311211
1061,311212
1061,311213
1061,311214
1061,311230
1061,311820
1062,311221
1062,311222
1062,311830
1071,311811
1071,311812
1071,311813
1071,311820
1071,311830
1071,311910
1072,311311
1072,311319
1073,311340
1073,311350
1074,311412
1074,311423
1074,311820
1074,311993
1075,311412
1075,311423
1075,311710
1075,311999
1079,311412
1079,311423
1079,311512
1079,311513
1079,311613
1079,311710
1079,311921
1079,311922
1079,311923
1079,311924
1079,311930
1079,311940
1079,311991
1079,311992
1079,311993
1079,311999
1080,311110
1101,312131
1101,312141
1101,312144
1101,312145
1101,312149
1102,312132
1102,312139
1103,311215
1103,312120
1104,312111
1104,312112
1200,312210
1200,312221
1200,312222
1311,313111
1311,313112
1311,313113
1312,313210
1313,313310
1313,313320
1313,314991
1313,323119
1391,313240
1392,313240
1392,314120
1392,314911
1392,314912
1392,314999
1392,336360
1392,337920
1393,314110
1393,314999
1394,314992
1399,313220
1399,313230
1399,313240
1399,314992
1399,314999
1399,315999
1399,322220
1399,335132
1399,336360
1399,339940
1399,339999
1410,314999
1410,315210
1410,315221
1410,315222
1410,315223
1410,315224
1410,315225
1410,315229
1410,315991
1410,315999
1410,316999
1410,339999
1420,315210
1420,315999
1430,315121
1430,315122
1430,315123
1511,316110
1512,314911
1512,316991
1512,316999
1512,339999
1520,316211
1520,316212
1520,316213
1520,316214
1520,316219
1520,316999
1610,113310
1610,321111
1610,321112
1610,321113
1610,321910
1610,321999
1621,321111
1621,321210
1622,321111
1622,321210
1622,321910
1622,321999
1622,337210
1623,321111
1623,321920
1623,321993
1629,313111
1629,321111
1629,321920
1629,321991
1629,321992
1629,321999
1629,337920
1629,339940
1629,339950
1629,339999
1701,322110
1701,322121
1701,322122
1701,322131
1701,322132
1701,322220
1701,322299
1701,339940
1702,322121
1702,322122
1702,322131
1702,322132
1702,322210
1702,322220
1702,322299
1709,322121
1709,322122
1709,322131
1709,322210
1709,322220
1709,322230
1709,322291
1709,322299
1709,323119
1709,339940
1709,339999
1811,323111
1811,323119
1811,339950
1812,323120
1820,334610
1910,324199
1910,325190
1920,324110
1920,324191
1920,325110
2011,312143
2011,325110
2011,325120
2011,325130
2011,325180
2011,325190
2011,325310
2011,325610
2011,325999
2012,325180
2012,325310
2013,325211
2013,325212
2013,325993
2021,325320
2021,325610
2022,325190
2022,325510
2022,325520
2022,325910
2022,325999
2022,339940
2023,325610
2023,325620
2023,325999
2023,332999
2023,339999
2029,325190
2029,325412
2029,325520
2029,325610
2029,325920
2029,325991
2029,325992
2029,325999
2029,332999
2030,314993
2030,325220
2100,325190
2100,325411
2100,325412
2100,339112
2211,326212
2219,313320
2219,326211
2219,326220
2219,326290
2219,337910
2219,339920
2219,339999
2220,314120
2220,314911
2220,322220
2220,325220
2220,326110
2220,326120
2220,326130
2220,326140
2220,326150
2220,326160
2220,326191
2220,326192
2220,326193
2220,326194
2220,326198
2220,326199
2220,326220
2220,336360
2220,337910
2220,337920
2220,339950
2220,339999
2310,327211
2310,327212
2310,327213
2310,327214
2310,327215
2310,327216
2310,327219
2310,327999
2391,327123
2392,327112
2392,327121
2392,327122
2393,327111
2394,327310
2394,327410
2394,327420
2395,327121
2395,327310
2395,327320
2395,327330
2395,327391
2395,327399
2395,327420
2395,327999
2396,327991
2399,322122
2399,324120
2399,325999
2399,327910
2399,327999
2399,335991
2399,336340
2399,336350
2399,339999
2410,331111
2410,331112
2410,331220
2410,332910
2410,332999
2420,322220
2420,331310
2420,331411
2420,331412
2420,331419
2420,331420
2420,331490
2420,332910
2420,332999
2431,331210
2431,331510
2432,331520
2511,332310
2511,332320
2511,337210
2512,332420
2512,332430
2512,333411
2513,332410
2520,332999
2591,332110
2591,336370
2592,332710
2592,332810
2592,339912
2593,332211
2593,332212
2593,332510
2593,332999
2593,333120
2593,333130
2593,333510
2593,337920
2599,322220
2599,331220
2599,331310
2599,331420
2599,331490
2599,332110
2599,332212
2599,332320
2599,332430
2599,332610
2599,332720
2599,332999
2599,333991
2599,337920
2599,339950
2599,339992
2599,339999
2610,334410
2620,334110
2630,334210
2630,334220
2630,334290
2640,334310
2640,339930
2651,333993
2651,334220
2651,334290
2651,334519
2651,339111
2652,334511
2652,334519
2660,334519
2670,333311
2670,333319
2680,334610
2710,333991
2710,335311
2710,335312
2720,335910
2731,335920
2732,331220
2732,331310
2732,331420
2732,335920
2733,335930
2740,335131
2740,335132
2740,336320
2750,335210
2750,335220
2790,332211
2790,333319
2790,333610
2790,333991
2790,334290
2790,335132
2790,335312
2790,335999
2790,339950
2811,333610
2811,336310
2812,332910
2812,333999
2813,332910
2813,333411
2813,333910
2813,336310
2813,336320
2813,336330
2813,336340
2813,336390
2813,336410
2813,339111
2814,332991
2814,333610
2815,333246
2815,333411
2815,333999
2816,332211
2816,333120
2816,333130
2816,333920
2816,333999
2816,336210
2817,325999
2817,333312
2817,333319
2817,339940
2818,333111
2818,333112
2818,333120
2818,333130
2818,333999
2819,332211
2819,332410
2819,332420
2819,332910
2819,333120
2819,333243
2819,333319
2819,333411
2819,333412
2819,333910
2819,333992
2819,333993
2819,333999
2819,336390
2819,339940
2819,339999
2821,332211
2821,333111
2821,333112
2821,333120
2821,333241
2822,333241
2822,333242
2822,333246
2822,333319
2822,333510
2823,331510
2823,333249
2823,333510
2824,333120
2824,333130
2824,333920
2825,333111
2825,333243
2825,333249
