ciiu_rev_4,scian_2023
2825,333319
2826,333111
2826,333244
2826,333319
2826,339992
2829,332999
2829,333242
2829,333245
2829,333246
2829,333249
2829,333319
2829,333999
2829,339920
2910,333610
2910,336110
2910,336120
2910,336210
2910,336310
2910,336510
2910,336999
2920,336210
2920,811123
2930,336210
2930,336310
2930,336320
2930,336330
2930,336340
2930,336350
2930,336360
2930,336390
2930,336999
3011,332310
3011,336360
3011,336610
3012,336610
3012,336999
3020,333130
3020,333920
3020,334290
3020,336360
3020,336510
3030,333319
3030,334220
3030,336360
3030,336410
3040,336999
3091,333610
3091,336991
3092,336992
3092,339111
3092,339930
3099,332610
3099,333111
3099,336999
3100,326194
3100,326198
3100,337110
3100,337120
3100,337210
3100,337910
3211,327999
3211,339911
3211,339912
3212,339913
3212,339914
3220,339920
3220,339991
3230,339920
3230,339930
3240,339920
3240,339930
3240,339999
3250,333249
3250,333999
3250,337120
3250,339111
3250,339112
3250,339113
3290,332212
3290,332610
3290,333319
3290,339111
3290,339940
3290,339992
3290,339993
3290,339994
3290,339995
3290,339999
3290,711510
3311,811312
3311,811499
3312,811219
3312,811311
3312,811312
3312,811313
3312,811314
3312,811410
3313,811219
3313,811314
3314,811312
3315,336610
3315,488190
3315,488210
3315,488390
3315,811314
3315,811493
3315,811499
3319,711510
3319,811312
3319,811314
3320,238222
3320,238290
3510,221111
3510,221112
3510,221113
3510,221114
3510,221119
3510,221121
3510,221122
3510,221123
3520,221210
3530,221210
3530,312113
3600,221311
3600,221312
3700,221311
3700,221312
3700,562998
3700,562999
3811,562121
3811,562122
3812,562111
3812,562112
3821,325310
3821,562221
3821,562222
3822,562211
3822,562212
3830,488390
3830,562921
3830,562922
3900,562911
3900,562912
4100,236111
4100,236112
4100,236211
4100,236221
4210,237312
4210,237993
4210,237999
4220,237111
4220,237112
4220,237121
4220,237131
4220,237132
4220,237999
4290,236211
4290,236221
4290,237122
4290,237211
4290,237212
4290,237991
4290,237992
4290,237999
4311,238910
4312,213119
4312,237999
4312,238910
4321,237311
4321,238210
4321,238290
4322,238221
4322,238222
4329,238222
4329,238290
4329,238311
4330,238130
4330,238190
4330,238311
4330,238312
4330,238320
4330,238330
4330,238340
4330,238350
4330,238390
4390,236211
4390,238110
4390,238121
4390,238122
4390,238311
4390,238390
4390,238910
4390,238990
4390,561790
4510,436111
4510,468111
4510,468112
4510,468319
4520,811111
4520,811112
4520,811113
4520,811114
4520,811115
4520,811116
4520,811119
4520,811121
4520,811122
4520,811129
4520,811191
4520,811192
4520,811199
4530,436112
4530,468211
4530,468212
4530,468213
4540,468311
4540,811492
4610,431110
4610,431121
4610,431122
4610,431123
4610,431130
4610,431140
4610,431150
4610,431160
4610,431170
4610,431180
4610,431191
4610,431192
4610,431193
4610,431194
4610,431199
4610,431211
4610,431212
4610,431213
4610,431220
4610,432111
4610,432112
4610,432113
4610,432119
4610,432120
4610,432130
4610,433110
4610,433210
4610,433220
4610,433311
4610,433312
4610,433313
4610,433410
4610,433420
4610,433430
4610,433510
4610,434111
4610,434112
4610,434211
4610,434219
4610,434221
4610,434222
4610,434223
4610,434224
4610,434225
4610,434226
4610,434227
4610,434228
4610,434229
4610,434230
4610,434240
4610,434311
4610,434312
4610,434313
4610,434314
4610,434319
4610,435110
4610,435210
4610,435220
4610,435311
4610,435312
4610,435313
4610,435319
4610,435411
4610,435412
4610,435419
4610,437311
4610,437312
4610,437313
4620,431220
4620,432113
4620,434111
4620,434112
4620,434228
4630,431121
4630,431122
4630,431123
4630,431130
4630,431140
4630,431150
4630,431160
4630,431170
4630,431180
4630,431191
4630,431192
4630,431193
4630,431194
4630,431199
4630,431211
4630,431212
4630,431213
4630,431220
4641,432111
4641,432112
4641,432119
4641,432120
4641,432130
4649,433110
4649,433210
4649,433220
4649,433311
4649,433312
4649,433313
4649,433410
4649,433420
4649,433430
4649,433510
4649,434240
4649,435311
4649,435313
4651,435411
4652,433311
4652,435311
4652,435411
4653,435110
4659,434225
4659,435210
4659,435220
4659,435311
4659,435312
4659,435313
4659,435319
4659,435411
4659,435412
4659,435419
4661,434230
4661,468419
4662,434221
4663,434211
4663,434219
4663,434224
4663,434226
4663,434227
4663,434229
4663,435419
4669,434111
4669,434112
4669,434222
4669,434223
4669,434311
4669,434312
4669,434313
4669,434314
4669,434319
4690,431110
4711,461110
4711,462111
4711,462112
4719,462210
4719,464112
4721,461121
4721,461122
4721,461123
4721,461130
4721,461140
4721,461150
4721,461160
4721,461170
4721,461190
4722,461211
4722,461212
4722,461213
4723,461220
4730,468411
4730,468413
4730,468414
4730,468420
4741,466211
4741,466212
4742,466112
4751,463111
4751,463113
4752,467111
4752,467112
4752,467113
4752,467114
4752,467116
4752,467117
4753,466311
4759,465216
4759,466111
4759,466112
4759,466114
4759,466211
4759,466314
4761,465311
4761,465312
4761,465313
4762,465211
4763,465215
4764,465212
4764,465213
4771,463112
4771,463211
4771,463212
4771,463213
4771,463214
4771,463215
4771,463216
4771,463217
4771,463218
4771,463310
4772,464111
4772,464113
4772,464122
4772,465111
4773,464121
4773,465112
4773,465214
4773,465911
4773,465912
4773,465913
4773,465914
4773,465915
4773,465919
4773,466113
4773,466312
4773,466313
4773,466319
4773,467115
4774,466410
4781,461121
4781,461122
4781,461123
4781,461130
4781,461140
4781,461150
4781,461160
4781,461170
4781,461190
4781,461211
4781,461212
4781,461213
4781,461220
4782,463111
4782,463112
4782,463113
4782,463211
4782,463212
4782,463213
4782,463214
4782,463215
4782,463216
4782,463217
4782,463218
4782,463310
4789,464113
4789,464121
4789,465111
4789,465112
4789,465211
4789,465212
4789,465213
4789,465214
4789,465215
4789,465216
4789,465311
4789,465312
4789,465313
4789,465911
4789,465912
4789,465913
4789,465914
4789,465919
4789,466111
4789,466112
4789,466113
4789,466114
4789,466211
4789,466212
4789,466311
4789,466312
4789,466313
4789,466314
4789,466319
4789,466410
4789,467113
4789,467114
4789,467115
4789,468420
4791,461110
4791,461121
4791,461122
4791,461123
4791,461130
4791,461140
4791,461150
4791,461160
4791,461170
4791,461190
4791,461211
4791,461212
4791,461213
4791,461220
4791,462111
4791,462112
4791,462210
4791,463111
4791,463112
4791,463113
4791,463211
4791,463212
4791,463213
4791,463214
4791,463215
4791,463216
4791,463217
4791,463218
4791,463310
4791,464111
4791,464112
4791,464113
4791,464121
4791,464122
4791,465111
4791,465112
4791,465211
4791,465212
4791,465213
4791,465214
4791,465215
4791,465216
4791,465311
4791,465312
4791,465313
4791,465911
4791,465912
4791,465913
4791,465914
4791,465915
4791,465919
4791,466111
4791,466112
4791,466113
4791,466114
4791,466211
4791,466212
4791,466311
4791,466312
4791,466313
4791,466314
4791,466319
4791,466410
4791,467111
4791,467112
4791,467113
4791,467114
4791,467115
4791,467116
4791,467117
4791,468111
4791,468112
4791,468211
4791,468212
4791,468213
4791,468311
4791,468319
4791,468411
4791,468412
4791,468413
4791,468414
4791,468419
4791,468420
4791,469110
4799,468412
4799,469110
4911,482110
4911,487110
4912,482110
4921,485111
4921,485112
4921,485113
4921,485114
4921,485115
4922,485210
4922,485311
4922,485312
4922,485320
4922,485410
4922,485510
4922,485990
4922,487110
4922,487990
4922,713920
4923,484111
4923,484119
4923,484121
4923,484129
4923,484210
4923,484221
4923,484222
4923,484223
4923,484224
4923,484229
4923,484231
4923,484232
4923,484233
4923,484234
4923,484239
4930,221311
4930,221312
4930,486110
4930,486210
4930,486910
4930,486990
5011,483111
5011,483112
5011,487210
5012,483111
5012,483112
5012,483113
5021,483210
5021,487210
5022,483210
5110,481111
5110,481112
5110,481210
5110,487990
5120,481111
5120,481112
5120,481210
5210,493111
5210,493119
5210,493120
5210,493130
5210,493190
5221,485311
5221,488210
5221,488410
5221,488491
5221,488492
5221,488990
5222,488310
5222,488330
5223,488111
5223,488112
5223,488190
5224,488112
5224,488210
5224,488320
5224,488493
5229,488390
5229,488493
5229,488511
5229,488519
5229,488990
5310,491110
5320,492110
5320,492210
5510,721111
5510,721112
5510,721113
5510,721120
5510,721190
5520,721210
5590,721311
5590,721312
5610,722330
5610,722511
5610,722512
5610,722513
5610,722514
5610,722515
5610,722516
5610,722517
5610,722518
5610,722519
5621,722320
5629,722310
5630,722330
5630,722411
5630,722412
5630,722511
5630,722512
5630,722513
5630,722514
5630,722515
5811,513131
5811,513132
5811,513191
5811,513192
5812,513141
5812,513142
5813,513111
5813,513112
5813,513121
5813,513122
5819,513191
5819,513192
5820,513210
5911,512111
5911,512112
5911,512113
5912,512190
5913,512120
5913,512190
5914,512130
5920,512230
5920,512240
5920,512250
5920,512290
6010,516110
6010,516210
6020,516120
6020,516210
6110,516210
6110,517311
6120,516210
6120,517312
6130,517311
6130,517410
6190,517410
6190,517910
6201,541510
6202,541510
6209,541510
6311,518210
6312,519290
6391,516210
6399,519290
6411,521110
6419,522110
6419,522310
6419,522320
6419,522390
6420,551112
6430,522220
6491,532121
6491,532122
6492,522210
6492,522440
6492,522451
6492,522452
6492,522460
6492,522490
6499,522460
6499,523990
6511,524110
6512,524110
6512,524120
6512,524130
6520,524110
6530,524220
6611,523110
6611,523210
6612,523121
6612,523122
6612,523990
6619,522510
6619,523910
6621,524210
6622,524210
6629,524220
6629,525110
6629,525210
6629,541610
6630,524220
6810,531111
6810,531112
6810,531113
6810,531114
6810,531115
6810,531116
6810,531119
6820,531210
6820,531311
6820,531319
6910,541110
6910,541120
6910,541190
6920,541211
6920,541219
7010,551111
7020,541610
7020,541820
7110,236113
7110,236212
7110,236222
7110,237113
7110,237123
7110,237133
7110,237213
7110,237313
7110,237994
7110,541310
7110,541320
7110,541330
7110,541340
7110,541350
7110,541360
7110,541370
7120,541380
7120,811199
7210,541711
7210,541712
7220,541721
7220,541722
7310,541810
7310,541830
7310,541840
7310,541850
7310,541860
7310,541870
7310,541890
7320,541910
7410,541410
7410,541420
7410,541430
7410,541490
7420,518210
7420,541920
7420,711510
7420,812910
7490,541610
7490,541620
7490,541690
7490,541930
7490,541990
7490,711410
7500,541941
7500,541942
7500,541943
7500,541944
7710,532110
7710,532121
7710,532122
7721,532289
7722,532289
7729,532210
7729,532281
7729,532282
7729,532289
7729,532310
7730,532122
7730,532289
7730,532310
7730,532411
7730,532412
7730,532420
7730,532491
7730,532492
7730,532493
7740,533110
7810,561310
7820,561320
7830,561330
7911,561510
7912,561520
7990,561590
7990,713998
8010,561610
8020,561620
8030,541990
8030,561610
8110,561210
8121,561720
8129,238222
8129,488112
8129,488210
8129,488390
8129,488492
8129,561710
8129,561720
8129,561790
8129,562121
8129,562122
8129,811312
8130,561730
8211,561110
8219,323119
8219,561410
8219,561431
8219,561432
8220,561421
8220,561422
8230,561920
8291,561440
8291,561450
8292,325999
8292,561910
8299,561490
8299,561990
8411,931110
8411,931210
8412,931510
8412,931610
8413,931310
8421,931710
8422,931810
8423,561210
8423,561990
8423,931411
8423,931412
8430,931610
8510,611111
8510,611112
8510,611121
8510,611122
8510,611181
8510,611182
8521,611131
8521,611132
8521,611181
8521,611182
8522,611141
8522,611142
8522,611151
8522,611152
8522,611161
8522,611162
8522,611181
8522,611182
8522,611411
8522,611412
8522,611511
8522,611512
8530,611211
8530,611212
8530,611311
8530,611312
8541,611621
8541,611622
8542,611611
8542,611612
8549,611171
8549,611172
8549,611211
8549,611212
8549,611421
8549,611422
8549,611431
8549,611432
8549,611511
8549,611512
8549,611631
8549,611632
8549,611691
8549,611698
8549,611699
8550,611710
8610,622111
8610,622112
8610,622211
8610,622212
8610,622311
8610,622312
8620,621111
8620,621112
8620,621113
8620,621114
8620,621115
8620,621116
8620,621211
8620,621212
8620,621411
8620,621412
8620,621421
8620,621422
8620,621491
8620,621492
8690,621311
8690,621312
8690,621320
8690,621331
8690,621332
8690,621341
8690,621342
8690,621391
8690,621392
8690,621398
8690,621399
8690,621411
8690,621412
8690,621421
8690,621422
8690,621491
8690,621492
8690,621511
8690,621512
8690,621610
8690,621910
8690,621991
8690,621992
8710,623111
8710,623112
8720,623211
8720,623212
8720,623221
8720,623222
8730,623311
8730,623312
8790,623991
8790,623992
8810,624121
8810,624122
8890,624111
8890,624112
8890,624191
8890,624198
8890,624199
8890,624211
8890,624212
8890,624221
8890,624222
8890,624231
8890,624232
8890,624311
8890,624312
8890,624411
8890,624412
9000,711111
9000,711112
9000,711121
9000,711122
9000,711131
9000,711132
9000,711191
9000,711192
9000,711311
9000,711312
9000,711320
9000,711510
9101,519211
9101,519212
9101,519290
9102,712111
9102,712112
9102,712120
9103,712131
9103,712132
9103,712190
9200,713210
9200,713291
9200,713299
9200,721120
9311,711211
9311,711311
9311,711312
9311,713910
9311,713941
9311,713942
9311,713943
9311,713944
9311,713950
9311,813140
9312,711212
9312,713992
9312,713998
9312,713999
9319,711211
9319,711311
9319,711312
9319,711320
9319,713998
9319,713999
9321,713111
9321,713112
9321,713113
9321,713114
9329,711191
9329,711192
9329,711311
9329,711312
9329,711320
9329,713113
9329,713114
9329,713120
9329,713920
9329,713930
9329,713991
9329,713998
9329,713999
9411,813110
9412,813130
9420,813120
9491,813210
9492,813220
9499,813230
9511,811219
9512,811219
9521,811211
9522,811410
9522,811499
9523,811430
9524,811420
9529,811491
9529,811499
9601,561740
9601,812210
9602,812110
9603,812310
9603,812321
9603,812322
9609,812120
9609,812130
9609,812410
9609,812990
9700,814110
9900,932110
9900,932120
