anio,actividad,K000A Total de gastos por consumo de bienes y servicios (millones de pesos),K412A Gasto por consumo de energía eléctrica (millones de pesos)
2023,Rama 3259 Fabricación de otros productos químicos,38558.831,811.886
2023,Rama 3261 Fabricación de productos de plástico,374856.648,17034.17
2023,Rama 3262 Fabricación de productos de hule,74341.86,2973.601
2023,Rama 3271 Fabricación de productos a base de arcillas y minerales refractarios,38747.028,1770.426
2023,Rama 3272 Fabricación de vidrio y productos de vidrio,82307.774,3885.847
2023,"Rama 3273 Fabricación de cemento, concreto y sus productos",145802.098,2967.877
2023,"Rama 3274 Fabricación de cal, yeso y productos de yeso",13569.383,490.606
2023,Rama 3279 Fabricación de otros productos a base de minerales no metálicos,13522.708,388.546
2023,Rama 3311 Industria básica del hierro y del acero,113031.487,7674.602
2023,Rama 3312 Fabricación de productos de hierro y acero,293312.143,5831.55
2023,Rama 3313 Industria básica del aluminio,46438.12,1125.308
2023,"Rama 3314 Industrias de metales no ferrosos, excepto aluminio",120852.046,4468.36
2023,Rama 3315 Moldeo por fundición de piezas metálicas,39596.574,2710.979
2023,Rama 3321 Fabricación de productos metálicos forjados y troquelados,22628.2,466.936
2023,Rama 3322 Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,46049.911,1026.489
2023,Rama 3323 Fabricación de estructuras metálicas y productos de herrería,64932.699,1093.037
2023,"Rama 3324 Fabricación de calderas, tanques y envases metálicos",44303.663,853.195
2023,Rama 3325 Fabricación de herrajes y cerraduras,12051.557,374.111
2023,"Rama 3326 Fabricación de alambre, productos de alambre y resortes",37572.294,908.153
2023,Rama 3327 Maquinado de piezas y fabricación de tornillos,36978.911,896.081
2023,Rama 3328 Recubrimientos y terminados metálicos,77605.904,1858.928
2023,Rama 3329 Fabricación de otros productos metálicos,55696.689,1455.459
2023,"Rama 3331 Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",33935.088,1441.277
2023,"Rama 3332 Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",11736.389,168.55
2023,Rama 3333 Fabricación de maquinaria y equipo para el comercio y los servicios,4238.448,130.933
2023,"Rama 3334 Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",72554.566,1626.589
2023,Rama 3335 Fabricación de maquinaria y equipo para la industria metalmecánica,11376.672,239.197
2023,"Rama 3336 Fabricación de motores de combustión interna, turbinas y transmisiones",27320.722,718.57
2023,Rama 3339 Fabricación de otra maquinaria y equipo para la industria en general,52185.7,959.407
2023,Rama 3341 Fabricación de computadoras y equipo periférico,22066.054,933.597
2023,Rama 3342 Fabricación de equipo de comunicación,14791.471,1278.951
2023,Rama 3343 Fabricación de equipo de audio y de video,14914.405,2043.757
2023,Rama 3344 Fabricación de componentes electrónicos,58363.405,5432.045
2023,"Rama 3345 Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",18051.254,670.831
2023,Rama 3346 Fabricación y reproducción de medios magnéticos y ópticos,4081.301,74.515
2023,Rama 3351 Fabricación de accesorios de iluminación,8011.881,545.466
2023,Rama 3352 Fabricación de aparatos eléctricos de uso doméstico,107741.88,1593.401
2023,Rama 3353 Fabricación de equipo de generación y distribución de energía eléctrica,68664.502,2586.419
2023,Rama 3359 Fabricación de otros equipos y accesorios eléctricos,110276.854,4053.811
2023,Rama 3361 Fabricación de automóviles y camiones,1478909.133,4984.664
2023,Rama 3362 Fabricación de carrocerías y remolques,38077.307,860.636
2023,Rama 3363 Fabricación de partes para vehículos automotores,1139409.533,28550.505
2023,Rama 3364 Fabricación de equipo aeroespacial,21895.862,989.297
2023,Rama 3365 Fabricación de equipo ferroviario,46051.035,596.974
2023,Rama 3366 Fabricación de embarcaciones,5844.505,88.529
2023,Rama 3369 Fabricación de otro equipo de transporte,26231.951,372.77
2023,"Rama 3371 Fabricación de muebles, excepto de oficina y estantería",33624.549,611.719
2023,Rama 3372 Fabricación de muebles de oficina y estantería,15330.016,226.526
2023,"Rama 3379 Fabricación de colchones, persianas y cortineros",12621.841,193.086
2023,Rama 4311 Comercio al por mayor de abarrotes y alimentos,1132800.288,6352.325
2023,"Rama 4312 Comercio al por mayor de bebidas, hielo y tabaco",508185.915,1720.034
2023,Rama 4321 Comercio al por mayor de productos textiles y calzado,79620.161,505.108
2023,Rama 4331 Comercio al por mayor de productos farmacéuticos,168027.853,247.705
2023,"Rama 4332 Comercio al por mayor de artículos de perfumería, cosméticos y joyería",26335.292,128.664
2023,"Rama 4333 Comercio al por mayor de grabaciones de audio y video en medios físicos, juguetes y artículos deportivos",20428.652,38.501
2023,"Rama 4334 Comercio al por mayor de artículos de papelería, libros, revistas y periódicos",32129.283,94.929
2023,Rama 4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,80858.17,628.544
2023,Rama 4341 Comercio al por mayor de materias primas agropecuarias y forestales,222929.089,735.533
2023,Rama 4342 Comercio al por mayor de materias primas para la industria,2832595.784,8038.734
2023,Rama 4343 Comercio al por mayor de materiales de desecho,75559.554,497.179
2023,"Rama 4351 Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca",57655.172,324.556
2023,Rama 4352 Comercio al por mayor de maquinaria y equipo para la industria,176469.81,476.368
2023,Rama 4353 Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,235781.893,1340.606
2023,"Rama 4354 Comercio al por mayor de mobiliario y equipo de cómputo y de oficina, y de otra maquinaria y equipo de uso general",198040.742,658.924
2023,"Rama 4361 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",143565.217,473.806
2023,Rama 4373 Intermediación de comercio al por mayor,1286.541,22.914
2023,Rama 4611 Comercio al por menor de abarrotes y alimentos,764732.842,13178.562
2023,"Rama 4612 Comercio al por menor de bebidas, hielo y tabaco",84284.898,1262.117
2023,Rama 4621 Comercio al por menor en tiendas de autoservicio,1742929.015,16034.914
2023,Rama 4622 Comercio al por menor en tiendas departamentales,292595.58,3093.414
2023,"Rama 4631 Comercio al por menor de productos textiles, excepto ropa",27616.852,330.93
2023,"Rama 4632 Comercio al por menor de ropa, bisutería y accesorios de vestir",197000.968,2870.794
2023,Rama 4633 Comercio al por menor de calzado,68049.817,697.68
2023,Rama 4641 Comercio al por menor de artículos para el cuidado de la salud,311561.575,3163.18
2023,Rama 4651 Comercio al por menor de artículos de perfumería y joyería,52366.674,478.031
2023,Rama 4652 Comercio al por menor de artículos para el esparcimiento,90008.933,688.111
2023,"Rama 4653 Comercio al por menor de artículos de papelería, libros, revistas y periódicos",56080.395,727.575
2023,"Rama 4659 Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",71549.37,971.986
2023,Rama 4661 Comercio al por menor de muebles para el hogar y otros enseres domésticos,136960.029,1468.706
2023,"Rama 4662 Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",156685.292,706.386
2023,Rama 4663 Comercio al por menor de artículos para la decoración de interiores,30822.658,356.109
2023,Rama 4664 Comercio al por menor de artículos usados,6648.454,98.94
2023,"Rama 4671 Comercio al por menor de artículos de ferretería, tlapalería y vidrios",375501.193,1838.529
2023,Rama 4681 Comercio al por menor de automóviles y camionetas,646513.709,1516.298
2023,"Rama 4682 Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones",223372.115,1058.889
2023,Rama 4683 Comercio al por menor de motocicletas y otros vehículos de motor,39808.454,213.087
2023,"Rama 4684 Comercio al por menor de combustibles, aceites y grasas lubricantes",1233050.163,3117.206
2023,"Rama 4691 Intermediación de comercio al por menor, y comercio al por menor a través de catálogos impresos, televisión y similares",9583.667,663.469
2023,Rama 4811 Transporte aéreo regular,99686.122,62.372
2023,Rama 4812 Transporte aéreo no regular,6867.064,19.717
2023,Rama 4821 Transporte por ferrocarril,,
2023,Rama 4831 Transporte marítimo,25211.686,233.05
2023,Rama 4832 Transporte por aguas interiores,364.418,4.751
2023,Rama 4841 Autotransporte de carga general,86225.996,1776.62
2023,Rama 4842 Autotransporte de carga especializado,56016.366,898.984
2023,Rama 4851 Transporte colectivo urbano y suburbano de pasajeros de ruta fija,26559.874,418.049
2023,Rama 4852 Transporte colectivo foráneo de pasajeros de ruta fija,41718.168,207.144
2023,Rama 4853 Servicio de taxis y limusinas,1081.28,39.295
2023,Rama 4854 Transporte escolar y de personal,7525.418,175.189
2023,Rama 4855 Alquiler de autobuses con chofer,2930.579,45.37
2023,Rama 4859 Otro transporte terrestre de pasajeros,1489.089,10.839
2023,Rama 4862 Transporte de gas natural por ductos,,
2023,Rama 4869 Transporte por ductos de otros productos,,
2023,Rama 4871 Transporte turístico por tierra,1109.609,16.51
2023,Rama 4872 Transporte turístico por agua,2441.911,56.005
2023,Rama 4879 Otro transporte turístico,180.115,0.346
2023,Rama 4881 Servicios relacionados con el transporte aéreo,10886.021,958.541
2023,Rama 4882 Servicios relacionados con el transporte por ferrocarril,705.603,13.155
2023,Rama 4883 Servicios relacionados con el transporte por agua,8934.243,791.829
2023,Rama 4884 Servicios relacionados con el transporte por carretera,12476.135,172.541
2023,Rama 4885 Servicios de intermediación para el transporte de carga,91988.752,1568.491
2023,Rama 4889 Otros servicios relacionados con el transporte,769.683,43.939
2023,Rama 4911 Servicios postales,,
2023,Rama 4921 Servicios de mensajería y paquetería foránea,12279.747,272.428
2023,Rama 4922 Servicios de mensajería y paquetería local,1281.939,45.346
2023,Rama 4931 Servicios de almacenamiento,13183.689,396.939
2023,Rama 5121 Industria fílmica y del video,27921.82,863.875
2023,Rama 5122 Industria del sonido,617.044,7.245
2023,"Rama 5131 Edición de periódicos, revistas, libros, directorios y otros materiales",9926.408,104.104
2023,Rama 5132 Edición de software,1733.991,8.58
2023,Rama 5161 Estaciones de transmisión de programas de radio y televisión,27007.611,184.792
2023,"Rama 5162 Servicios de distribución de audio y video en tiempo real (streaming), redes sociales, cadenas de radio y televisión y otros proveedores de contenido",631.123,8.99
2023,Rama 5173 Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,379441.549,3646.108
2023,Rama 5174 Operadores de servicios de telecomunicaciones vía satélite,1676.286,6.92
2023,Rama 5179 Otros servicios de telecomunicaciones,4785.509,78.7
2023,"Rama 5182 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",5515.8,37.819
2023,"Rama 5192 Bibliotecas, archivos, portales de búsqueda en la red y otros servicios de suministro de información",776.95,6.967
2023,Rama 5211 Banca central,5785.762,38.163
2023,Rama 5221 Banca múltiple,170271.769,2314.247
2023,Rama 5222 Instituciones financieras de fomento económico,12923.095,303.022
2023,Rama 5223 Uniones de crédito e instituciones de ahorro,30595.497,450.776
2023,Rama 5224 Otras instituciones de intermediación crediticia y financiera no bursátil,122388.087,880.712
2023,Rama 5225 Servicios relacionados con la intermediación crediticia no bursátil,7457.398,18.267
2023,"Rama 5231 Casas de bolsa, casas de cambio y centros cambiarios",16203.01,93.115
2023,Rama 5232 Bolsa de valores,508.231,21.142
2023,Rama 5239 Asesoría en inversiones y otros servicios relacionados con la intermediación bursátil,2390.278,15.353
2023,Rama 5241 Compañías de seguros y fianzas,23010.227,184.762
2023,"Rama 5242 Servicios relacionados con los seguros y las fianzas, y administración de fondos para el retiro",14776.626,140.482
2023,Rama 5311 Alquiler sin intermediación de bienes raíces,20907.944,1611.198
2023,Rama 5312 Inmobiliarias y corredores de bienes raíces,38104.817,1774.445
2023,Rama 5313 Servicios relacionados con los servicios inmobiliarios,16520.488,1294.104
2023,"Rama 5321 Alquiler de automóviles, camiones y otros transportes terrestres",14589.208,189.283
2023,Rama 5322 Alquiler de artículos para el hogar y personales,3547.499,81.074
2023,Rama 5323 Centros generales de alquiler,1152.045,25.528
2023,"Rama 5324 Alquiler de maquinaria y equipo agropecuario, pesquero, industrial, comercial y de servicios",24183.089,522.646
2023,"Rama 5331 Servicios de alquiler de marcas registradas, patentes y franquicias",590.17,1.115
2023,Rama 5411 Servicios legales,15255.225,379.654
2023,"Rama 5412 Servicios de contabilidad, auditoría y servicios relacionados",12118.387,295.61
2023,"Rama 5413 Servicios de arquitectura, ingeniería y actividades relacionadas",22755.91,304.557
2023,Rama 5414 Diseño especializado,4557.023,86.062
2023,Rama 5415 Servicios de diseño de sistemas de cómputo y servicios relacionados,20219.898,178.111
2023,"Rama 5416 Servicios de consultoría administrativa, científica y técnica",19204.202,261.581
2023,Rama 5417 Servicios de investigación científica y desarrollo,1461.282,52.937
2023,Rama 5418 Servicios de publicidad y actividades relacionadas,11908.088,166.242
2023,"Rama 5419 Otros servicios profesionales, científicos y técnicos",8802.97,222.839
2023,Rama 5511 Dirección y administración de grupos empresariales o corporativos,85451.471,2682.313
2023,Rama 5611 Servicios de administración de negocios,27664.016,1145.012
2023,Rama 5612 Servicios integrales de apoyo a los negocios en instalaciones,3781.673,163.734
2023,Rama 5613 Servicios de empleo,17136.129,467.606
2023,"Rama 5614 Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",23610.611,2494.033
2023,Rama 5615 Agencias de viajes y servicios de reservaciones,21130.627,268.755
2023,"Rama 5616 Servicios de investigación, protección y seguridad",37746.094,583.325
2023,Rama 5617 Servicios de limpieza,7178.872,60.465
2023,Rama 5619 Otros servicios de apoyo a los negocios,8505.277,160.323
2023,Rama 5621 Recolección de residuos,8980.132,73.671
2023,Rama 5622 Tratamiento y disposición final de residuos,2925.715,278.328
2023,"Rama 5629 Servicios de remediación, recuperación, y otros servicios de manejo de residuos",4655.505,43.139
2023,"Rama 6111 Escuelas de educación básica, media y para necesidades especiales",26894.738,1276.375
2023,Rama 6112 Escuelas de educación técnica superior,394.36,12.551
2023,Rama 6113 Escuelas de educación superior,39227.276,1242.775
2023,"Rama 6114 Escuelas comerciales, de computación y de capacitación para ejecutivos",782.991,27.435
2023,Rama 6115 Escuelas de oficios,964.4,45.265
2023,Rama 6116 Otros servicios educativos,5549.281,252.326
2023,Rama 6117 Servicios de apoyo a la educación,183.542,5.866
2023,Rama 6211 Consultorios médicos,20295.023,690.107
2023,Rama 6212 Consultorios dentales,16310.523,581.462
2023,Rama 6213 Otros consultorios para el cuidado de la salud,8109.021,272.422
2023,Rama 6214 Centros para la atención de pacientes que no requieren hospitalización,4871.315,115.873
2023,Rama 6215 Laboratorios médicos y de diagnóstico,20046.979,612.862
2023,Rama 6216 Servicios de enfermería a domicilio,214.736,2.621
2023,"Rama 6219 Servicios de ambulancias, de bancos de órganos y otros servicios auxiliares al tratamiento médico",1355.558,33.042
2023,Rama 6221 Hospitales generales,41047.856,554.086
2023,Rama 6222 Hospitales psiquiátricos y para el tratamiento por adicción,107.963,3.126
2023,Rama 6223 Hospitales de otras especialidades médicas,10154.126,164.261
2023,"Rama 6231 Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",83.083,3.876
2023,"Rama 6232 Residencias para el cuidado de personas con problemas de retardo mental, trastorno mental y adicciones",554.024,28.651
2023,Rama 6233 Asilos y otras residencias para el cuidado de ancianos,1157.344,53.209
2023,Rama 6239 Orfanatos y otras residencias de asistencia social,769.537,36.223
2023,Rama 6241 Servicios de orientación y trabajo social,1306.28,70.24
2023,"Rama 6242 Servicios comunitarios de alimentación, refugio y emergencia",338.443,12.988
2023,"Rama 6243 Servicios de capacitación para el trabajo para personas desempleadas, subempleadas o con discapacidad",25.042,0.663
2023,Rama 6244 Guarderías,3228.841,114.869
2023,Rama 7111 Compañías y grupos de espectáculos artísticos y culturales,603.986,10.995
2023,Rama 7112 Deportistas y equipos deportivos profesionales,7116.331,121.07
2023,"Rama 7113 Promotores de espectáculos artísticos, culturales, deportivos y similares",6552.25,127.572
2023,"Rama 7114 Agentes y representantes de artistas, deportistas y similares",216.5,4.571
2023,"Rama 7115 Artistas, escritores y técnicos independientes",138.023,2.778
2023,"Rama 7121 Museos, sitios históricos, zoológicos y similares",2040.749,173.027
2023,Rama 7131 Parques con instalaciones recreativas y casas de juegos electrónicos,7121.475,410.076
2023,"Rama 7132 Casinos, loterías y otros juegos de azar",13431.688,879.848
2023,Rama 7139 Otros servicios recreativos,21971.976,1588.561
2023,"Rama 7211 Hoteles, moteles y similares",129765.296,6774.653
2023,Rama 7212 Campamentos y albergues recreativos,342.741,17.155
2023,"Rama 7213 Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",1507.836,126.032
2023,Rama 7223 Servicios de preparación de alimentos por encargo,9475.525,150.189
2023,"Rama 7224 Centros nocturnos, bares, cantinas y similares",19844.928,630.65
2023,Rama 7225 Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,396663.936,10236.856
2023,Rama 8111 Reparación y mantenimiento de automóviles y camiones,65921.269,1603.568
2023,Rama 8112 Reparación y mantenimiento de equipo electrónico y de equipo de precisión,8334.493,142.04
2023,"Rama 8113 Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios",22704.456,310.627
2023,Rama 8114 Reparación y mantenimiento de artículos para el hogar y personales,12721.712,275.797
2023,"Rama 8121 Salones y clínicas de belleza, baños públicos y bolerías",29908.482,1285.629
2023,Rama 8122 Lavanderías y tintorerías,8188.136,626.389
2023,Rama 8123 Servicios funerarios y administración de cementerios,7748.673,206.663
2023,Rama 8124 Estacionamientos y pensiones para vehículos automotores,5063.334,148.647
2023,Rama 8129 Servicios de revelado e impresión de fotografías y otros servicios personales,1536.25,60.12
2023,"Rama 8131 Asociaciones y organizaciones comerciales, laborales, profesionales y recreativas",7166.426,216.464
2023,"Rama 8132 Asociaciones y organizaciones religiosas, políticas y civiles",6346.097,441.493
2018,Rama 1125 Acuicultura,7044.728,156.529
2018,Rama 1141 Pesca,13216.553,168.351
2018,Rama 1151 Servicios relacionados con la agricultura,4150.886,126.329
2018,Rama 1152 Servicios relacionados con la cría y explotación de animales,,
2018,Rama 1153 Servicios relacionados con el aprovechamiento forestal,,
2018,Rama 2111 Extracción de petróleo y gas,137261.231,862.128
2018,Rama 2121 Minería de carbón mineral,6780.084,532.713
2018,Rama 2122 Minería de minerales metálicos,109291.742,16788.492
2018,Rama 2123 Minería de minerales no metálicos,15094.729,1046.427
2018,Rama 2131 Servicios relacionados con la minería,18972.072,1297.131
2018,"Rama 2211 Generación, transmisión, distribución y comercialización de energía eléctrica",593493.88,32603.91
2018,Rama 2212 Suministro de gas natural por ductos al consumidor final,15569.946,16.465
2018,"Rama 2213 Captación, tratamiento y suministro de agua",34943.958,15516.533
2018,Rama 2361 Edificación residencial,72212.069,268.995
2018,Rama 2362 Edificación no residencial,97838.931,273.72
2018,"Rama 2371 Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",49283.379,158.413
2018,Rama 2372 División de terrenos y construcción de obras de urbanización,23207.873,67.968
2018,Rama 2373 Construcción de vías de comunicación,54918.774,145.269
2018,Rama 2379 Otras construcciones de ingeniería civil,7661.346,20.243
2018,"Rama 2381 Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",6531.529,38.3
2018,Rama 2382 Instalaciones y equipamiento en construcciones,19435.831,62.938
2018,Rama 2383 Trabajos de acabados en edificaciones,2731.529,12.235
2018,Rama 2389 Otros trabajos especializados para la construcción,12646.704,49.646
2018,Rama 3111 Elaboración de alimentos balanceados para animales,131523.404,1250.357
2018,Rama 3112 Molienda de granos y de semillas y obtención de aceites y grasas,194241.094,3325.464
2018,"Rama 3113 Elaboración de azúcares, chocolates, dulces y similares",116157.535,1384.968
2018,"Rama 3114 Conservación de frutas, verduras, guisos y otros alimentos preparados",70128.152,1300.593
2018,Rama 3115 Elaboración de productos lácteos,162533.013,2841.809
2018,"Rama 3116 Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",162472.927,2169.735
2018,Rama 3117 Preparación y envasado de pescados y mariscos,16810.051,304.948
2018,Rama 3118 Elaboración de productos de panadería y tortillas,131013.843,3813.609
2018,Rama 3119 Otras industrias alimentarias,125507.763,1441.527
2018,Rama 3121 Industria de las bebidas,235247.644,4238.866
2018,Rama 3122 Industria del tabaco,6154.035,34.797
2018,"Rama 3131 Preparación e hilado de fibras textiles, y fabricación de hilos",12416.174,1164.205
2018,Rama 3132 Fabricación de telas,35905.944,2504.771
2018,Rama 3133 Acabado de productos textiles y fabricación de telas recubiertas,11381.374,300.916
2018,"Rama 3141 Confección de alfombras, blancos y similares",9355.131,156.537
2018,"Rama 3149 Fabricación de otros productos textiles, excepto prendas de vestir",12574.951,523.485
2018,Rama 3151 Fabricación de prendas de vestir de tejido de punto,12401.509,255.266
2018,Rama 3152 Confección de prendas de vestir,60292.255,1512.594
2018,Rama 3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,1297.101,24.934
2018,Rama 3161 Curtido y acabado de cuero y piel,12959.872,278.328
2018,Rama 3162 Fabricación de calzado,31906.168,519.745
2018,"Rama 3169 Fabricación de otros productos de cuero, piel y materiales sucedáneos",2325.052,45.978
2018,Rama 3211 Aserrado y conservación de la madera,3054.378,66.958
2018,Rama 3212 Fabricación de laminados y aglutinados de madera,4982.945,176.595
2018,Rama 3219 Fabricación de otros productos de madera,20220.601,355.229
2018,"Rama 3221 Fabricación de pulpa, papel y cartón",67402.771,2544.185
2018,Rama 3222 Fabricación de productos de cartón y papel,136690.169,2507.71
2018,Rama 3231 Impresión e industrias conexas,50829.187,1175.028
2018,Rama 3241 Fabricación de productos derivados del petróleo y del carbón,842929.094,9874.9
2018,Rama 3251 Fabricación de productos químicos básicos,294138.996,3203.831
2018,"Rama 3252 Fabricación de resinas y hules sintéticos, y fibras químicas",120570.142,2789.304
2018,"Rama 3253 Fabricación de fertilizantes, plaguicidas y otros agroquímicos",44387.878,996.036
2018,Rama 3254 Fabricación de productos farmacéuticos,117983.66,1833.739
2018,"Rama 3255 Fabricación de pinturas, recubrimientos y adhesivos",52729.267,593.639
2018,"Rama 3256 Fabricación de jabones, limpiadores y preparaciones de tocador",97782.567,1118.523
2018,Rama 3259 Fabricación de otros productos químicos,33603.373,972.857
2018,Rama 3261 Fabricación de productos de plástico,288829.108,10526.511
2018,Rama 3262 Fabricación de productos de hule,56852.841,1754.68
2018,Rama 3271 Fabricación de productos a base de arcillas y minerales refractarios,31031.358,1480.64
2018,Rama 3272 Fabricación de vidrio y productos de vidrio,62601.601,2879.873
2018,"Rama 3273 Fabricación de cemento, concreto y sus productos",85493.686,1943.228
2018,"Rama 3274 Fabricación de cal, yeso y productos de yeso",11633.532,415.651
2018,Rama 3279 Fabricación de otros productos a base de minerales no metálicos,13322.027,373.492
2018,Rama 3311 Industria básica del hierro y del acero,157923.973,5806.881
2018,Rama 3312 Fabricación de productos de hierro y acero,159076.653,4709.979
2018,Rama 3313 Industria básica del aluminio,38203.194,654.556
2018,"Rama 3314 Industrias de metales no ferrosos, excepto aluminio",128329.218,2222.905
2018,Rama 3315 Moldeo por fundición de piezas metálicas,36607.284,1297.659
2018,Rama 3321 Fabricación de productos metálicos forjados y troquelados,16325.358,476.116
2018,Rama 3322 Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,32275.693,478.021
2018,Rama 3323 Fabricación de estructuras metálicas y productos de herrería,40941.112,678.628
2018,"Rama 3324 Fabricación de calderas, tanques y envases metálicos",34519.51,1106.694
