anio,actividad,K000A Total de gastos por consumo de bienes y servicios (millones de pesos),K412A Gasto por consumo de energía eléctrica (millones de pesos)
2023,Rama 1125 Acuicultura,6070.664,358.427
2023,Rama 1141 Pesca,18602.199,712.312
2023,Rama 1151 Servicios relacionados con la agricultura,4522.769,170.686
2023,Rama 1152 Servicios relacionados con la cría y explotación de animales,310.264,20.628
2023,Rama 1153 Servicios relacionados con el aprovechamiento forestal,58.535,0.583
2023,Rama 2111 Extracción de petróleo y gas,31583.062,15.918
2023,Rama 2121 Minería de carbón mineral,3328.521,264.537
2023,Rama 2122 Minería de minerales metálicos,110427.165,21954.765
2023,Rama 2123 Minería de minerales no metálicos,21491.894,4877.641
2023,Rama 2131 Servicios relacionados con la minería,24064.439,7053.368
2023,"Rama 2211 Generación, transmisión, distribución y comercialización de energía eléctrica",1098208.827,1842.258
2023,Rama 2212 Suministro de gas natural por ductos al consumidor final,24943.076,15.211
2023,"Rama 2213 Captación, tratamiento y suministro de agua",54663.938,20873.389
2023,Rama 2361 Edificación residencial,97688.4,350.229
2023,Rama 2362 Edificación no residencial,124763.915,411.062
2023,"Rama 2371 Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",120032.892,238.456
2023,Rama 2372 División de terrenos y construcción de obras de urbanización,23804.474,69.432
2023,Rama 2373 Construcción de vías de comunicación,50875.895,146.762
2023,Rama 2379 Otras construcciones de ingeniería civil,188190.588,68.321
2023,"Rama 2381 Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",9573.716,43.545
2023,Rama 2382 Instalaciones y equipamiento en construcciones,22347.28,105.647
2023,Rama 2383 Trabajos de acabados en edificaciones,2889.594,26.738
2023,Rama 2389 Otros trabajos especializados para la construcción,12172.859,52.347
2023,Rama 3111 Elaboración de alimentos balanceados para animales,140226.136,1883.134
2023,Rama 3112 Molienda de granos y de semillas y obtención de aceites y grasas,267824.075,3158.457
2023,"Rama 3113 Elaboración de azúcares, chocolates, dulces y similares",146114.285,1941.405
2023,"Rama 3114 Conservación de frutas, verduras, guisos y otros alimentos preparados",86828.987,1789.603
2023,Rama 3115 Elaboración de productos lácteos,159367.861,2289.838
2023,"Rama 3116 Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",181564.498,3218.665
2023,Rama 3117 Preparación y envasado de pescados y mariscos,19641.046,531.771
2023,Rama 3118 Elaboración de productos de panadería y tortillas,203005.588,2809.074
2023,Rama 3119 Otras industrias alimentarias,172219.279,1833.898
2023,Rama 3121 Industria de las bebidas,369867.04,5625.977
2023,Rama 3122 Industria del tabaco,9027.476,76.911
2023,"Rama 3131 Preparación e hilado de fibras textiles, y fabricación de hilos",13795.906,1017.794
2023,Rama 3132 Fabricación de telas,36636.808,1873.971
2023,Rama 3133 Acabado de productos textiles y fabricación de telas recubiertas,12237.146,308.818
2023,"Rama 3141 Confección de alfombras, blancos y similares",9666.43,345.794
2023,"Rama 3149 Fabricación de otros productos textiles, excepto prendas de vestir",13090.377,614.015
2023,Rama 3151 Fabricación de prendas de vestir de tejido de punto,10593.308,307.092
2023,Rama 3152 Confección de prendas de vestir,55629.371,1868.258
2023,Rama 3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,2036.981,29.636
2023,Rama 3161 Curtido y acabado de cuero y piel,12480.321,356.811
2023,Rama 3162 Fabricación de calzado,43463.987,800.72
2023,"Rama 3169 Fabricación de otros productos de cuero, piel y materiales sucedáneos",2919.588,34.765
2023,Rama 3211 Aserrado y conservación de la madera,4257.679,70.239
2023,Rama 3212 Fabricación de laminados y aglutinados de madera,4994.833,323.64
2023,Rama 3219 Fabricación de otros productos de madera,30600.141,401.341
2023,"Rama 3221 Fabricación de pulpa, papel y cartón",83757.939,3140.924
2023,Rama 3222 Fabricación de productos de cartón y papel,177068.524,4211.3
2023,Rama 3231 Impresión e industrias conexas,64908.634,1409.241
2023,Rama 3241 Fabricación de productos derivados del petróleo y del carbón,1031151.355,1250.65
2023,Rama 3251 Fabricación de productos químicos básicos,241048.137,3115.619
2023,"Rama 3252 Fabricación de resinas y hules sintéticos, y fibras químicas",104556.406,2603.573
2023,"Rama 3253 Fabricación de fertilizantes, plaguicidas y otros agroquímicos",53678.297,656.481
2023,Rama 3254 Fabricación de productos farmacéuticos,126566.121,2068.507
2023,"Rama 3255 Fabricación de pinturas, recubrimientos y adhesivos",67452.271,621.248
2023,"Rama 3256 Fabricación de jabones, limpiadores y preparaciones de tocador",119824.606,1628.351
