product_hs12_code,import_value_world,import_value_china,share_imports_china
0101,694934515,22406,3.224188684886374e-05
0102,2443177704,0,0.0
0103,549823491,0,0.0
0105,45440692,0,0.0
0106,296426500,13297804,0.044860375168886725
0201,5556078738,0,0.0
0202,4371422953,0,0.0
0203,1405469442,0,0.0
0206,431671262,103989,0.00024089859380076127
0207,295017980,0,0.0
0208,58770258,3514973,0.05980870460020781
0209,15057047,0,0.0
0210,411732804,48311,0.00011733580499454204
0301,97857907,433157,0.004426387333217744
0302,2411660640,3445608,0.0014287283802915157
0303,800373887,92718779,0.11584433288738717
0304,6418682853,605794172,0.0943798261845669
0305,410726694,40063627,0.09754327533432731
0306,7016279051,59982414,0.008549034832280646
0307,1091951442,219696296,0.20119603083962043
0308,56052045,7161962,0.1277734291407209
0401,36801208,53097,0.0014428058991976568
0402,212375486,200536,0.0009442521063848207
0403,161548480,2586806,0.01601256786817183
0404,373534738,110950,0.00029702726068813444
0405,824008967,86744,0.00010527069907480752
0406,1832134431,12539,6.843930111152417e-06
0407,83729365,7069557,0.08443342428310545
0408,24879017,5350830,0.215074011967595
0409,521877819,17423,3.3385208885453706e-05
0410,21947159,4883724,0.22252192185785868
0501,90379,23672,0.2619192511534759
0502,1822352,1136771,0.6237933176466457
0504,168980837,84037897,0.49732205433448057
0505,114163383,70166753,0.6146169739906884
0506,32520648,106991,0.0032899405940496635
0507,9679578,82975,0.008572171224819925
0508,10202324,1242905,0.12182567422873455
0510,14273376,10032,0.0007028470349271259
0511,566357310,44013218,0.07771280995737478
0601,198048445,189776,0.0009582301946374787
0602,913745552,52078822,0.05699488428262138
0603,2594331089,9605806,0.0037026137645764456
0604,224393541,9152501,0.04078772035599723
0701,373904482,0,0.0
0702,3924077205,0,0.0
0703,886347138,118763803,0.13399242566291222
0704,815595906,1479293,0.0018137572652308042
0706,270448604,103351,0.0003821465464099789
0707,1458226374,0,0.0
0708,361623633,107011,0.00029591815975146737
0709,4860412691,26915805,0.0055377612378141984
0710,1433230319,140398135,0.09795922758455126
0711,52907379,820839,0.015514641161868934
0712,581759905,396704947,0.6819049294914884
0713,572356783,16982345,0.029670907211035883
0714,394932997,17309544,0.043829065009728725
0801,1090903790,43087,3.949660858727056e-05
0802,811192563,70066707,0.08637493758679836
0803,2825398465,752140,0.0002662066994504437
0804,5448307687,3593439,0.0006595514068660564
0805,1774535732,10658139,0.006006156318975718
0806,2026738944,305039,0.00015050729690819025
0808,188377847,28426436,0.15090116196093906
0809,223114963,38878,0.00017425097571784103
0810,3948781846,9973662,0.0025257566482440722
0811,1227587238,5927729,0.004828763949727539
0812,23709357,479017,0.020203711133962847
0813,348871430,101225473,0.290151225624867
0814,6297706,472926,0.07509496315007401
0901,8187254626,19135781,0.002337264672242038
0902,501479866,54222060,0.10812410163641545
0903,5195494,6909,0.001329806174350312
0904,1016438507,93416113,0.0919053266446152
0905,122852010,0,0.0
0906,137804742,1076795,0.007813918333811764
0907,26254351,301777,0.011494361448888987
0908,45254718,309440,0.006837740100380252
0909,109625325,2454765,0.022392316738855736
0910,424988383,86931857,0.20455113710719947
1001,726055430,0,0.0
1003,60317482,17648,0.00029258515798123003
1004,333251409,19428,5.829832815500564e-05
1005,210316485,106534,0.0005065413678818377
1006,1387962212,35865032,0.025840063720697318
1007,1874268,39256,0.020944710148175182
1008,133911918,1111521,0.008300388916840097
1101,280827858,546469,0.0019459216186451132
1102,332728960,15189,4.564976850827773e-05
1103,178684146,17384,9.728898947755555e-05
1104,428475714,1591109,0.0037134169989387076
1105,87149078,8275,9.495223804892119e-05
1106,115045168,8436218,0.0733296160687079
1107,292011018,3325,1.1386556653831466e-05
1108,397911750,8827379,0.02218426321916857
1109,305797849,707816,0.002314653298951099
1201,334294161,670862,0.0020068014289965417
1202,3596391,282924,0.07866886553770154
1204,101064808,0,0.0
1206,109109968,1535882,0.014076459082088632
1207,371974726,5947349,0.01598858358995068
1208,59891637,381325,0.0063669156346486235
1209,616469760,30174085,0.0489465776877685
1210,43164282,1017,2.3561147154028878e-05
1211,520070460,27471528,0.05282270406206113
1212,206050670,88163283,0.4278718579269847
1214,130016174,1044726,0.008035354124479928
1301,120080116,4358007,0.03629249492064115
1302,1454718141,418830669,0.2879119034784897
1401,14455116,7542047,0.5217562418731195
1404,153510767,8575605,0.05586321511897599
1502,788395054,0,0.0
1503,168055008,0,0.0
1504,373696248,102022338,0.27300872980667445
1505,24233585,5427445,0.22396376763900183
1506,90500605,2245879,0.024816176643239016
1507,206811766,361193,0.0017464818708622216
1508,53501164,1339846,0.025043305599855733
1509,2799279580,189370,6.764954860278729e-05
1510,90432517,6349,7.020704731684069e-05
1511,1384201780,35352,2.553962905610481e-05
1512,241793821,340568,0.001408505802966735
1513,913336730,23710,2.5959757470828967e-05
1514,4111098010,853396,0.00020758347232884385
1515,1006889886,23782079,0.02361934440962296
1516,315132577,873862,0.0027729979817351603
1517,398780032,4596284,0.011525862959958838
1518,1944109923,961979795,0.49481759422098276
1520,21437887,166636,0.007772967550393376
1521,60755512,9484249,0.15610516128972793
1601,161868252,10967,6.775263131895685e-05
1602,1352147342,15688827,0.011602897489554804
1603,39060415,680562,0.017423317186978173
1604,2430701583,577203321,0.23746367099807003
1605,3020022072,307842689,0.10193392023659356
1701,2035067819,5517451,0.0027111877788481703
1702,968013972,74717487,0.07718637247107835
1703,162117352,0,0.0
1704,3238909062,260247458,0.08035034421105337
1801,1102536598,4866,4.413458935355904e-06
1803,483952185,1095,2.2626202214584482e-06
1804,1074717957,0,0.0
1805,396962921,185963,0.0004684644085435879
1806,4780078448,30043138,0.006285072164991381
1901,1515277354,5677267,0.0037466850441691484
1902,1775766784,170514866,0.09602323206874445
1903,53198457,1799957,0.03383475953071346
1904,1157536828,29722268,0.025677168346647197
1905,10652705607,58945533,0.005533386087499339
2001,622090198,8387461,0.01348270882094818
2002,313380203,1394401,0.004449550375714065
2003,113484164,6018180,0.053031011445790796
2004,2462366216,10243846,0.004160163477486567
2005,1940983144,231709566,0.11937742309420075
2006,136571784,4398648,0.032207589819577956
2007,583842216,10373663,0.017767922078454155
2008,3614953432,409682314,0.11332990084282779
2009,3856489246,267346112,0.06932370219294526
2101,1191302678,29556570,0.024810294265115385
2102,484779850,23752981,0.048997459362223904
2103,2597351329,179695404,0.06918409611886586
2104,497983645,4412357,0.00886044560760625
2105,276279563,4832223,0.01749033821947952
2106,7426420933,608707213,0.08196508365088118
2201,1014589576,82996,8.180253568857877e-05
2202,2686944319,42099191,0.015668054861541773
2203,7381904977,4786504,0.0006484104055678635
2204,6030614443,437107,7.248133737141318e-05
2205,135677134,0,0.0
2206,406537155,2309716,0.005681438883489013
2207,324317002,132370,0.00040815004820499666
2208,9168282052,58693268,0.006401773818378161
2209,157469986,4408883,0.02799824342398811
2301,223524841,319085,0.0014275147163621067
2302,50322992,278962,0.005543430327036199
2303,64709871,1862012,0.028774775335280764
2304,364462052,0,0.0
2306,1273633240,1234518,0.0009692884585832574
2308,58376584,17091972,0.2927881494401933
2309,3107968336,300118656,0.09656425791848865
2401,697331662,2047,2.9354754868422996e-06
2402,1522880126,1373328,0.0009017965213106996
2403,169993666,3316529,0.019509721026899907
2501,379274649,2888185,0.0076150225374013855
2502,2394289,11825,0.004938835704461742
2503,110983111,527688,0.004754669383884905
